Āfrika	Afrika
Piektdiena	Freitag
Sestdiena	Samstag
Svētdiena	Sonntag
Laidnis	Läufer (Schach)
Bandinieks (šahs)	Bauer (Schach)
Zirdziņš (šahs)	Springer (Schach)
Tornis (šahs)	Turm (Schach)
Karalis (šahs)	König (Schach)
Dāma (šahs)	Dame (Schach)
Lauva	Löwe
Francija	Frankreich
Esperanto	Esperanto
Suns	Haushund
Apvienotā Karaliste	Vereinigtes Königreich
Kaķis	Hauskatze
Ķīna	Volksrepublik China
Franču valoda	Französische Sprache
Vikivārdnīca	Wiktionary
Zivis	Fische
Etanols	Ethanol
Alkoholiskie dzērieni	Alkoholisches Getränk
Brazīlija	Brasilien
Spirti	Alkohole
Fransuā Olands	François Hollande
Krievija	Russland
Vaļveidīgie	Wale
Optiskā šķiedra	Lichtwellenleiter
Jorkšīra	Yorkshire
Kvadrāts	Quadrat
Jūra	Meer
Melnā jūra	Schwarzes Meer
Pī	Kreiszahl
Pī (burts)	Pi (Buchstabe)
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
Sanpaulu	São Paulo
Sanpaulu (štats)	São Paulo (Bundesstaat)
Kvebeka	Québec
Pica	Pizza
Pasta (ēdiens)	Pasta
Boeing 747	Boeing 747
Wikimedia Foundation	Wikimedia
Džimijs Veilss	Jimmy Wales
English	English
Vācija	Deutschland
Baltkrievija	Weißrussland
Lerijs Sendžers	Larry Sanger
Itālijas himna	Fratelli d’Italia
Vācu valoda	Deutsche Sprache
Islande	Island
Dievs	Gott
Igaunija	Estland
Deivids Kemerons	David Cameron
Saturns (planēta)	Saturn (Planet)
Saturna gredzeni	Ringe des Saturn
Šokolāde	Schokolade
Lidmašīna	Flugzeug
Karš	Krieg
1 (skaitlis)	Eins
2 (skaitlis)	Zwei
3 (skaitlis)	Drei
4 (skaitlis)	Vier
5 (skaitlis)	Fünf
Nulle	Null
Bezgalība	Unendlichkeit
Stīvens Hārpers	Stephen Harper
Džordžs V. Bušs	George W. Bush
Taisnstūris	Rechteck
Latvija	Lettland
Ukraina	Ukraine
Čehija	Tschechien
Slovākija	Slowakei
Slovēnija	Slowenien
Viļņa	Vilnius
Moldova	Moldawien
Rumānija	Rumänien
Bulgārija	Bulgarien
Roma	Rom
Maķedonija	Mazedonien
Albānija	Albanien
Grenlande	Grönland
Horvātija	Kroatien
Bosnija un Hercegovina	Bosnien und Herzegowina
Nūka	Nuuk
Azerbaidžāna	Aserbaidschan
Andora	Andorra
Kipra	Republik Zypern
Gruzija	Georgien
Valonija	Wallonische Region
Kazahstāna	Kasachstan
Malta	Malta
Flandrija	Flandern
Monako	Monaco
Melnkalne	Montenegro
Vatikāns	Vatikanstadt
Sanmarīno	San Marino
Brisele	Stadt Brüssel
Briseles galvaspilsētas reģions	Region Brüssel-Hauptstadt
Kuba	Kuba
Beliza	Belize
Eifeļa tornis	Eiffelturm
Barbadosa	Barbados
Raspberry Pi	Raspberry Pi
Volkswagen	Volkswagen
Volkswagen Golf	VW Golf
Intel	Intel
Bezvadu sakari	Kabellose Übertragungsverfahren
Datora klaviatūra	Tastatur
Java (programmēšanas valoda)	Java (Programmiersprache)
Indonēzija	Indonesien
Volfgangs Amadejs Mocarts	Wolfgang Amadeus Mozart
Ludvigs van Bēthovens	Ludwig van Beethoven
Turku valoda	Türkische Sprache
Mandelbrota kopa	Mandelbrot-Menge
Dienvidāfrika	Südafrika
Žans Fransuā Šampolions	Jean-François Champollion
Linkin Park	Linkin Park
Alžīrija	Algerien
Wikisource	Wikisource
Viesuļvētra Sendija	Hurrikan Sandy
Uzbekistāna	Usbekistan
Rasenes	Sonnentau
Poznaņa	Posen
Taškenta	Taschkent
Varšava	Warschau
Eirovīzijas dziesmu konkurss	Eurovision Song Contest
Modēna	Modena
Viskijs	Whisky
Vīns	Wein
Ūdens	Wasser
Āda (materiāls)	Leder
Koksne	Holz
Tūra	Tours
Televīzija	Fernsehen
Pornogrāfija	Pornografie
Islandiešu valoda	Isländische Sprache
Klods Monē	Claude Monet
Djego Velaskess	Diego Rodríguez de Silva y Velázquez
Čīle	Chile
El Greko	El Greco
Jēzus Kristus	Jesus Christus
Elviss Preslijs	Elvis Presley
Sebastjans Piņera	Sebastián Piñera
Galileo Galilejs	Galileo Galilei
Merkurs (planēta)	Merkur (Planet)
Vēsture	Geschichte
Perlašēza kapsēta	Père Lachaise
Apple Inc.	Apple
Venera (planēta)	Venus (Planet)
Valoda	Sprache
Mīlestība	Liebe
Diktatūra	Diktatur
Galaktika	Galaxie
Jupiters (planēta)	Jupiter (Planet)
Mišela Bačeleta	Michelle Bachelet
Piena Ceļš	Milchstraße
Lanvairpulguingila	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Lielais sprādziens	Urknall
Urāns (planēta)	Uranus (Planet)
Vikipēdija angļu valodā	Englischsprachige Wikipedia
Nikolā Sarkozī	Nicolas Sarkozy
Neptūns (planēta)	Neptun (Planet)
Astronomija	Astronomie
Singapūra	Singapur
Zinātne	Wissenschaft
Plutons (pundurplanēta)	Pluto
Monreāla	Montreal
Brīvā programmatūra	Freie Software
Kempēra	Quimper
Jaunava Marija	Maria (Mutter Jesu)
Luijs IX	Ludwig IX. (Frankreich)
Lihtenšteina	Liechtenstein
Sports	Sport
Kembridža	Cambridge
Jeloustonas nacionālais parks	Yellowstone-Nationalpark
Ādolfs Hitlers	Adolf Hitler
Facebook	Facebook
Google+	Google+
Kultūras piemineklis	Kulturdenkmal
WikiLeaks	WikiLeaks
Džulians Asānžs	Julian Assange
Pirmais pasaules karš	Erster Weltkrieg
Otrais pasaules karš	Zweiter Weltkrieg
Ķelne	Köln
Korupcija	Korruption
Wikibooks	Wikibooks
Augusto Pinočets	Augusto Pinochet
Wikiquote	Wikiquote
Wikiversity	Wikiversity
Wikivoyage	Wikivoyage
Degvīns	Wodka
Pulkstenis	Uhr
Janka Kupala	Janka Kupala
Ubuntu Linux	Ubuntu
Skopje	Skopje
Gdiņa	Gdynia
GNU/Linux	Linux
Bobs Dilans	Bob Dylan
Ščecina	Stettin
Metroloģija	Metrologie
Matemātika	Mathematik
U2	U2 (Band)
Latīņu valoda	Latein
Bahreina	Bahrain
Armēnija	Armenien
Dženna Džeimsone	Jenna Jameson
Ķīļraksts	Keilschrift
Higsa bozons	Higgs-Boson
Serbija	Serbien
Mēness	Mond
Stambula	Istanbul
Austrālija	Australien
Bobs Mārlijs	Bob Marley
Karls Sagans	Carl Sagan
Astrobioloģija	Astrobiologie
Fizika	Physik
Argentīna	Argentinien
Telesakari	Telekommunikation
Peru	Peru
Bioloģija	Biologie
Neidentificēts lidojošs objekts	UFO
Ziemeļkoreja	Nordkorea
Kambodža	Kambodscha
Dzīvnieku tiesības	Tierrechte
Koipera josla	Kuipergürtel
Korāns	Koran
Dinozauri	Dinosaurier
Zooloģija	Zoologie
Islāms	Islam
Bumbieres	Birnen
Aleksandrijas bibliotēka	Bibliothek von Alexandria
Ščebžešina	Szczebrzeszyn
Ļubļana	Ljubljana
Vonhocka	Wąchock
Salvadors Aljende	Salvador Allende
Botānika	Botanik
Lehs Valensa	Lech Wałęsa
Ritenis	Rad
Enciklopēdija (Denī Didro)	Encyclopédie ou Dictionnaire raisonné des sciences, des arts et des métiers
Denī Didro	Denis Diderot
Žoržs Brasēns	Georges Brassens
Prāts	Geist
Miers	Frieden
Encyclopædia Britannica	Encyclopædia Britannica
Liona	Lyon
Eiropas Savienība	Europäische Union
Plovdiva	Plowdiw
Zvaigžņu kari	Star Wars
Rona-Alpi	Rhône-Alpes
DBpedia	DBpedia
Vispasaules tīmeklis	World Wide Web
Sieviete	Frau
Sofija	Sofia
Akvedukts	Aquädukt
Dons Kihots	Don Quijote
Dzeja	Poesie
Datorvīruss	Computervirus
Černobiļas AES katastrofa	Nuklearkatastrophe von Tschernobyl
Hirosimas un Nagasaki bombardēšana	Atombombenabwürfe auf Hiroshima und Nagasaki
Milāna	Mailand
Draudzība	Freundschaft
Atmiņa	Gedächtnis
Arturs Rembo	Arthur Rimbaud
Turīna	Turin
Izkārnījumi	Kot
Anālā atvere	Anus
Citrons	Zitrone
Šarls Bodlērs	Charles Baudelaire
Stendāls	Stendhal
Emīls Zolā	Émile Zola
Zieds	Blüte
Gugols	Googol
Gugolplekss	Googolplex
Marianas dziļvaga	Marianengraben
Vladimirs Visockis	Wladimir Semjonowitsch Wyssozki
Everests	Mount Everest
Anatomija	Anatomie
Pilsēta	Stadt
Napoleons Bonaparts	Napoleon Bonaparte
Olimpa kalns (Marss)	Olympus Mons
Fizioloģija	Physiologie
Zvaigzne	Stern
Vezuvs	Vesuv
Saule	Sonne
Debesis	Himmel (planetär)
Luijs Pastērs	Louis Pasteur
Ingemars Stēnmarks	Ingemar Stenmark
Gaismas gads	Lichtjahr
Ciems	Dorf
Viktors Igo	Victor Hugo
Valdemāra zemesraga pils	Waldemarsudde
Okeānija	Ozeanien
Džuzepe Garibaldi	Giuseppe Garibaldi
Vieglatlētika	Leichtathletik
Cenzūra	Zensur (Informationskontrolle)
Saules sistēma	Sonnensystem
Baltijas jūra	Ostsee
Trieste	Triest
Visla	Weichsel
Elizejas lauki	Avenue des Champs-Élysées
Odera	Oder
Zobi	Zahn
Ūdeņradis	Wasserstoff
Petija Smita	Patti Smith
Hēlijs	Helium
Elle	Hölle
Vikikrātuve	Wikimedia Commons
Šķīstītava	Fegefeuer
Angela Merkele	Angela Merkel
Litijs	Lithium
Berilijs	Beryllium
Skaļrunis	Lautsprecher
Grāmata	Buch
Diennakts	Tag
Austrumtimora	Osttimor
Nakts	Nacht
Gads	Jahr
Gadsimts	Jahrhundert
Lodza	Łódź
Monblāns	Mont Blanc
Reina	Rhein
Oslo	Oslo
Bonna	Bonn
Visu svēto diena	Allerheiligen
Katovice	Katowice
Melnais caurums	Schwarzes Loch
Luišs di Kamoinšs	Luís de Camões
Gejs	Gay
Romas karalis	Der König von Rom
Cerera	(1) Ceres
Lisabona	Lissabon
Žešova	Rzeszów
Ihiro Suzuki	Ichirō Suzuki (Baseballspieler)
Haumeja	(136108) Haumea
Rona	Rhone
Makemake	(136472) Makemake
Maikls Blumbergs	Michael Bloomberg
Sekss	Sex
Erīda (pundurplanēta)	(136199) Eris
Dubaija	Dubai (Emirat)
Lionels Mesi	Lionel Messi
Paduja	Padua
Bors	Bor
Nikolajs Koperniks	Nikolaus Kopernikus
Versaļa	Versailles
Ogleklis	Kohlenstoff
Alesandro Del Pjēro	Alessandro Del Piero
Volga	Wolga
Slāpeklis	Stickstoff
Bergamo	Bergamo
Skābeklis	Sauerstoff
Milānas "Internazionale"	Inter Mailand
Nīls Jangs	Neil Young
Planēta	Planet
Kleopatra	Kleopatra VII.
Keita Buša	Kate Bush
Mūzika	Musik
Venēcija	Venedig
Naruto	Naruto (Manga)
Po (upe)	Po (Fluss)
Šarm eš Šeiha	Scharm El-Scheich
Ņeva	Newa
Termometrs	Thermometer
Renna	Rennes
Lille	Lille
Maskava	Moskau
Fluors	Fluor
Itāļu valoda	Italienische Sprache
Čivava (suņu šķirne)	Chihuahua (Hunderasse)
Neons	Neon
Čivava	Chihuahua (Bundesstaat)
Sanktpēterburga	Sankt Petersburg
Čada	Tschad
Nātrijs	Natrium
Ziemeļi	Norden
Magnijs	Magnesium
Alumīnijs	Aluminium
Jaunzēlande	Neuseeland
Dienvidi	Süden
Indija	Indien
Silīcijs	Silicium
Francijs	Francium
Tuvalu	Tuvalu
Fosfors	Phosphor
Andrē Marī Ampērs	André-Marie Ampère
Proza	Prosa
Dzelzs	Eisen
Tonga	Tonga
Rietumi	Westen
Alesandro Volta	Alessandro Volta
Sērs	Schwefel
Samoa	Samoa
Austrumi	Osten
Zālamana Salas	Salomonen
Vanuatu	Vanuatu
Moljērs	Molière
Hlors	Chlor
Delfta	Delft
Papua-Jaungvineja	Papua-Neuguinea
Viljams Šekspīrs	William Shakespeare
Fabula	Fabel
Dienvidholande	Provinz Südholland
Palau	Palau
Argons	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Pasaka	Märchen
Ziemeļholande	Provinz Nordholland
Mikronēzija (valsts)	Föderierte Staaten von Mikronesien
Kālijs	Kalium
Lionas "Olympique"	Olympique Lyon
Zēlande (province)	Provinz Zeeland
Kalcijs	Calcium
Flevolande	Provinz Flevoland
Svins	Blei
Māršala Salas	Marshallinseln
Kiribati	Kiribati
Mongolija	Mongolei
Fidži	Fidschi
Skandijs	Scandium
Stīvijs Vonders	Stevie Wonder
Heilbronna	Heilbronn
Titāns	Titan (Element)
Venecuēla	Venezuela
Šahs	Schach
Čingishans	Dschingis Khan
Vanādijs	Vanadium
Meina	Maine
Hroms	Chrom
Mājas zirgs	Hauspferd
Amsterdama	Amsterdam
Ierocis	Waffe
Dzīvnieki	Tier
Surinama	Suriname
Mangāns	Mangan
Paragvaja	Paraguay
Gajāna	Guyana
Māksla	Kunst
Ekvadora	Ecuador
Rēnijs	Rhenium
Kolumbija	Kolumbien
Kobalts	Cobalt
Žans Rasins	Jean Racine
Volframs	Wolfram
Niķelis	Nickel
Zemenes	Erdbeeren
Pjērs Korneijs	Pierre Corneille
Budisms	Buddhismus
Groningena	Groningen
Bolīvija	Bolivien
Osmijs	Osmium
Groningena (province)	Provinz Groningen
Varš	Kupfer
Trinidāda un Tobāgo	Trinidad und Tobago
Pols Verlēns	Paul Verlaine
Augi	Pflanzen
Sentvinsenta un Grenadīnas	St. Vincent und die Grenadinen
Cinks	Zink
Ņūhempšīra	New Hampshire
Sentlūsija	St. Lucia
Bjalistoka	Białystok
Leonardo da Vinči	Leonardo da Vinci
Sentkitsa un Nevisa	St. Kitts und Nevis
Sēnes	Pilze
Dario Fo	Dario Fo
Jamaika	Jamaika
Stefans Malarmē	Stéphane Mallarmé
Grenāda	Grenada
Frīzlande	Provinz Friesland
Masačūsetsa	Massachusetts
Drente	Provinz Drente
Overeisela	Provinz Overijssel
Gvatemala	Guatemala
Gelderlande	Provinz Gelderland
Utrehta (province)	Provinz Utrecht
Google Chrome	Google Chrome
Bahamas	Bahamas
Konektikuta	Connecticut
Mājas vista	Haushuhn
Antigva un Barbuda	Antigua und Barbuda
Havajas	Hawaii
Hondurasa	Honduras
Dominika	Dominica
Džērsija	Jersey
Dominikāna	Dominikanische Republik
Mājas cūka	Hausschwein
Ziemeļu Ledus okeāns	Arktischer Ozean
Haiti	Haiti
Taumatafakatanihanakoauauotamateaturipukakapikimaunahoronukupokaifenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
Salvadora	El Salvador
Zvolle	Zwolle
Irāna	Iran
Irāka	Irak
Aļaska	Alaska
Asena	Assen
Gudrība	Weisheit
Kostarika	Costa Rica
Izraēla	Israel
Novi Sonča	Nowy Sącz
Utrehta	Utrecht
Panama	Panama
Jemena	Jemen
Lozanna	Lausanne
Vīruss	Viren
Poļu valoda	Polnische Sprache
Jordānija	Jordanien
Nikaragva	Nicaragua
Florida	Florida
Kirgizstāna	Kirgisistan
Arizona	Arizona
Kuveita	Kuwait
Laosa	Laos
Libāna	Libanon
Oregona	Oregon
Maldīvija	Malediven
Amerika	Amerika
Jūta	Utah
Liellops	Hausrind
Čau	Ciao (Gruß)
Malaizija	Malaysia
Valē kantons	Kanton Wallis
Mihails Bulgakovs	Michail Afanassjewitsch Bulgakow
Mjanma	Myanmar
Nepāla	Nepal
Omāna	Oman
Pakistāna	Pakistan
Džeimss Bonds	James Bond
Katara	Katar
Teniss	Tennis
MySQL	MySQL
Saūda Arābija	Saudi-Arabien
Andrejs Tarkovskis	Andrei Arsenjewitsch Tarkowski
Šrilanka	Sri Lanka
Josifs Staļins	Josef Stalin
Svītrkods	Strichcode
Sīrija	Syrien
Platons	Platon
Gallijs	Gallium
Josifs Brodskis	Joseph Brodsky
Tadžikistāna	Tadschikistan
Pokemoni	Pokémon
Ķīnas Republika	Republik China (Taiwan)
YouTube	YouTube
Germānijs	Germanium
Aristotelis	Aristoteles
Taizeme	Thailand
Vilciens	Zug (Eisenbahn)
Arsēns	Arsen
Radio	Hörfunk
Merila Strīpa	Meryl Streep
Turkmenistāna	Turkmenistan
Abakana	Abakan (Stadt)
Selēns	Selen
Irīdijs	Iridium
Apvienotie Arābu Emirāti	Vereinigte Arabische Emirate
Broms	Brom
Platīns	Platin
Vjetnama	Vietnam
Čārlijs Čaplins	Charlie Chaplin
Novosibirska	Nowosibirsk
Dienvidkoreja	Südkorea
Juzefs Pilsudskis	Józef Piłsudski
Simpsoni	Die Simpsons
Jekaterinburga	Jekaterinburg
Kriptons	Krypton
Afganistāna	Afghanistan
Gangnam Style	Gangnam Style
Ņižņijnovgoroda	Nischni Nowgorod
Džons Ronalds Rūels Tolkīns	J. R. R. Tolkien
Samara	Samara
Rubīdijs	Rubidium
Zelts	Gold
Omska	Omsk
Suecas kanāls	Sueskanal
Kazaņa	Kasan
Zinātnieks	Wissenschaftler
Bangladeša	Bangladesch
Bleach (manga)	Bleach (Manga)
Francs Kafka	Franz Kafka
Čeļabinska	Tscheljabinsk
Rostova pie Donas	Rostow am Don
Horhe Luiss Borhess	Jorge Luis Borges
Ufa	Ufa (Stadt)
Mali	Mali
Sokrats	Sokrates
Volgograda	Wolgograd
Angola	Angola
Perma	Perm (Stadt)
Butāna	Bhutan
Twitter	Twitter
Krasnojarska	Krasnojarsk
Bruneja	Brunei
Tanzānija	Tansania
Dzīvsudrabs	Quecksilber
Roalds Amundsens	Roald Amundsen
Harijs Mulišs	Harry Mulisch
Filipīnas	Philippinen
Centrālāfrikas Republika	Zentralafrikanische Republik
Tallijs	Thallium
Dienvidpols	Südpol
Ziemeļpols	Nordpol
Īzaks Ņūtons	Isaac Newton
OpenStreetMap	OpenStreetMap
Alberts Einšteins	Albert Einstein
Stroncijs	Strontium
Pedru I	Peter I. (Brasilien)
Narkotikas	Suchtstoff
Itrijs	Yttrium
Bismuts	Bismut
Dzeltenā krāsa	Gelb
Kvantu mehānika	Quantenmechanik
Togo	Togo
Donalds Tusks	Donald Tusk
Tunisija	Tunesien
Džons Bardīns	John Bardeen
Zambija	Sambia
Zimbabve	Simbabwe
Pekina	Peking
Dienvidsudāna	Südsudan
Vladivostoka	Wladiwostok
Tiva	Tuwa
Benina	Benin
Botsvana	Botswana
Wikinews	Wikinews
Burkinafaso	Burkina Faso
Burundi	Burundi
Komoras	Komoren
Kongo Republika	Republik Kongo
Alkmāra	Alkmaar
Oba	Ob
Kongo Demokrātiskā Republika	Demokratische Republik Kongo
Sanantonio	San Antonio
Tomska	Tomsk
Džibutija	Dschibuti
Mēme	Mem
Polonijs	Polonium
Bavārija	Bayern
Pasaules kauss kalnu slēpošanā	Alpiner Skiweltcup
Ekvatoriālā Gvineja	Äquatorialguinea
Bādene-Virtemberga	Baden-Württemberg
Eritreja	Eritrea
Ņūdeli	Neu-Delhi
Jānis Pāvils II	Johannes Paul II.
Fjodors Dostojevskis	Fjodor Michailowitsch Dostojewski
Amersforta	Amersfoort
Kamčatkas pussala	Kamtschatka
Tbilisi	Tiflis
Andrejs Saharovs	Andrei Dmitrijewitsch Sacharow
Zīdainis	Säugling
Astats	Astat
Gabona	Gabun
Mohandass Karamčands Gandijs	Mohandas Karamchand Gandhi
Čukču pussala	Tschuktschen-Halbinsel
Komikss	Comic
Gambija	Gambia
Gvineja	Guinea
Gvineja-Bisava	Guinea-Bissau
Kotdivuāra	Elfenbeinküste
Kamerūna	Kamerun
Maribora	Maribor
Kaboverde	Kap Verde
Lesoto	Lesotho
Libērija	Liberia
Lībija	Libyen
Āhene	Aachen
Madagaskara	Madagaskar
Malāvija	Malawi
Štutgarte	Stuttgart
Mauritānija	Mauretanien
Poļi	Polen (Ethnie)
Maurīcija	Mauritius
Maroka	Marokko
Mozambika	Mosambik
Namībija	Namibia
Nigēra	Niger
Nigērija	Nigeria
Čārlzs Darvins	Charles Darwin
Uganda	Uganda
Ruanda	Ruanda
Cirkonijs	Zirconium
Santome un Prinsipi	São Tomé und Príncipe
Karlsrūe	Karlsruhe
Senegāla	Senegal
Seišelas	Seychellen
Kārlis Linnejs	Carl von Linné
Sjerraleone	Sierra Leone
Somālija	Somalia
Niobijs	Niob
Džavaharlals Neru	Jawaharlal Nehru
Jūlijs Cēzars	Gaius Iulius Caesar
Sudāna	Sudan
Svazilenda	Swasiland
Varavīksne	Regenbogen
Molibdēns	Molybdän
Tehnēcijs	Technetium
Hamburga	Hamburg
Vielmaiņa	Stoffwechsel
Narēndra Modi	Narendra Modi
Imūnsistēma	Immunsystem
Gudžarāta	Gujarat
Ontārio ezers	Ontariosee
Evolūcija	Evolution
Apvienoto Nāciju Organizācija	Vereinte Nationen
Augšezers	Oberer See
Dante Aligjēri	Dante Alighieri
Ģeoloģija	Geologie
Amdāvāda	Ahmedabad
Ģeogrāfija	Geographie
Sirds	Herz
Smadzenes	Gehirn
Āda	Haut
Krāsa	Farbe
Pārkāpt robežu	Breaking Bad
Salerno	Salerno
Lietvārds	Substantiv
Prāga	Prag
Rutēnijs	Ruthenium
Rodijs	Rhodium
Zilā krāsa	Blau
Pallādijs	Palladium
Sudrabs	Silber
Kadmijs	Cadmium
Zvaigžņu ceļš	Star Trek
Limburga (Nīderlande)	Provinz Limburg (Niederlande)
Indijs	Indium
Limburga (Beļģija)	Provinz Limburg (Belgien)
Alva	Zinn
Urāns (elements)	Uran
Antimons	Antimon
Telūrs	Tellur
Ziemeļbrabante	Provinz Nordbrabant
Plutonijs	Plutonium
Jods (elements)	Iod
Neptūnijs	Neptunium
Ksenons	Xenon
Anime	Anime
Cēzijs	Caesium
Protaktīnijs	Protactinium
Elektriskais lādiņš	Elektrische Ladung
Bārijs	Barium
Rietumflandrija	Provinz Westflandern
Austrumflandrija	Provinz Ostflandern
Torijs	Thorium
Antverpenes province	Provinz Antwerpen
Flāmu Brabante	Provinz Flämisch-Brabant
Hafnijs	Hafnium
Aktīnijs	Actinium
Valoņu Brabante	Provinz Wallonisch-Brabant
Tantals	Tantal
Bills Klintons	Bill Clinton
Namīras province	Provinz Namur
Luksemburgas province	Provinz Luxemburg
Ljēžas province	Provinz Lüttich
Rādijs	Radium
Eno	Provinz Hennegau
Ālene (Ziemeļreina-Vestfālene)	Ahlen
Radons	Radon
Lotringa	Lothringen
Elzasa	Elsass
Žans Filips Ramo	Jean-Philippe Rameau
Indira Gandija	Indira Gandhi
Merkurs (mitoloģija)	Mercurius
Ektors Berliozs	Hector Berlioz
Overņa	Auvergne
Mumbaja	Mumbai
Starptautiskā vieglatlētikas federācija	International Association of Athletics Federations
Āndhra Pradēša	Andhra Pradesh
Arunāčala Pradēša	Arunachal Pradesh
Asama	Assam
Bihāra	Bihar
Mičigana	Michigan
Čhatīsgarha	Chhattisgarh
Mičigans	Michigansee
Goa	Goa
Burgundija	Burgund
Harjāna	Haryana
Himāčala Pradēša	Himachal Pradesh
Moriss Ravēls	Maurice Ravel
Akvitānija	Aquitanien
Džammu un Kašmīra	Jammu und Kashmir
Puertoriko	Puerto Rico
Džhārkhanda	Jharkhand
Karnātaka	Karnataka
Kerala	Kerala
Madhja Pradēša	Madhya Pradesh
Useins Bolts	Usain Bolt
Limuzēna	Limousin
Mahārāštra	Maharashtra
Žans Batists Lulli	Jean-Baptiste Lully
Manipura	Manipur
Šlēsviga-Holšteina	Schleswig-Holstein
Meghālaja	Meghalaya
Mēklenburga-Priekšpomerānija	Mecklenburg-Vorpommern
Lejassaksija	Niedersachsen
Ziemeļreina-Vestfālene	Nordrhein-Westfalen
Hesene	Hessen
Reinzeme-Pfalca	Rheinland-Pfalz
Zāra (zeme)	Saarland
Saksija	Sachsen
Džons Lenons	John Lennon
Ilinoisa	Illinois
Tīringene	Thüringen
Saksija-Anhalte	Sachsen-Anhalt
Ziemeļdakota	North Dakota
Brandenburga (zeme)	Brandenburg
Brēmene (federālā zeme)	Freie Hansestadt Bremen
Lombardija	Lombardei
Dienviddakota	South Dakota
Montāna	Montana
Vaiominga	Wyoming
Pjemonta	Piemont
Jeruzaleme	Jerusalem
Džordžo Napolitāno	Giorgio Napolitano
Aidaho	Idaho
Valle d'Aosta	Aostatal
Vašingtona (štats)	Washington (Staat)
Brūss Springstīns	Bruce Springsteen
Rezerfordijs	Rutherfordium
Nevada	Nevada
Dona	Don (Asowsches Meer)
Dubnijs	Dubnium
Sīborgijs	Seaborgium
Trentīno-Alto Adidže	Trentino-Südtirol
Indijas okeāns	Indischer Ozean
Veneto	Venetien
Kosova	Kosovo
Karību jūra	Karibisches Meer
Borijs	Bohrium
Friuli-Venēcija Džūlija	Friaul-Julisch Venetien
Hasijs	Hassium
Pans Kimuns	Ban Ki-moon
Kofi Annans	Kofi Annan
Ligūrija	Ligurien
Butross Butross-Gali	Boutros Boutros-Ghali
Meitnērijs	Meitnerium
Kurts Valdheims	Kurt Waldheim
Kolorādo	Colorado
Emīlija-Romanja	Emilia-Romagna
U Tans	U Thant
Kolorādo (upe)	Colorado River
Darmštatijs	Darmstadtium
Dāgs Hammaršelds	Dag Hammarskjöld
Frideriks Šopēns	Frédéric Chopin
Rentgenijs	Roentgenium
Toskāna	Toskana
Leonards Koens	Leonard Cohen
Kopernikijs	Copernicium
Marke	Marken
Umbrija	Umbrien
