આફ્રિકા	Afrika
ડાયનાસોર	Dinosaurier
પ્રાણીશાસ્ત્ર	Zoologie
ઇસ્લામ	Islam
વર્લ્ડ વાઈડ વેબ	World Wide Web
સ્ત્રી	Frau
કોમ્પ્યુટર વાયરસ	Computervirus
હિરોશિમા અને નાગાસાકી પરનો અણુ હુમલો	Atombombenabwürfe auf Hiroshima und Nagasaki
મિલાન	Mailand
લીંબુ	Zitrone
ફૂલ	Blüte
માઉન્ટ એવરેસ્ટ	Mount Everest
શહેર	Stadt
નેપોલિયન બોનાપાર્ટ	Napoleon Bonaparte
સૂર્ય	Sonne
લૂઈ પાશ્ચર	Louis Pasteur
પ્રકાશવર્ષ	Lichtjahr
ગામ	Dorf
સૂર્યમંડળ	Sonnensystem
ચેમ્પ્સ-એલીસીસ (પેરિસ)	Avenue des Champs-Élysées
ઉદકજન	Wasserstoff
હીલિયમ	Helium
નર્ક	Hölle
વિકિમીડિયા કૉમન્સ	Wikimedia Commons
લિથિયમ	Lithium
બેરિલિયમ	Beryllium
દિવસ	Tag
પૂર્વ તિમોર	Osttimor
વર્ષ	Jahr
ઓસ્લો	Oslo
કૃષ્ણ વિવર	Schwarzes Loch
સિરસ (વામન ગ્રહ)	(1) Ceres
હૌમેયા (વામન ગ્રહ)	(136108) Haumea
મેકમેક (વામન ગ્રહ)	(136472) Makemake
બોરોન	Bor
કાર્બન	Kohlenstoff
નત્રલવાયુ	Stickstoff
પ્રાણવાયુ (ઑક્સીજન)	Sauerstoff
ગ્રહ	Planet
સંગીત	Musik
ઉષ્ણતામાપક	Thermometer
ફ્લોરિન	Fluor
નિયોન	Neon
ચૅડ	Tschad
ક્ષારાતુ	Natrium
ઉત્તર	Norden
મેગ્નેશિયમ	Magnesium
સ્ફટયાતુ	Aluminium
દક્ષિણ	Süden
ભારત	Indien
સિલિકોન	Silicium
ફ્રાંસીયમ	Francium
ફોસ્ફરસ	Phosphor
લોખંડ	Eisen
પશ્ચિમ	Westen
ગંધક	Schwefel
સમોઆ	Samoa
નીરજી	Chlor
વિલિયમ શેક્સપીયર	William Shakespeare
આર્ગોન	Argon
નૌરુ	Nauru
પોટેશિયમ	Kalium
કેલ્શિયમ	Calcium
સીસું	Blei
મંગોલિયા	Mongolei
સ્કેન્ડિયમ	Scandium
ટાઇટેનિયમ	Titan (Element)
વેનેઝુએલા	Venezuela
ચેસ	Schach
વેનેડિયમ	Vanadium
વર્ણાતુ	Chrom
ઘોડો	Hauspferd
હથિયારો	Waffe
પ્રાણી	Tier
સુરીનામ	Suriname
મેંગેનિઝ	Mangan
ગુયાના	Guyana
કલા	Kunst
ઈક્વેડોર	Ecuador
રિનીયમ	Rhenium
કોલમ્બિયા	Kolumbien
કોબાલ્ટ	Cobalt
ટંગસ્ટન	Wolfram
નિકલ	Nickel
બૌદ્ધ ધર્મ	Buddhismus
બોલીવિયા	Bolivien
ઓસ્મીયમ	Osmium
તાંબુ	Kupfer
ટ્રિનિદાદ અને ટોબેગો	Trinidad und Tobago
જસત	Zink
ન્યૂ હેમ્પશાયર	New Hampshire
લિઓનાર્ડો દ વિન્ચી	Leonardo da Vinci
ગૂગલ ક્રોમ	Google Chrome
હોન્ડુરાસ	Honduras
હૈતી	Haiti
ઈરાન	Iran
ઈરાક	Irak
શાણપણ	Weisheit
ઈઝરાયલ	Israel
પનામા	Panama
યેમેન	Jemen
જૉર્ડન	Jordanien
કિર્ગિસ્તાન	Kirgisistan
કુવૈત	Kuwait
લાઓસ	Laos
લેબેનાન	Libanon
માલદીવ્સ	Malediven
અમેરિકા	Amerika
મલેશિયા	Malaysia
બર્મા	Myanmar
નેપાળ	Nepal
ઓમાન	Oman
પાકિસ્તાન	Pakistan
જેમ્સ બોન્ડ	James Bond
કતાર (અરબસ્તાન)	Katar
સાઉદી અરેબિયા	Saudi-Arabien
શ્રીલંકા	Sri Lanka
સ્ટાલિન	Josef Stalin
સિરિયા	Syrien
પ્લેટો	Platon
ગેલિયમ	Gallium
તાજિકિસ્તાન	Tadschikistan
ચીની ગણતંત્ર	Republik China (Taiwan)
યુ ટ્યુબ	YouTube
જર્મેનિયમ	Germanium
એરિસ્ટોટલ	Aristoteles
થાઇલેન્ડ	Thailand
સોમલ	Arsen
તુર્કમેનિસ્તાન	Turkmenistan
સેલિનીયમ	Selen
ઈરિડીયમ	Iridium
બ્રોમિન	Brom
પ્લેટિનમ	Platin
વિયેતનામ	Vietnam
ચાર્લી ચૅપ્લિન	Charlie Chaplin
દક્ષિણ કોરિયા	Südkorea
ક્રિપ્ટોન	Krypton
અફઘાનિસ્તાન	Afghanistan
રુબિડીયમ	Rubidium
સોનું	Gold
સુએઝ નહેર	Sueskanal
બાંગ્લાદેશ	Bangladesch
સોક્રેટિસ	Sokrates
ભૂતાન	Bhutan
બ્રુનેઈ	Brunei
ટાન્ઝાનિયા	Tansania
પારો	Quecksilber
ફીલીપાઈન્સ	Philippinen
થેલીયમ	Thallium
આઇઝેક ન્યુટન	Isaac Newton
આલ્બર્ટ આઇન્સ્ટાઇન	Albert Einstein
સ્ટ્રોન્શિયમ	Strontium
ઈટ્રીયમ	Yttrium
બિસ્મથ	Bismut
ટોગો	Togo
ટ્યુનિશિયા	Tunesien
બેઇજિંગ	Peking
બેનિન	Benin
પોલોનીયમ	Polonium
એસ્ટાટીન	Astat
મહાત્મા ગાંધી	Mohandas Karamchand Gandhi
મડાગાસ્કર	Madagaskar
સ્ટુટગાર્ટ	Stuttgart
નાઈજર	Niger
નાઈજેરિયા	Nigeria
ચાર્લ્સ ડાર્વિન	Charles Darwin
ઝિર્કોનિયમ	Zirconium
નાયોબિયમ	Niob
જવાહરલાલ નેહરુ	Jawaharlal Nehru
જુલિયસ સીઝર	Gaius Iulius Caesar
સુદાન	Sudan
સ્વાઝીલેન્ડ	Swasiland
મેઘધનુષ	Regenbogen
મોલિબ્ડેનમ	Molybdän
ટેક્નેશિયમ	Technetium
ચયાપચય	Stoffwechsel
નરેન્દ્ર મોદી	Narendra Modi
ગુજરાત	Gujarat
ઉત્ક્રાંતિ	Evolution
સંયુક્ત રાષ્ટ્રસંઘ	Vereinte Nationen
અમદાવાદ	Ahmedabad
ભૂગોળ	Geographie
મગજ	Gehirn
સંજ્ઞા	Substantiv
રુથેનિયમ	Ruthenium
રોડિયમ	Rhodium
પલેડિયમ	Palladium
ચાંદી	Silber
કેડમિયમ	Cadmium
ઈંડિયમ	Indium
ટીન	Zinn
યુરેનિયમ	Uran
એંટિમની	Antimon
ટેલુરિયમ	Tellur
પ્લુટોનીયમ	Plutonium
આયોડિન	Iod
નેપ્ચ્યુનીયમ	Neptunium
ઝેનોન	Xenon
સીસીયમ	Caesium
પ્રોટેક્ટિનીયમ	Protactinium
બેરિયમ	Barium
થોરીયમ	Thorium
હાફનીયમ	Hafnium
એક્ટિનીયમ	Actinium
ટેન્ટેલમ	Tantal
રેડિયમ	Radium
રેડૉન	Radon
ઈન્દિરા ગાંધી	Indira Gandhi
જામનગર	Jamnagar
મુંબઈ	Mumbai
આંધ્ર પ્રદેશ	Andhra Pradesh
અરુણાચલ પ્રદેશ	Arunachal Pradesh
આસામ	Assam
બિહાર	Bihar
છત્તીસગઢ	Chhattisgarh
ગોઆ	Goa
હરિયાણા	Haryana
હિમાચલ પ્રદેશ	Himachal Pradesh
જમ્મુ અને કાશ્મીર	Jammu und Kashmir
ઝારખંડ	Jharkhand
કર્ણાટક	Karnataka
કેરળ	Kerala
મધ્ય પ્રદેશ	Madhya Pradesh
યુસૈન બોલ્ટ	Usain Bolt
મહારાષ્ટ્ર	Maharashtra
મણિપુર	Manipur
મેઘાલય	Meghalaya
બ્રુસ સ્પ્રિન્ગસ્ટીન	Bruce Springsteen
રુથરફોર્ડીયમ	Rutherfordium
ડૂબનીયમ	Dubnium
સીબોર્ગીયમ	Seaborgium
હિંદ મહાસાગર	Indischer Ozean
કેરેબિયન સાગર	Karibisches Meer
બોહ્રીયમ	Bohrium
હેસીયમ	Hassium
માઈટનિરીયમ	Meitnerium
ડાર્મસ્ટેડીયમ	Darmstadtium
રેન્ટજિનીયમ	Roentgenium
કોપરનિસીયમ	Copernicium
ધ બિટલ્સ	The Beatles
શિયાળો	Winter
ઉનાળો	Sommer
સમપ્રકાશીય ઘટના કે વિષુવકાલ	Äquinoktium
ફિલાડેલ્ફિયા, પેન્સિલવેનિયા	Philadelphia
કોલકાતા	Kalkutta
ચેન્નઈ	Chennai
દિલ્હી	Delhi
ઢાકા	Dhaka
બેંગલોર	Bangalore
પશ્ચિમ બંગાળ	Westbengalen
હૈદરાબાદ	Hyderabad (Indien)
ઇસ્લામાબાદ	Islamabad
ત્રિપુરા	Tripura
સિરીયમ	Cer
પ્રેસિયોડિમિયમ	Praseodym
નિયોડીમીયમ	Neodym
લેનિન	Wladimir Iljitsch Lenin
યુરોપિયમ	Europium
ઊએતેર્સેન્	Uetersen
ઇન્ડિયાના	Indiana
નોકિયા	Nokia
મોટરગાડી	Automobil
ટ્રાજન	Trajan
રોજર ફેડરર	Roger Federer
રાજસ્થાન	Rajasthan
તમિલનાડુ	Tamil Nadu
હોકી	Hockey
ક્રોહનનો રોગ	Morbus Crohn
ઉત્તર પ્રદેશ	Uttar Pradesh
ઉત્તરાખંડ	Uttarakhand
મિઝોરમ	Mizoram
સિક્કિમ	Sikkim
ટેનેસી	Tennessee
નાગપુર	Nagpur
કારાકાસ	Caracas
પુના	Pune
આયોવા	Iowa
નેબ્રાસ્કા	Nebraska
કેન્સાસ	Kansas
હિંદી ભાષા	Hindi
મરાઠી ભાષા	Marathi
ગણેશ	Ganesha
મિઝોરી	Missouri
લ્યુઇસિયાના	Louisiana
નાગાલેંડ	Nagaland
અરકાનસાસ	Arkansas
નીલ આર્મસ્ટ્રૉંગ	Neil Armstrong
ઉર્દુ ભાષા	Urdu
ઓક્લાહોમા	Oklahoma
બુડાપેસ્ટ	Budapest
લેન્થેનમ	Lanthan
પ્રોમેથિયમ	Promethium
સમેરિયમ	Samarium
ગેડોલિનીયમ	Gadolinium
ટર્બિયમ	Terbium
ડીસ્પ્રોસીયમ	Dysprosium
બાઇબલ	Bibel
હોલ્મીયમ	Holmium
અર્બિયમ	Erbium
થુલિયમ	Thulium
ઈટરબિયમ	Ytterbium
લ્યુટેશિયમ	Lutetium
સત્ય ઇસુ દેવળ	Wahre Jesus-Kirche
અંગ્રેજી ભાષા	Englische Sprache
અમેરિસીયમ	Americium
ક્યુરીયમ	Curium
બર્કેલીયમ	Berkelium
કેલિફોર્નીયમ	Californium
આઇન્સ્ટેનીયમ	Einsteinium
ફર્મીયમ	Fermium
મેન્ડેલિવીયમ	Mendelevium
નોબેલીયમ	Nobelium
લોરેન્સીયમ	Lawrencium
ગુરુના ચંદ્રો	Liste der Jupitermonde
કઞ્સ્કવલા	Końskowola
૨૦૦૧	2001
વિકિટ્રાવેલ	Wikitravel
૧૯૯૩	1993
૧૯૧૦	1910
સાપ	Schlangen
મુખ મૈથુન	Oralverkehr
જાન્યુઆરી ૧	1. Januar
જાન્યુઆરી ૨	2. Januar
સુભાષચંદ્ર બોઝ	Subhash Chandra Bose
જાન્યુઆરી ૩	3. Januar
જાન્યુઆરી ૪	4. Januar
જાન્યુઆરી ૫	5. Januar
જાન્યુઆરી ૬	6. Januar
જાન્યુઆરી ૭	7. Januar
જાન્યુઆરી ૮	8. Januar
જાન્યુઆરી ૯	9. Januar
જાન્યુઆરી ૧૦	10. Januar
જાન્યુઆરી ૧૧	11. Januar
જાન્યુઆરી ૧૨	12. Januar
જાન્યુઆરી ૧૩	13. Januar
બર્મિંગહામ	Birmingham
જાન્યુઆરી ૧૪	14. Januar
જાન્યુઆરી ૧૫	15. Januar
જાન્યુઆરી ૧૬	16. Januar
જાન્યુઆરી ૧૭	17. Januar
જાન્યુઆરી ૧૮	18. Januar
જાન્યુઆરી ૧૯	19. Januar
જાન્યુઆરી ૨૦	20. Januar
જાન્યુઆરી ૨૧	21. Januar
જાન્યુઆરી ૨૨	22. Januar
જાન્યુઆરી ૨૩	23. Januar
જાન્યુઆરી ૨૪	24. Januar
જાન્યુઆરી ૨૫	25. Januar
જાન્યુઆરી ૨૬	26. Januar
માઇક્રોસોફ્ટ	Microsoft
જાન્યુઆરી ૨૭	27. Januar
જાન્યુઆરી ૨૮	28. Januar
જાન્યુઆરી ૨૯	29. Januar
જાન્યુઆરી ૩૦	30. Januar
જાન્યુઆરી ૩૧	31. Januar
ડિસેમ્બર ૨	2. Dezember
ડિસેમ્બર ૧	1. Dezember
ડિસેમ્બર ૩	3. Dezember
ડિસેમ્બર ૭	7. Dezember
ડિસેમ્બર ૫	5. Dezember
ડિસેમ્બર ૮	8. Dezember
ડિસેમ્બર ૧૦	10. Dezember
ડિસેમ્બર ૬	6. Dezember
ડિસેમ્બર ૯	9. Dezember
પિંક ફ્લોઇડ	Pink Floyd
ડિસેમ્બર ૪	4. Dezember
ફેબ્રુઆરી ૧	1. Februar
ફેબ્રુઆરી ૨	2. Februar
ફેબ્રુઆરી ૩	3. Februar
કુરોવ	Kurów
ફેબ્રુઆરી ૪	4. Februar
ફેબ્રુઆરી ૫	5. Februar
ફેબ્રુઆરી ૬	6. Februar
ફેબ્રુઆરી ૭	7. Februar
ફેબ્રુઆરી ૮	8. Februar
ફેબ્રુઆરી ૯	9. Februar
ફેબ્રુઆરી ૧૦	10. Februar
રસાયણ શાસ્ત્ર	Chemie
ફેબ્રુઆરી ૧૪	14. Februar
ફેબ્રુઆરી ૧૩	13. Februar
ફેબ્રુઆરી ૧૫	15. Februar
ફેબ્રુઆરી ૧૧	11. Februar
ફેબ્રુઆરી ૧૨	12. Februar
ફેબ્રુઆરી ૧૯	19. Februar
ફેબ્રુઆરી ૧૭	17. Februar
ફેબ્રુઆરી ૧૬	16. Februar
ફેબ્રુઆરી ૧૮	18. Februar
ફેબ્રુઆરી ૨૦	20. Februar
ફેબ્રુઆરી ૨૧	21. Februar
ફેબ્રુઆરી ૨૨	22. Februar
ફેબ્રુઆરી ૨૩	23. Februar
ફેબ્રુઆરી ૨૪	24. Februar
ફેબ્રુઆરી ૨૫	25. Februar
ફેબ્રુઆરી ૨૬	26. Februar
ફેબ્રુઆરી ૨૭	27. Februar
ફેબ્રુઆરી ૨૮	28. Februar
ડિસેમ્બર ૧૧	11. Dezember
ફેબ્રુઆરી ૨૯	29. Februar
ડિસેમ્બર ૧૨	12. Dezember
C શાર્પ (પ્રોગ્રામિંગ ભાષા)	C-Sharp
ડિસેમ્બર ૧૩	13. Dezember
ડિસેમ્બર ૧૪	14. Dezember
ડિસેમ્બર ૧૫	15. Dezember
માર્ચ ૨	2. März
માર્ચ ૩	3. März
માર્ચ ૫	5. März
માર્ચ ૧	1. März
માર્ચ ૭	7. März
માર્ચ ૮	8. März
માર્ચ ૪	4. März
માર્ચ ૧૦	10. März
માર્ચ ૧૧	11. März
માર્ચ ૬	6. März
માર્ચ ૧૩	13. März
માર્ચ ૯	9. März
માર્ચ ૧૨	12. März
માર્ચ ૧૫	15. März
માર્ચ ૧૪	14. März
C++(પ્રોગ્રામિંગ ભાષા)	C++
ડિસેમ્બર ૧૬	16. Dezember
ડિસેમ્બર ૧૭	17. Dezember
માર્ચ ૧૬	16. März
માર્ચ ૧૭	17. März
માર્ચ ૧૮	18. März
માર્ચ ૧૯	19. März
માર્ચ ૨૦	20. März
માર્ચ ૨૧	21. März
માર્ચ ૨૨	22. März
ડિસેમ્બર ૧૮	18. Dezember
માર્ચ ૨૩	23. März
ડિસેમ્બર ૧૯	19. Dezember
માર્ચ ૨૪	24. März
માર્ચ ૨૫	25. März
ડિસેમ્બર ૨૦	20. Dezember
માર્ચ ૨૬	26. März
માર્ચ ૨૭	27. März
માર્ચ ૨૮	28. März
માર્ચ ૨૯	29. März
માર્ચ ૩૦	30. März
માર્ચ ૩૧	31. März
એપ્રિલ ૧૫	15. April
એપ્રિલ ૧૩	13. April
એપ્રિલ ૧૨	12. April
એપ્રિલ ૧૪	14. April
એપ્રિલ ૧૧	11. April
એપ્રિલ ૧૦	10. April
એપ્રિલ ૮	8. April
એપ્રિલ ૯	9. April
એપ્રિલ ૭	7. April
એપ્રિલ ૬	6. April
એપ્રિલ ૫	5. April
એપ્રિલ ૪	4. April
એપ્રિલ ૩	3. April
એપ્રિલ ૧	1. April
એપ્રિલ ૨	2. April
એપ્રિલ ૧૬	16. April
એપ્રિલ ૧૭	17. April
એપ્રિલ ૧૮	18. April
એપ્રિલ ૧૯	19. April
એપ્રિલ ૨૦	20. April
એપ્રિલ ૨૧	21. April
એપ્રિલ ૨૨	22. April
એપ્રિલ ૨૩	23. April
એપ્રિલ ૨૪	24. April
એપ્રિલ ૨૫	25. April
એપ્રિલ ૨૬	26. April
એપ્રિલ ૨૭	27. April
એપ્રિલ ૨૮	28. April
એપ્રિલ ૨૯	29. April
એપ્રિલ ૩૦	30. April
મે ૧	1. Mai
મે ૨	2. Mai
મે ૩	3. Mai
મે ૪	4. Mai
મે ૫	5. Mai
મે ૬	6. Mai
મે ૭	7. Mai
મે ૮	8. Mai
મે ૯	9. Mai
મે ૧૦	10. Mai
મે ૧૧	11. Mai
મે ૧૨	12. Mai
મે ૧૩	13. Mai
મે ૧૪	14. Mai
મે ૧૫	15. Mai
મે ૧૬	16. Mai
મે ૧૭	17. Mai
મે ૧૮	18. Mai
મે ૧૯	19. Mai
મે ૨૦	20. Mai
મે ૨૧	21. Mai
મે ૨૨	22. Mai
મે ૨૩	23. Mai
મે ૨૪	24. Mai
મે ૨૫	25. Mai
મે ૨૬	26. Mai
મે ૨૭	27. Mai
મે ૨૮	28. Mai
મે ૨૯	29. Mai
મે ૩૦	30. Mai
મે ૩૧	31. Mai
ડિસેમ્બર ૨૧	21. Dezember
જૂન ૧૪	14. Juni
જૂન ૧૫	15. Juni
જૂન ૧૩	13. Juni
જૂન ૧૦	10. Juni
જૂન ૭	7. Juni
જૂન ૧૧	11. Juni
જૂન ૯	9. Juni
જૂન ૧૨	12. Juni
જૂન ૬	6. Juni
જૂન ૮	8. Juni
જૂન ૫	5. Juni
જૂન ૩	3. Juni
જૂન ૨	2. Juni
જૂન ૧	1. Juni
જૂન ૪	4. Juni
ડિસેમ્બર ૨૨	22. Dezember
જૂન ૧૬	16. Juni
જૂન ૩૦	30. Juni
જૂન ૨૯	29. Juni
જૂન ૨૮	28. Juni
જૂન ૨૬	26. Juni
જૂન ૨૫	25. Juni
જૂન ૨૨	22. Juni
જૂન ૨૭	27. Juni
જૂન ૨૪	24. Juni
જૂન ૨૦	20. Juni
જૂન ૨૩	23. Juni
જૂન ૧૯	19. Juni
જૂન ૧૮	18. Juni
જૂન ૨૧	21. Juni
જૂન ૧૭	17. Juni
ડિસેમ્બર ૨૩	23. Dezember
આર્નોલ્ડ શ્વાર્ઝેનેગર	Arnold Schwarzenegger
જુલાઇ ૧૫	15. Juli
જુલાઇ ૧૩	13. Juli
જુલાઇ ૧૨	12. Juli
જુલાઇ ૧૦	10. Juli
જુલાઇ ૯	9. Juli
જુલાઇ ૧૪	14. Juli
જુલાઇ ૮	8. Juli
જુલાઇ ૭	7. Juli
જુલાઇ ૬	6. Juli
જુલાઇ ૫	5. Juli
જુલાઇ ૨	2. Juli
જુલાઇ ૪	4. Juli
જુલાઇ ૩	3. Juli
જુલાઇ ૧	1. Juli
જુલાઇ ૧૧	11. Juli
ડિસેમ્બર ૨૪	24. Dezember
જુલાઇ ૩૧	31. Juli
જુલાઇ ૩૦	30. Juli
જુલાઇ ૨૯	29. Juli
જુલાઇ ૨૮	28. Juli
જુલાઇ ૨૭	27. Juli
જુલાઇ ૨૫	25. Juli
જુલાઇ ૨૪	24. Juli
જુલાઇ ૨૩	23. Juli
જુલાઇ ૨૬	26. Juli
જુલાઇ ૨૨	22. Juli
જુલાઇ ૧૯	19. Juli
જુલાઇ ૨૧	21. Juli
જુલાઇ ૨૦	20. Juli
જુલાઇ ૧૭	17. Juli
જુલાઇ ૧૮	18. Juli
જુલાઇ ૧૬	16. Juli
અસોસિએશન ફુટબોલ	Fußball
ડિસેમ્બર ૨૫	25. Dezember
ડિસેમ્બર ૨૬	26. Dezember
ઓગસ્ટ ૧૪	14. August
ઓગસ્ટ ૧૫	15. August
ઓગસ્ટ ૧૩	13. August
ઓગસ્ટ ૧૨	12. August
ઓગસ્ટ ૧૧	11. August
ઓગસ્ટ ૧૦	10. August
ઓગસ્ટ ૮	8. August
ઓગસ્ટ ૭	7. August
ઓગસ્ટ ૯	9. August
ઓગસ્ટ ૫	5. August
ઓગસ્ટ ૪	4. August
ઓગસ્ટ ૨	2. August
ઓગસ્ટ ૩	3. August
ઓગસ્ટ ૬	6. August
ઓગસ્ટ ૧	1. August
આઇપેડ (iPad)	IPad
ડિસેમ્બર ૨૭	27. Dezember
સબમરીન	U-Boot
ઓગસ્ટ ૧૬	16. August
ઓગસ્ટ ૨૯	29. August
ઓગસ્ટ ૨૮	28. August
ઓગસ્ટ ૩૦	30. August
ઓગસ્ટ ૨૫	25. August
ઓગસ્ટ ૨૬	26. August
ઓગસ્ટ ૨૩	23. August
ઓગસ્ટ ૨૭	27. August
ઓગસ્ટ ૨૧	21. August
ઓગસ્ટ ૨૦	20. August
ઓગસ્ટ ૨૪	24. August
ઓગસ્ટ ૧૮	18. August
ઓગસ્ટ ૧૭	17. August
ઓગસ્ટ ૨૨	22. August
ઓગસ્ટ ૧૯	19. August
ઓગસ્ટ ૩૧	31. August
માઇકલ જેકસન	Michael Jackson
ડિસેમ્બર ૨૮	28. Dezember
સપ્ટેમ્બર ૧૫	15. September
સપ્ટેમ્બર ૧૪	14. September
સપ્ટેમ્બર ૧૩	13. September
સપ્ટેમ્બર ૧૨	12. September
સપ્ટેમ્બર ૮	8. September
સપ્ટેમ્બર ૧૧	11. September
સપ્ટેમ્બર ૭	7. September
સપ્ટેમ્બર ૧૦	10. September
સપ્ટેમ્બર ૫	5. September
સપ્ટેમ્બર ૪	4. September
સપ્ટેમ્બર ૯	9. September
સપ્ટેમ્બર ૨	2. September
સપ્ટેમ્બર ૬	6. September
સપ્ટેમ્બર ૧	1. September
સપ્ટેમ્બર ૩	3. September
ડિસેમ્બર ૨૯	29. Dezember
સપ્ટેમ્બર ૩૦	30. September
સપ્ટેમ્બર ૨૯	29. September
સપ્ટેમ્બર ૨૮	28. September
સપ્ટેમ્બર ૨૭	27. September
સપ્ટેમ્બર ૨૬	26. September
