Aprika	Afrika
Tok Hangari	Ungarische Sprache
Tok Lituwenia	Litauische Sprache
Tok Belaras	Weißrussische Sprache
Tok Gris	Griechische Sprache
Tok Aialan	Irische Sprache
Imel	E-Mail
Tokples Pesia	Persische Sprache
Lotu	Religion
Tok Koria	Koreanische Sprache
Tok Vietnam	Vietnamesische Sprache
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
Judaisim	Judentum
Immanuel Kant	Immanuel Kant
Saikolosi	Psychologie
Sidarta	Siddhartha Gautama
Martin Luther	Martin Luther
Elisabet II	Elisabeth II.
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
David Beckham	David Beckham
Gordon Brown	Gordon Brown
Tebol bilong ol elemen	Periodensystem
Diwai	Baum
Kubuntu	Kubuntu
Grup:Romenia	Kategorie:Rumänien
Egrikalsa	Landwirtschaft
Elektroniks	Elektronik
Ol kantri	Liste der Staaten der Erde
Kensa	Krebs (Medizin)
Soria	Soria
Ponferrada	Ponferrada
Templet:Location map Iceland	Vorlage:Positionskarte Island
Villarreal	Villarreal
Templet:Location map Samoa	Vorlage:Positionskarte Samoa
Kokonas	Kokospalme
Ferdinand de Saussure	Ferdinand de Saussure
Unserdeutsch	Unserdeutsch
Kyushu	Kyūshū
Honshu	Honshū
Shikoku	Shikoku
Ista Ailan	Osterinsel
Bensheim	Bensheim
Queen	Queen (Band)
Freddie Mercury	Freddie Mercury
Wol	Welt
Vemont	Vermont
Koria	Korea
1925	1925
1927	1927
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
Pyongyang	Pjöngjang
Nupela Testamen	Neues Testament
Nha Trang	Nha Trang
Maya Angelou	Maya Angelou
Pop	Papst
Rafael Correa	Rafael Correa
Busares	Bukarest
1928	1928
Olpela Testamen	Altes Testament
Indo-Yuropien famili bilong tokples	Indogermanische Sprachen
Breinigerberg	Breinigerberg
Gyeonggi	Gyeonggi-do
Ol Tokples Siamanik	Germanische Sprachen
Sosiolosi	Soziologie
Taiwan	Taiwan (Insel)
Bahai	Bahaitum
Aialan	Irland (Insel)
7	7
Wik	Woche
Antropolosi	Anthropologie
Ailan	Insel
Moshchena	Moschtschena
Akiolosi	Archäologie
George H. W. Bush	George H. W. Bush
Paltoga	Paltoga
Quang Binh Provins	Quảng Bình
Protestan	Protestantismus
Bryan Cranston	Bryan Cranston
Bikpela Briten	Großbritannien (Insel)
Kadinol daireksion	Himmelsrichtung
Lila Downs	Lila Downs
Famili bilong tokples	Sprachfamilie
Pichilemu	Pichilemu
Pukpuk	Krokodile
Amerika	Amerika (Begriffsklärung)
El Burgo Ranero	El Burgo Ranero
Bercianos del Real Camino	Bercianos del Real Camino
Kokomo	Nashornvögel
Danny DeVito	Danny DeVito
Jerry Springer	Jerry Springer
Sentrel Amerika	Zentralamerika
Kaunti	County
Ecser	Ecser
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Rouen	Rouen
Valery Leontiev	Waleri Jakowlewitsch Leontjew
Tok Hawai	Hawaiische Sprache
Hiri Motu	Hiri Motu
Niu Kaledonia	Neukaledonien
Marlon Brando	Marlon Brando
Tok Pisin	Tok Pisin
Mošovce	Mošovce
Ajetiv bilong nambawan kain	Adjektiv
Kristen Otodos	Orthodoxe Kirchen
Ido	Ido (Sprache)
44 yia i go bipo Jisas	44 v. Chr.
Bislama	Bislama
Hokkaido	Hokkaidō
Charles Bronson	Charles Bronson
Borneo	Borneo
Siligo	Siligo
Apia	Apia
Pot Mosbi	Port Moresby
.ru	.ru
.ad	.ad
Cork	Cork
Arancón	Arancón
.fi	.fi
.am	.am
.de	.de
.fr	.fr
Melanesia	Melanesien
.au	.au
.cz	.cz
Maket	Markt
.at	.at
Pot Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
.us	.us
.es	.es
.gr	.gr
.pl	.pl
.uk	.uk
Kaukau	Süßkartoffel
Yokohama	Yokohama
.al	.al
.az	.az
.ee	.ee
.bg	.bg
.jp	.jp
.it	.it
Lubuntu	Lubuntu
.dk	.dk
.ca	.ca
.ch	.ch
Maikroekonomiks	Makroökonomie
.be	.be
Ágreda	Ágreda
.by	.by
.fj	.fj
.cl	.cl
.is	.is
.lt	.lt
.pt	.pt
.bt	.bt
Hobat	Hobart
Niugini	Neuguinea
.et	.et
.tv	.tv
.eg	.eg
23 yia i go bipo Jisas	23 v. Chr.
.se	.se
.cy	.cy
.kz	.kz
.hu	.hu
.ua	.ua
.mx	.mx
.kh	.kh
.no	.no
.id	.id
.tr	.tr
.eu	.eu
.ht	.ht
.sk	.sk
Julia Gillard	Julia Gillard
.to	.to
.lv	.lv
Saikoanalisis	Psychoanalyse
.kg	.kg
.mh	.mh
.kr	.kr
.ki	.ki
.tj	.tj
.kp	.kp
Frank Gorshin	Frank Gorshin
.ro	.ro
.vn	.vn
.nr	.nr
.ke	.ke
.vu	.vu
.na	.na
.ye	.ye
.ws	.ws
.sm	.sm
.tk	.tk
Kevin Rudd	Kevin Rudd
.pg	.pg
Plak bilong Siapan	Flagge Japans
Jim Morrison	Jim Morrison
Dan Castellaneta	Dan Castellaneta
Molinaseca	Molinaseca
.nu	.nu
The Doors	The Doors
Pécs	Pécs
Sios	Sakralbau
Plak bilong Pinlan	Flagge Finnlands
Templet:Commons category	Vorlage:Commonscat
Morgan Freeman	Morgan Freeman
Plak bilong Albenia	Flagge Albaniens
Dire Straits	Dire Straits
Richard Attenborough	Richard Attenborough
Templet:Taxobox	Vorlage:Taxobox
Burjassot	Burjassot
János Áder	János Áder
Viktor Orbán	Viktor Orbán
Niu Briten	Neubritannien
Otto Sander	Otto Sander
San Justo de la Vega	San Justo de la Vega
Xubuntu	Xubuntu
Plak bilong Solomon Ailans	Flagge der Salomonen
Nonvailens	Gewaltlosigkeit
Debrecen	Debrecen
Plak bilong Kanada	Flagge Kanadas
Harrison Ford	Harrison Ford
Plak bilong Andora	Flagge Andorras
Kimi ga Yo	Kimi Ga Yo
Szeged	Szeged
Plak bilong Ostrelia	Flagge Australiens
Plak bilong Hangari	Flagge Ungarns
Plak bilong Azerbaijan	Flagge Aserbaidschans
Plak bilong Nowe	Flagge Norwegens
Robin Williams	Robin Williams
Gary Oldman	Gary Oldman
Tauns long Burgos provins	Liste der Gemeinden in der Provinz Burgos
Ol taun bilong León provins	Liste der Gemeinden in der Provinz León
Tauns long Soria provins	Liste der Gemeinden in der Provinz Soria
Plak bilong Aislan	Flagge Islands
Plak bilong Indonisia	Flagge Indonesiens
Plak bilong Skotlan	Flagge Schottlands
Miskolc	Miskolc
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O’Toole
Eli Wallach	Eli Wallach
Mickey Rooney	Mickey Rooney
Plak bilong Tuvalu	Flagge Tuvalus
Holly Hunter	Holly Hunter
Kristen	Christ
Stet	Gliedstaat
Meditesen	Meditation
James Garner	James Garner
Joey King	Joey King
Pacific Games	Pazifikspiele
Plak bilong Kiribas	Flagge Kiribatis
Saut Ailan	Südinsel (Neuseeland)
Plak bilong Spen	Flagge Spaniens
Dziecinów	Dziecinów (Powiat Otwocki)
Haus bilong binen	Bienenwabe
Michael Caine	Michael Caine
Steve Irwin	Steve Irwin
Plak bilong Saut Koria	Flagge Südkoreas
Plak bilong Slovenia	Flagge Sloweniens
Plak bilong Romenia	Flagge Rumäniens
Grup:Manmeri bilong Hangari	Magyaren
Dunedin	Dunedin
Kamikaze	Shimpū Tokkōtai
Grajal de Campos	Grajal de Campos
Phu Quoc	Phú Quốc
Wikipedia:Save long senisim pes	Hilfe:Seite bearbeiten
Lệ Thủy	Lệ Thủy
Buai	Betelnusspalme
Brobergen	Brobergen
Daka	Betelpfeffer
Klostu Tudak	Twilight – Bis(s) zum Morgengrauen
Plak bilong Niu Silan	Flagge Neuseelands
Kaunti Cork	County Cork
St. Peter's College, Auckland	St Peter’s College (Auckland)
Siaman Niugini	Deutsch-Neuguinea
Behaviourisim	Behaviorismus
Samuel L. Jackson	Samuel L. Jackson
Caltojar	Caltojar
Berlanga de Duero	Berlanga de Duero
Kumul	Paradiesvögel
Christopher Lee	Christopher Lee
Helen Clark	Helen Clark
Lev Vygotsky	Lew Semjonowitsch Wygotski
Plak bilong Fiji	Flagge Fidschis
Plak bilong Papua Niugini	Flagge Papua-Neuguineas
Plak bilong Nauru	Flagge Naurus
Plak bilong Vanuatu	Flagge Vanuatus
Plak bilong Wels	Flagge von Wales
Mike Myers	Mike Myers
Zelda Williams	Zelda Williams
Plak bilong Tonga	Flagge Tongas
Plak bilong Samoa	Flagge Samoas
Plak bilong Palau	Flagge Palaus
Christopher Plummer	Christopher Plummer
E pluribus unum	E pluribus unum
Expo 2010	Expo 2010
James Woods	James Woods
Nancy Reagan	Nancy Reagan
Ol provinis bilong Swidan	Landskap (Schweden)
Plak bilong ol Masol Ailan	Flagge der Marshallinseln
Kina	Kina
Bogenvil	Bougainville
Plak bilong Niue	Flagge Niues
Roger Ebert	Roger Ebert
Bill Cosby	Bill Cosby
Niu Ailan ailan	Neuirland
Jimmie Johnson	Jimmie Johnson
Rabaul	Rabaul
Saksak	Sago
Plak bilong Hawai	Flagge Hawaiis
Nesenel mak bilong Ostrelia	Wappen Australiens
Eartha Kitt	Eartha Kitt
Phyllis Diller	Phyllis Diller
Plak bilong Polinesia bilong Pranis	Flagge Französisch-Polynesiens
Rhea Perlman	Rhea Perlman
Ian McShane	Ian McShane
Plak bilong Nofok Ailan	Flagge der Norfolkinsel
Shelley Duvall	Shelley Duvall
Plak bilong Guam	Flagge Guams
Julie Newmar	Julie Newmar
Carol Channing	Carol Channing
Dixie Carter	Dixie Carter
Makó	Makó
Joan Rivers	Joan Rivers
Camponaraya	Camponaraya
Elizabeth Peña	Elizabeth Peña
Edie McClurg	Edie McClurg
Plak bilong Tokelau	Flagge Tokelaus
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Nesenel mak bilong Papua Niugini	Wappen Papua-Neuguineas
Marcus Stephen	Marcus Stephen
Małgorzata Braunek	Małgorzata Braunek
Carl Reiner	Carl Reiner
Martin Landau	Martin Landau
Tate Donovan	Tate Donovan
Dick Van Dyke	Dick Van Dyke
Don Ameche	Don Ameche
Brad Bird	Brad Bird
Wallace Shawn	Wallace Shawn
Gary Coleman	Gary Coleman
Rip Torn	Rip Torn
Jeff Gordon	Jeff Gordon
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Michael Somare	Michael Somare
Apisai Ielemia	Apisai Ielemia
Plak bilong Wolis na Futuna	Flagge von Wallis und Futuna
Madang (provins)	Madang Province
Michael Jeter	Michael Jeter
Brad Dourif	Brad Dourif
Craig T. Nelson	Craig T. Nelson
Larry the Cable Guy	Larry the Cable Guy
Olaf Stapledon	Olaf Stapledon
Burgess Meredith	Burgess Meredith
Richard Schiff	Richard Schiff
Nicanor Parra	Nicanor Parra
David Cross	David Cross
Bobcat Goldthwait	Bobcat Goldthwait
Bry-sur-Marne	Bry-sur-Marne
Con Dao	Côn Đảo
Richard Kiel	Richard Kiel
Derek Sikua	Derek Sikua
Valencia de Don Juan	Valencia de Don Juan
Cesar Romero	Cesar Romero
Sarah Vowell	Sarah Vowell
Jackie Gleason	Jackie Gleason
Buk bilong Momon	Buch Mormon
Astorga	Astorga
Fernanda Torres	Fernanda Torres
Ham Lini	Ham Lini
Ples balus Tan Son Nhat	Flughafen Tan-Son-Nhat
Michael Clarke Duncan	Michael Clarke Duncan
Aliud	Aliud (Spanien)
Baraona	Baraona
Medinaceli	Medinaceli
Burgo de Osma-Ciudad de Osma, Soria	El Burgo de Osma-Ciudad de Osma
Suellacabras	Suellacabras
Yanguas	Yanguas
San Esteban de Gormaz	San Esteban de Gormaz
Comares	Comares
.nl	.nl
Alcoy	Alcoy
Goroka	Goroka
Daru	Daru
Espinosa de los Monteros (Burgos)	Espinosa de los Monteros (Burgos)
Matt Frewer	Matt Frewer
Don Knotts	Don Knotts
Carrot Top	Carrot Top (Komiker)
Alotau	Alotau
Seeheim-Jugenheim	Seeheim-Jugenheim
Mike Connors	Mike Connors
Madang (taun)	Madang
Simbu	Chimbu Province
Priaranza del Bierzo	Priaranza del Bierzo
Lae	Lae
Magani	Wallabys
Arawa	Arawa (Papua-Neuguinea)
O Arise, All You Sons	O Arise All You Sons of This Land
Sobrado	Sobrado (A Coruña)
Brisbane Broncos	Brisbane Broncos
Wes Niu Briten	West New Britain Province
Blupela kumul	Blauparadiesvogel
Is Sepik	East Sepik Province
Cacabelos	Cacabelos
Ralph Waite	Ralph Waite
Histori long Koria	Geschichte Koreas
Paul Winchell	Paul Winchell
Mansilla de las Mulas	Mansilla de las Mulas
Atapuerca	Atapuerca
Oro	Oro Province
Sandaun	Sandaun Province
Is Niu Briten	East New Britain Province
Ben Stein	Ben Stein
Sahagún	Sahagún
Almarza	Almarza
Abejar	Abejar
Aldealpozo	Aldealpozo
Calatañazor	Calatañazor
Arcos de Jalón	Arcos de Jalón
Almenar de Soria	Almenar de Soria
Coscurita	Coscurita
Vinuesa	Vinuesa
Cabrejas del Pinar	Cabrejas del Pinar
Villasayas	Villasayas
Castillejo de Robledo	Castillejo de Robledo
Ciria	Ciria
Salduero	Salduero
Carrascosa de Abajo	Carrascosa de Abajo
Yelo (Spen)	Yelo
Montenegro de Cameros	Montenegro de Cameros
Ucero	Ucero
Langa de Duero	Langa de Duero
Caracena	Caracena
Cubo de la Solana	Cubo de la Solana
Morón de Almazán	Morón de Almazán
Montejo de Tiermes	Montejo de Tiermes
Barca, Soria	Barca (Soria)
Niu Ailan	New Ireland Province
Kinsale	Kinsale
Trabadelo	Trabadelo
Hospital de Órbigo	Hospital de Órbigo
Villafranca del Bierzo	Villafranca del Bierzo
Sepik	Sepik
Westen Provins	Western Province (Papua-Neuguinea)
Sauten Hailans	Southern Highlands Province
Westen Hailans	Western Highlands Province
Isten Hailans	Eastern Highlands Province
Morobe	Morobe Province
Buñol	Buñol
Bill Cobbs	Bill Cobbs
Enga	Enga Province
Manus	Manus Province
Sentral Provins	Central Province (Papua-Neuguinea)
Milen Be	Milne Bay Province
Gulf Provins	Gulf Province (Papua-Neuguinea)
Villadangos del Páramo	Villadangos del Páramo
Vega de Valcarce	Vega de Valcarce
Valverde de la Virgen	Valverde de la Virgen
Calzada del Coto	Calzada del Coto
Valdesamario	Valdesamario
Marion Barry	Marion Barry
Espinosa del Camino (Burgos)	Espinosa del Camino
Villares de Órbigo	Villares de Órbigo
Orbaneja Riopico (Burgos)	Orbaneja Ríopico
Paul L. Smith	Paul L. Smith
Molinos de Duero	Molinos de Duero
Budka Suflera	Budka Suflera
Mendi	Mendi
Vanimo	Vanimo
Kavieng	Kavieng
Maun Hagen	Mount Hagen
Kokopo	Kokopo
Popondetta	Popondetta
Lorengau	Lorengau
Wewak	Wewak
Tabubil	Tabubil
Casey Kasem	Casey Kasem
Plak bilong Ista Ailan	Flagge der Osterinsel
Gan	Schusswaffe
Takuu	Takuu
Ples balus	Flughafen
Kerema (taun)	Kerema
Tim Conway	Tim Conway
Nesenel Alains Pati	National Alliance Party
Lamington (maunten)	Lamington (Vulkan)
Grup:Siamani	Kategorie:Deutschland
Grup:Itali	Kategorie:Italien
Grup:Ol Yunaitet Stet	Kategorie:Vereinigte Staaten
Grup:Kanada	Kategorie:Kanada
Grup:Yunaitet Kingdom	Kategorie:Vereinigtes Königreich
Grup:Spen	Kategorie:Spanien
Grup:Siapan	Kategorie:Japan
Grup:Ostrelia	Kategorie:Australien
Grup:India	Kategorie:Indien
Grup:Isrel	Kategorie:Israel
Grup:Ijip	Kategorie:Ägypten
Grup:Niu Silan	Kategorie:Neuseeland
Grup:Indonisia	Kategorie:Indonesien
Grup:Irak	Kategorie:Irak
Grup:Polan	Kategorie:Polen
Grup:Saut Koria	Kategorie:Südkorea
Grup:Tailan	Kategorie:Thailand
Grup:Yukren	Kategorie:Ukraine
Grup:Vietnam	Kategorie:Vietnam
Grup:Ol pisin	Kategorie:Vögel
Grup:Ol Sayor	Kategorie:Pflanzen
Grup:Save long Laip	Kategorie:Biologie
Grup:Kemistri	Kategorie:Chemie
Grup:Histori	Kategorie:Geschichte
Grup:Save long giraun	Kategorie:Geographie
Grup:Sosaiti	Kategorie:Gesellschaft
Grup:Lotu	Kategorie:Religion
Grup:Saiens	Kategorie:Wissenschaft
Grup:Giraun	Kategorie:Erde
Mun	Mun
Oña (Burgos)	Oña (Burgos)
Zazuar (Burgos)	Zazuar
Lerma (Burgos)	Lerma (Burgos)
Holan	Holan
Jaramillo de la Fuente (Burgos)	Jaramillo de la Fuente
Ol tokples bilong Papua Niugini	Sprachen Papua-Neuguineas
Grup:Ol pes bilong kliaim ol link	Kategorie:Begriffsklärung
Grup:Pilosopi	Kategorie:Philosophie
Grup:Saikolosi	Kategorie:Psychologie
Grup:Budisim	Kategorie:Buddhismus
Grup:Kristen	Kategorie:Christentum
Grup:Islam	Kategorie:Islam
Pangu Pati	Pangu Party
Benedicta Boccoli	Benedicta Boccoli
Conrad Bain	Conrad Bain
Grup:Kontinen	Kategorie:Kontinent
Templet:Footer SolarSystem	Vorlage:Navigationsleiste Sonnensystem
Kerema, Estonia	Kerema (Pühalepa)
Templet:Babel bokis	Vorlage:Userbox
Grup:Ekonomikis	Kategorie:Wirtschaftswissenschaft
Wikipedia:Administrators	Wikipedia:Administratoren
Grup:Manmeri	Kategorie:Person
Wikipedia:AutoWikiBrowser	Wikipedia:AutoWikiBrowser
Grup:Politikis	Kategorie:Politik
Grup:Saiens bilong ai	Kategorie:Optik
Ijip	Ägypten
Templet:Bot	Vorlage:Bot
Kanada	Kanada
Grup:Hangari	Kategorie:Ungarn
Grup:Estonia	Kategorie:Estland
Grup:Gris	Kategorie:Griechenland
Grup:Latvia	Kategorie:Lettland
Grup:Aislan	Kategorie:Island
Grup:Lituwenia	Kategorie:Litauen
Grup:Slovakia	Kategorie:Slowakei
Wikipedia:Copyrights	Wikipedia:Lizenzbestimmungen
Grup:Ol kantri long Yurop	Kategorie:Staat in Europa
Grup:Yurop	Kategorie:Europa
Templet:Template doc	Vorlage:Dokumentation
Grup:Yusa tokples	Kategorie:Benutzer:nach Sprache
Wikipedia:Faipela lo	Wikipedia:Grundprinzipien
Templet:Softredirect	Vorlage:Interwiki redirect
Templet:Delete	Vorlage:Löschen
Grup:Ol tokples	Kategorie:Einzelsprache als Thema
Grup:Grama	Kategorie:Grammatik
Solija	Soldat
Grup:Ol siti na taun bilong kantri	Kategorie:Ort nach Staat
Templet:Navbox	Vorlage:Erweiterte Navigationsleiste
Templet:Shortcut	Vorlage:Shortcut
Nina Andrycz	Nina Andrycz
Templet:!-	Vorlage:!-
Templet:!!	Vorlage:!!
Templet:Loop	Vorlage:Grafische Zeitleiste/Loop
Templet:Unicode	Vorlage:Unicode
Templet:Clear	Vorlage:Absatz
Templet:Color	Vorlage:Blau
Templet:Nowrap	Vorlage:Nowrap
Templet:Anchor	Vorlage:Anker
