Yn Affrick	Afrika
Insecta	Insekten
Maryland	Maryland
Delaware	Delaware
Oarpium	Europium
Ohio	Ohio
Pennsylvania	Pennsylvania
Uetersen	Uetersen
New Jersey	New Jersey
Gibraaltar	Gibraltar
Finnlynnish	Finnische Sprache
Indiana	Indiana
Gleashtan	Automobil
Roger Federer	Roger Federer
Yn Çhorshey (steat)	Georgia
Zagreb	Zagreb
Texas	Texas
Carolina Hwoaie	North Carolina
Carolina Yiass	South Carolina
Yn Tardeen	Sardinien
Buenos Aires	Buenos Aires
Annane	Ananas
Mississippi	Mississippi (Staat)
Yn Phatagoan	Patagonien
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Abidjan	Abidjan
Astana	Astana
New Mexico	New Mexico
Yn Atheen	Athen
Minnesota	Minnesota
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Hindish	Hindi
Tudjeen	Zigarette
Missouri	Missouri
Louisiana	Louisiana
Kentucky	Kentucky
Arkansas	Arkansas
Oklahoma	Oklahoma
Mooir Hostyn	Nordsee
Düsseldorf	Düsseldorf
Wiesbaden	Wiesbaden
München	München
Veen	Wien
København	Kopenhagen
Queiggey Kaliningrad	Oblast Kaliningrad
Stockholm	Stockholm
Helsinki	Helsinki
Divlyn	Dublin
Reykjavík	Reykjavík
Tallinn	Tallinn
Rīga	Riga
Bratislava	Bratislava
Budapest	Budapest
Gdańsk	Danzig
Frankfurt	Frankfurt am Main
Wrocław	Breslau
Lantanum	Lanthan
Promaiçhum	Promethium
Unnid rollageagh	Astronomische Einheit
Samaarium	Samarium
Gadolinnium	Gadolinium
Çherbium	Terbium
Lucsemburg (caayr)	Luxemburg (Stadt)
Dysproshum	Dysprosium
Vaduz	Vaduz
Yn Vible	Bibel
Holmium	Holmium
San Marino (caayr)	Stadt San Marino
Erbium	Erbium
Thulium	Thulium
Caayr Ho Chi Minh	Ho-Chi-Minh-Stadt
Ytterbium	Ytterbium
Lootaiçhum	Lutetium
Agglish Yeesey Firrinagh	Wahre Jesus-Kirche
Baarle	Englische Sprache
Andorra la Vella	Andorra la Vella
Americium	Americium
Curium	Curium
Dong Hoi	Đồng Hới
Concepción, y Çhillee	Concepción (Chile)
Berkelium	Berkelium
Californium	Californium
Einsteinium	Einsteinium
Fermium	Fermium
Mendelevium	Mendelevium
Kyiv	Kiew
Nobelium	Nobelium
Ontario	Ontario
Lawrencium	Lawrencium
Manitoba	Manitoba
Alberta	Alberta
Nalbin Noa	Nova Scotia
Yerevan	Jerewan
Końskowola	Końskowola
New Brunswick	New Brunswick
Yn Cholombey Ghoaldagh	British Columbia
Ellan y Phrinse Edard	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
2011	2011
2010	2010
2009	2009
Daa-ocseed charboan	Kohlenstoffdioxid
2013	2013
2014	2014
Thalloo yn Eeast as Labrador	Neufundland und Labrador
2008	2008
Thallooyn yn Eear Hwoaie	Nordwest-Territorien
Yukon	Yukon (Territorium)
2004	2004
2005	2005
2006	2006
Nunavut	Nunavut
2007	2007
Monocseed charboan	Kohlenstoffmonoxid
Iqaluit	Iqaluit
1900	1900
1901	1901
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Nürnberg
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Bielefeld	Bielefeld
1 Jerrey Geuree	1. Januar
2 Jerrey Geuree	2. Januar
1920	1920
3 Jerrey Geuree	3. Januar
1919	1919
1921	1921
1922	1922
4 Jerrey Geuree	4. Januar
1923	1923
1924	1924
Pobblaght Hoveidjagh Chonastagh Hoshiallagh ny Roosh	Russische Sozialistische Föderative Sowjetrepublik
Georges Pompidou	Georges Pompidou
Planaid crivassanagh	Zwergplanet
5 Jerrey Geuree	5. Januar
6 Jerrey Geuree	6. Januar
7 Jerrey Geuree	7. Januar
8 Jerrey Geuree	8. Januar
9 Jerrey Geuree	9. Januar
10 Jerrey Geuree	10. Januar
11 Jerrey Geuree	11. Januar
12 Jerrey Geuree	12. Januar
13 Jerrey Geuree	13. Januar
Birmingham	Birmingham
14 Jerrey Geuree	14. Januar
15 Jerrey Geuree	15. Januar
16 Jerrey Geuree	16. Januar
Tom Hanks	Tom Hanks
17 Jerrey Geuree	17. Januar
18 Jerrey Geuree	18. Januar
19 Jerrey Geuree	19. Januar
20 Jerrey Geuree	20. Januar
21 Jerrey Geuree	21. Januar
22 Jerrey Geuree	22. Januar
23 Jerrey Geuree	23. Januar
24 Jerrey Geuree	24. Januar
25 Jerrey Geuree	25. Januar
Minsk	Minsk
26 Jerrey Geuree	26. Januar
27 Jerrey Geuree	27. Januar
28 Jerrey Geuree	28. Januar
29 Jerrey Geuree	29. Januar
30 Jerrey Geuree	30. Januar
31 Jerrey Geuree	31. Januar
2 Mee ny Nollick	2. Dezember
1 Mee ny Nollick	1. Dezember
3 Mee ny Nollick	3. Dezember
7 Mee ny Nollick	7. Dezember
5 Mee ny Nollick	5. Dezember
8 Mee ny Nollick	8. Dezember
10 Mee ny Nollick	10. Dezember
6 Mee ny Nollick	6. Dezember
9 Mee ny Nollick	9. Dezember
4 Mee ny Nollick	4. Dezember
1 Toshiaght Arree	1. Februar
2 Toshiaght Arree	2. Februar
Cloreed sodjum	Natriumchlorid
3 Toshiaght Arree	3. Februar
Kurów	Kurów
4 Toshiaght Arree	4. Februar
5 Toshiaght Arree	5. Februar
6 Toshiaght Arree	6. Februar
7 Toshiaght Arree	7. Februar
8 Toshiaght Arree	8. Februar
9 Toshiaght Arree	9. Februar
10 Toshiaght Arree	10. Februar
Kemmig	Chemie
14 Toshiaght Arree	14. Februar
13 Toshiaght Arree	13. Februar
15 Toshiaght Arree	15. Februar
11 Toshiaght Arree	11. Februar
12 Toshiaght Arree	12. Februar
19 Toshiaght Arree	19. Februar
17 Toshiaght Arree	17. Februar
16 Toshiaght Arree	16. Februar
18 Toshiaght Arree	18. Februar
20 Toshiaght Arree	20. Februar
21 Toshiaght Arree	21. Februar
22 Toshiaght Arree	22. Februar
23 Toshiaght Arree	23. Februar
24 Toshiaght Arree	24. Februar
25 Toshiaght Arree	25. Februar
26 Toshiaght Arree	26. Februar
27 Toshiaght Arree	27. Februar
28 Toshiaght Arree	28. Februar
11 Mee ny Nollick	11. Dezember
29 Toshiaght Arree	29. Februar
12 Mee ny Nollick	12. Dezember
13 Mee ny Nollick	13. Dezember
14 Mee ny Nollick	14. Dezember
15 Mee ny Nollick	15. Dezember
2 Mayrnt	2. März
3 Mayrnt	3. März
5 Mayrnt	5. März
1 Mayrnt	1. März
7 Mayrnt	7. März
8 Mayrnt	8. März
4 Mayrnt	4. März
10 Mayrnt	10. März
11 Mayrnt	11. März
6 Mayrnt	6. März
13 Mayrnt	13. März
9 Mayrnt	9. März
12 Mayrnt	12. März
15 Mayrnt	15. März
14 Mayrnt	14. März
16 Mee ny Nollick	16. Dezember
17 Mee ny Nollick	17. Dezember
16 Mayrnt	16. März
17 Mayrnt	17. März
18 Mayrnt	18. März
19 Mayrnt	19. März
1989	1989
1988	1988
20 Mayrnt	20. März
1987	1987
1986	1986
1985	1985
1984	1984
21 Mayrnt	21. März
1983	1983
22 Mayrnt	22. März
1982	1982
1981	1981
18 Mee ny Nollick	18. Dezember
1980	1980
23 Mayrnt	23. März
19 Mee ny Nollick	19. Dezember
24 Mayrnt	24. März
25 Mayrnt	25. März
20 Mee ny Nollick	20. Dezember
26 Mayrnt	26. März
27 Mayrnt	27. März
28 Mayrnt	28. März
29 Mayrnt	29. März
30 Mayrnt	30. März
31 Mayrnt	31. März
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
15 Averil	15. April
13 Averil	13. April
12 Averil	12. April
14 Averil	14. April
11 Averil	11. April
10 Averil	10. April
8 Averil	8. April
9 Averil	9. April
7 Averil	7. April
6 Averil	6. April
5 Averil	5. April
4 Averil	4. April
3 Averil	3. April
1 Averil	1. April
2 Averil	2. April
Fodreayrtan Spoar Hubble	Hubble-Weltraumteleskop
Helmut Schmidt	Helmut Schmidt
16 Averil	16. April
17 Averil	17. April
18 Averil	18. April
19 Averil	19. April
20 Averil	20. April
21 Averil	21. April
22 Averil	22. April
23 Averil	23. April
24 Averil	24. April
25 Averil	25. April
26 Averil	26. April
27 Averil	27. April
28 Averil	28. April
29 Averil	29. April
30 Averil	30. April
1 Boaldyn	1. Mai
2 Boaldyn	2. Mai
3 Boaldyn	3. Mai
4 Boaldyn	4. Mai
5 Boaldyn	5. Mai
6 Boaldyn	6. Mai
7 Boaldyn	7. Mai
8 Boaldyn	8. Mai
9 Boaldyn	9. Mai
10 Boaldyn	10. Mai
11 Boaldyn	11. Mai
12 Boaldyn	12. Mai
13 Boaldyn	13. Mai
14 Boaldyn	14. Mai
15 Boaldyn	15. Mai
Titan (fo-phlannad)	Titan (Mond)
16 Boaldyn	16. Mai
17 Boaldyn	17. Mai
18 Boaldyn	18. Mai
19 Boaldyn	19. Mai
20 Boaldyn	20. Mai
21 Boaldyn	21. Mai
22 Boaldyn	22. Mai
23 Boaldyn	23. Mai
24 Boaldyn	24. Mai
25 Boaldyn	25. Mai
26 Boaldyn	26. Mai
27 Boaldyn	27. Mai
28 Boaldyn	28. Mai
29 Boaldyn	29. Mai
30 Boaldyn	30. Mai
31 Boaldyn	31. Mai
Paul McCartney	Paul McCartney
21 Mee ny Nollick	21. Dezember
14 Mean Souree	14. Juni
15 Mean Souree	15. Juni
13 Mean Souree	13. Juni
10 Mean Souree	10. Juni
7 Mean Souree	7. Juni
11 Mean Souree	11. Juni
9 Mean Souree	9. Juni
12 Mean Souree	12. Juni
6 Mean Souree	6. Juni
8 Mean Souree	8. Juni
5 Mean Souree	5. Juni
3 Mean Souree	3. Juni
2 Mean Souree	2. Juni
1 Mean Souree	1. Juni
4 Mean Souree	4. Juni
Ringo Starr	Ringo Starr
22 Mee ny Nollick	22. Dezember
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16 Mean Souree	16. Juni
30 Mean Souree	30. Juni
29 Mean Souree	29. Juni
28 Mean Souree	28. Juni
26 Mean Souree	26. Juni
25 Mean Souree	25. Juni
22 Mean Souree	22. Juni
27 Mean Souree	27. Juni
24 Mean Souree	24. Juni
20 Mean Souree	20. Juni
23 Mean Souree	23. Juni
19 Mean Souree	19. Juni
18 Mean Souree	18. Juni
21 Mean Souree	21. Juni
17 Mean Souree	17. Juni
23 Mee ny Nollick	23. Dezember
Illiam II ny Germaan	Wilhelm II. (Deutsches Reich)
15 Jerrey Souree	15. Juli
13 Jerrey Souree	13. Juli
12 Jerrey Souree	12. Juli
10 Jerrey Souree	10. Juli
9 Jerrey Souree	9. Juli
14 Jerrey Souree	14. Juli
8 Jerrey Souree	8. Juli
7 Jerrey Souree	7. Juli
6 Jerrey Souree	6. Juli
5 Jerrey Souree	5. Juli
2 Jerrey Souree	2. Juli
4 Jerrey Souree	4. Juli
3 Jerrey Souree	3. Juli
1 Jerrey Souree	1. Juli
11 Jerrey Souree	11. Juli
24 Mee ny Nollick	24. Dezember
31 Jerrey Souree	31. Juli
30 Jerrey Souree	30. Juli
29 Jerrey Souree	29. Juli
