ᑭᐦᒋ ᒨᐦᑯᒫᓇᐢᑭᕀ	Vereinigte Staaten
Wikipedia:Archives/ᓕᓚ ᕤᐒᓄᔅ	Lila Downs
Kâ-isiwepahki	Jahreszeit
ᐁᐧᐦᐁᐧᐤ	Schneegans
ᒋᔮᐢᐠ	Möwen
ᐧᑳᐦᐧᑳᐱᔒᔥ	Schmetterlinge
ᓂᒋᒄ	Fischotter
ᐃᔨᔨᐤ ᐊᔨᒧᐎᓐ'	Cree (Sprache)
Wikipedia:Archives/ᒥᑎᐦᒌ	Hand
ᐊᓂᔑᓈᐯᒧᐎᓐ	Ojibwe (Sprache)
Mos	Elch
ᐅᓵᐅᔅᒄ	Braunbär
Wikipedia:Archives/ᐃᔥᐧᑳᐦᑌᒻ	Tür
'ᓵᒋᐦᐄᐧᐁᐧᐃᒌᔑᑳᐤ	Valentinstag
ᐊᑎᐦᒄ	Ren
Wikipedia:Archives/ᐱᔨᒌᔅ	Hose
ᒪᐦᐃᐦᑲᓐᑖᔥᑎᒥᒄ	Kojote
Wikipedia:Archives/ᓰᐲᓯᔅ	Bach
ᐊᒥᔅᒄ	Biber
Template:Commonscat	Vorlage:Commonscat
Amiskw	Kanadischer Biber
Template:Ouvrage	Vorlage:Literatur
Wikipedia:Archives/ᐄᔅᒌᒣᐅᑲᒥᒄ	Iglu
ᐃᔨᔨᐧᐊᒡ	Cree
Maskoretcic	Amerikanischer Schwarzbär
Wikipedia:Archives/ᑳᒋᔅᑖᐧᐹᐅᒉᐸᔨᐦᒡ	Waschmaschine
Haliaeetus leucocephalus	Weißkopfseeadler
Pimîhkân	Pemmikan
ᐧᐋᐸᒣᒄ	Weißwal
Wikipedia:Archives/ᑰᓴᑉᔅᑲᓪ	Causapscal
Wikipedia:Archives/ᗴᔅᗫ (ᐅᑌᓈᐤ)	Gaspé
Wikipedia:Archives/ᐯᕐᓰ	Percé
Wikipedia:Archives/ᑲᐱᑎᑌᒍᐁᔅ	Rivière-du-Loup
Wikipedia:Archives/ᒪᑕᓀ (ᐅᑌᓈᐤ)	Matane
ᐱᔔ	Kanadischer Luchs
ᐅᔅᑯᑎᒥᐦᒉᓯᐤ	Hydro-Québec
Namew	Störe
Wikipedia:Archives/ᒥᓯ ᐹᐗᔅᑎᒃ	Grand Rapids (Michigan)
ᓇᒣᔅᑧᑭᐌ	Stockfisch
ᐧᐄᓂᔥᒄ	Waldmurmeltier
ᒋᐱᐦᒋ	Stoppschild
Maskisin	Mokassin
Wikwas	Birkenrinde
Âpihtâkosisânak	Métis
Wikipedia:Archives/ᐲᓈᐦᑎᒄ	Wäscheklammer
Wikipedia:Archivesᐱᒋᔥᑲᐦᐄᐸᑌᑎᓱᐧᐋᓐ	Kartoffelpüree
ᑰᑲᒣᔅ'	Amerikanischer Seesaibling
Atikamekw iriniwok	Atikamekw
Pahkwesikan	Bannockbrot
Wikipedia:Archives/ᓴᔭᐯᒃ	Sayabec
ᐱᑎᐧᑲᐦᐊᓇᐱᐧᐃᔨᓐ	Pitikwahanapiwiyin
Wikipedia:Archives/ᑲᘈᕋᔅᑲ (ᐅᑌᓈᐤ)	Kamouraska
Wikipedia:Archives/ᑳᐅᑕᐦᐋᑯᓀᐦᐄᒉᐸᔨᒡ	Schneefräse
Category:Nâpêw	Kategorie:Männer
Category:Nâpêsis	Kategorie:Frau
Category:Italy	Kategorie:Italien
Category:ᑳᓈᑖ	Kategorie:Kanada
Category:Turkey	Kategorie:Türkei
Wikipedia:Archives/ᔖᔖᑯᒥᓐᐦ	Kanadischer Hartriegel
Wikipedia:Archives/ᒋᔥᑖᐹᐅᒋᑲᓂᔮᐲ	Wäscheleine
Category:ᐱᔦᓰᓴᐠ	Kategorie:Vögel
Category:ᐅᐲᑭᒋᑳᓇᐠ	Kategorie:Pflanzen
Help:Canadian Aboriginal Syllabics	Kanadische Silbenschrift
Help:Unified Canadian Aboriginal Syllabics character table	Unicodeblock Vereinheitlichte Silbenzeichen kanadischer Ureinwohner
Manawan	Manawan
Category:Wikipedia bots	Kategorie:Benutzer:Bot
Wikipedia:Administrators	Wikipedia:Administratoren
Template:Bot	Vorlage:Bot
ᑳᓇᑖ	Kanada
Category:Help	Kategorie:Wikipedia:Hilfe
Template:Documentation	Vorlage:Dokumentation
Wikipedia:Community Portal	Wikipedia:Autorenportal
Category:User languages	Kategorie:Benutzer:nach Sprache
Template:Softredirect	Vorlage:Interwiki redirect
Template:Delete	Vorlage:Löschen
Category:ᐗᑭᐱᑎᔭ	Kategorie:Wikipedia
Wikipedia:Statistics	Wikipedia:Statistik
Template:Navbox	Vorlage:Erweiterte Navigationsleiste
Template:Babel	Vorlage:Babel
Template:Commons	Vorlage:Commons
Template:User af-1	Vorlage:User af-1
Template:User als-1	Vorlage:User als-1
Template:User ar-1	Vorlage:User ar-1
Template:User ast-1	Vorlage:User ast-1
Template:User az	Vorlage:User az
Template:User bar-1	Vorlage:User bar-1
Template:User da-2	Vorlage:User da-2
Template:User da	Vorlage:User da
Template:User ca-1	Vorlage:User ca-1
Template:User ca-4	Vorlage:User ca-4
Template:User be-2	Vorlage:User be-2
Template:User da-1	Vorlage:User da-1
Template:User cs-1	Vorlage:User cs-1
Template:User bg-1	Vorlage:User bg-1
Template:User eo-3	Vorlage:User eo-3
Template:User de	Vorlage:User de
Template:User de-1	Vorlage:User de-1
Template:User el	Vorlage:User el
Template:User de-3	Vorlage:User de-3
Template:User en-3	Vorlage:User en-3
Template:User el-1	Vorlage:User el-1
Template:User en-1	Vorlage:User en-1
Template:User en-2	Vorlage:User en-2
Template:User en-4	Vorlage:User en-4
Template:User fi	Vorlage:User fi
Template:User en-0	Vorlage:User en-0
Template:User en	Vorlage:User en
Template:User de-2	Vorlage:User de-2
Template:User fr-1	Vorlage:User fr-1
Template:User fr-2	Vorlage:User fr-2
Template:User tr	Vorlage:User tr
Template:User fr	Vorlage:User fr
Category:User uk	Kategorie:User uk
Category:User uk-N	Kategorie:User uk-M
Template:Mod	Vorlage:Modulo
Template:User uk	Vorlage:User uk
Template:User es-2	Vorlage:User es-2
Template:ᑕᐋᐧᐤ	Vorlage:Willkommen
Category:User fr-1	Kategorie:User fr-1
Template:Babel field N	Vorlage:Babel field
Category:User en-4	Kategorie:User en-4
Category:User en	Kategorie:User en
Category:User en-2	Kategorie:User en-2
Template:User zh	Vorlage:User zh
Template:User ru-4	Vorlage:User ru-4
Category:ᐧᐊᒌ	Kategorie:Berg
Template:Babel field 1	Vorlage:Babel field 1
Template:Rand	Vorlage:Zufallszahl
Template:User no-2	Vorlage:User no-2
Template:Babel field 4	Vorlage:Babel field 4
Template:Babel field 0	Vorlage:Babel field 0
Template:User fr-3	Vorlage:User fr-3
Template:User de-0	Vorlage:User de-0
Template:Babel field 3	Vorlage:Babel field 3
Template:User fr-4	Vorlage:User fr-4
Template:User bg	Vorlage:User bg
Category:User az	Kategorie:User az
Category:User be	Kategorie:User be
Category:User eo	Kategorie:User eo
Category:User fr	Kategorie:User fr
Category:User lt	Kategorie:User lt
Category:User sv	Kategorie:User sv
Category:User fr-3	Kategorie:User fr-3
Category:User cs-1	Kategorie:User cs-1
Category:User da-1	Kategorie:User da-1
Category:User ar-1	Kategorie:User ar-1
Category:User fr-4	Kategorie:User fr-4
Category:User be-2	Kategorie:User be-2
Category:User da-2	Kategorie:User da-2
Category:User fr-2	Kategorie:User fr-2
Category:User ko-N	Kategorie:User ko-M
Category:User fr-N	Kategorie:User fr-M
Category:User lt-N	Kategorie:User lt-M
Category:User af	Kategorie:User af
Category:User af-1	Kategorie:User af-1
Category:User als	Kategorie:User als
Category:User als-1	Kategorie:User als-1
Category:User ar	Kategorie:User ar
Category:User ast	Kategorie:User ast
Category:User ast-1	Kategorie:User ast-1
Category:User az-N	Kategorie:User az-M
Category:User bar	Kategorie:User bar
Category:User bar-1	Kategorie:User bar-1
Category:User bg	Kategorie:User bg
Category:User bg-1	Kategorie:User bg-1
Category:User bg-N	Kategorie:User bg-M
Category:User ca	Kategorie:User ca
Category:User ca-1	Kategorie:User ca-1
Category:User ca-4	Kategorie:User ca-4
Category:User cr	Kategorie:User cr
Category:User cs	Kategorie:User cs
Category:ᒥᓂᔥᑎᒄ	Kategorie:Insel
Category:User da	Kategorie:User da
Category:User de	Kategorie:User de
Category:User de-0	Kategorie:User de-0
Category:User de-2	Kategorie:User de-2
Category:User de-3	Kategorie:User de-3
Category:User de-4	Kategorie:User de-4
Category:User de-N	Kategorie:User de-M
Category:User el	Kategorie:User el
Category:User el-1	Kategorie:User el-1
Category:User el-N	Kategorie:User el-M
Category:User en-0	Kategorie:User en-0
Category:User en-3	Kategorie:User en-3
Category:User en-5	Kategorie:User en-5
Category:User en-N	Kategorie:User en-M
Category:User eo-3	Kategorie:User eo-3
Category:User es	Kategorie:User es
Category:User es-2	Kategorie:User es-2
Category:User fi	Kategorie:User fi
Category:User fi-N	Kategorie:User fi-M
Category:User ko	Kategorie:User ko
Wikipedia:Babel	Wikipedia:Babel
Template:User sv-1	Vorlage:User sv-1
Template:Babel field 2	Vorlage:Babel field 2
Category:ᓃᐲᔾ	Kategorie:Wasser
Category:User ru	Kategorie:User ru
Category:User ru-2	Kategorie:User ru-2
Category:User ru-4	Kategorie:User ru-4
Category:User sv-1	Kategorie:User sv-1
Category:User tr	Kategorie:User tr
Category:User tr-N	Kategorie:User tr-M
Template:Lang	Vorlage:Lang
Category:ᓰᐲ	Kategorie:Fluss
Template:User ko	Vorlage:User ko
Category:User no-2	Kategorie:User no-2
Category:User no	Kategorie:User no
Template:User de-4	Vorlage:User de-4
Category:ᐱᓯᐢᑭᐤ	Kategorie:Vielzellige Tiere
Category:ᑫᐧᐃᐧᐣ	Kategorie:Waffe
Category:Onikamow	Kategorie:Sänger
Category:ᓵᑲᐦᐄᑲᓐ	Kategorie:See
Category:ᑯᐯᒃ	Kategorie:Québec
Category:User cr-2	Kategorie:User cr-2
Category:User en-1	Kategorie:User en-1
Category:User de-1	Kategorie:User de-1
Category:User da-N	Kategorie:User da-M
Special:RecentChanges	Spezial:Letzte Änderungen
