Saot Amerika	Südamerika
India	Indien
Aean	Eisen
Ripablik blong Vanuatu	Vanuatu
Papua New Guinea	Papua-Neuguinea
Venezuela	Venezuela
Maine	Maine
Animol	Tier
Paraguay	Paraguay
Colombia	Kolumbien
Budisim	Buddhismus
Bolivia	Bolivien
Niu Hampshire	New Hampshire
Massachusetts	Massachusetts
Connecticut	Connecticut
Hawaii	Hawaii
Alaska	Alaska
Florida	Florida
Arizona	Arizona
Laos	Laos
Oregon	Oregon
Yuta	Utah
Burma	Myanmar
Vietnam	Vietnam
Saot Koria	Südkorea
Bangladesh	Bangladesch
Bhutan	Bhutan
Twitter	Twitter
Julius Caesar	Gaius Iulius Caesar
Yunaeted Nesen	Vereinte Nationen
Jiografi	Geographie
Bren	Gehirn
Prague	Prag
Michigan	Michigan
Illinois	Illinois
Not Dakota	North Dakota
Saut Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Washington (Bundesstaat)	Washington (Staat)
Nevada	Nevada
Colorado	Colorado
Delhi	Delhi
Virginia	Virginia
West Virginia	West Virginia
Niu York (Bundesstaat)	New York (Bundesstaat)
Rhode Island	Rhode Island
Maryland	Maryland
Delaware	Delaware
Ohio	Ohio
Pennsylvania	Pennsylvania
Uetersen	Uetersen
Augustus	Augustus
Niu Yersey	New Jersey
Indiana	Indiana
Georgia	Georgia
Texas	Texas
Not Carolina	North Carolina
Saut Carolina	South Carolina
Barcelona	Barcelona
Mississippi	Mississippi (Staat)
Tennessee	Tennessee
Niu Mexico	New Mexico
Minnesota	Minnesota
Caracas	Caracas
Wisconsin	Wisconsin
Iowa	Iowa
Nebraska	Nebraska
Kansas	Kansas
Hindi	Hindi
Missouri	Missouri
Louisiana	Louisiana
Kentucky	Kentucky
Arkansas	Arkansas
Oklahoma	Oklahoma
Vienna	Wien
Stockholm	Stockholm
Wrocław	Breslau
Baebol	Bibel
Ho Chi Minh City	Ho-Chi-Minh-Stadt
Tru Jisas Jioj	Wahre Jesus-Kirche
Andorra la Vella	Andorra la Vella
Dong Hoi	Đồng Hới
Concepción	Concepción (Chile)
Końskowola	Końskowola
Kurów	Kurów
Kemistri	Chemie
Madrid	Madrid
Sydney	Sydney
Delmenhorst	Delmenhorst
Osasco	Osasco
Curitiba	Curitiba
Confucius	Konfuzius
Category:Matematikis	Kategorie:Mathematik
Faroe aelan	Färöer
Kristaniti	Christentum
Céline Dion	Céline Dion
Kontinen	Kontinent
Kapitol	Hauptstadt
Monzón	Monzón
Almazán	Almazán
Huang Xianfan	Huang Xianfan
Nambawan Pej	Wikipedia:Hauptseite
Category:Candidates for speedy deletion	Kategorie:Wikipedia:Schnelllöschen
Indianapolis, Indiana	Indianapolis
Elmshorn	Elmshorn
Qin Shi Huang	Qin Shihuangdi
Ae	Auge
Kamel	Altweltkamele
Obesin	Aubergine
Dakdak	Entenvögel
Toktok Rusia	Russische Sprache
Nelson Mandela	Nelson Mandela
Volkeno	Vulkan
Bigwin	Tropischer Wirbelsturm
Category:Franis	Kategorie:Frankreich
Kofi	Kaffee
Seoul	Seoul
Toktok Ukraine	Ukrainische Sprache
Dipsi	Ozean
Buddha	Siddhartha Gautama
Muhammed	Mohammed
Martin Luther	Martin Luther
Michael Schumacher	Michael Schumacher
Elisabet II	Elisabeth II.
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
Gordon Brown	Gordon Brown
Category:Venezuela	Kategorie:Venezuela
Lugo	Lugo
Category:Brazil	Kategorie:Brasilien
Oktri	Eichen
Kanal	Kanal (Wasserbau)
Leji	Litschibaum
Kokonas	Kokospalme
Santiago de Compostela	Santiago de Compostela
Oviedo	Oviedo
Mérida	Mérida (Spanien)
Busan	Busan
Vermont	Vermont
Denver, Colorado	Denver
Phoenix, Arizona	Phoenix (Arizona)
Austin, Texas	Austin (Texas)
Columbus, Ohio	Columbus (Ohio)
Flaeg blong Rusia	Flagge Russlands
Sacramento, Kalifornia	Sacramento
Honolulu, Hawaii	Honolulu
Providence, Rhode Island	Providence
Naen	Neun
Bien Hoa	Biên Hòa
Nha Trang	Nha Trang
Rafael Correa	Rafael Correa
Wikipedia:Gud atikel	Wikipedia:Lesenswerte Artikel
Breinigerberg	Breinigerberg
Moai	Moai
Daejeon	Daejeon
Sejong	Sejong (Stadt)
Incheon	Incheon
Nashville, Tennessee	Nashville
Sol Lek Siti	Salt Lake City
Seven	Sieben
Eit	Acht
Lord's Prayer	Vaterunser
Galik	Knoblauch
Kukamba	Gurke
Sikis	Sechs
Moshchena	Moschtschena
Paltoga	Paltoga
Santiago de los Caballeros de Mérida	Mérida (Venezuela)
Atlanta, Georgia	Atlanta
Ten	Zehn
Albany, Niu York	Albany (New York)
Ca Mau	Cà Mau
Harrisburg, Pennsylvania	Harrisburg (Pennsylvania)
Da Lat	Đà Lạt
Phan Thiet	Phan Thiet
Hoknaet	Schleiereule
Antoni Gaudí	Antoni Gaudí
Trenton, Niu Yersey	Trenton (New Jersey)
Jefferson City, Missouri	Jefferson City
Jackson, Mississippi	Jackson (Mississippi)
Augusta, Maine	Augusta (Maine)
Baton Rouge, Louisiana	Baton Rouge
Lansing, Michigan	Lansing
Concord, New Hampshire	Concord (New Hampshire)
Lincoln, Nebraska	Lincoln (Nebraska)
Annapolis, Maryland	Annapolis (Maryland)
Springfield, Illinois	Springfield (Illinois)
Frankfort, Kentucky	Frankfort (Kentucky)
Saint Paul, Minnesota	Saint Paul (Minnesota)
Montgomery, Alabama	Montgomery (Alabama)
Juneau, Alaska	Juneau
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Little Rock, Arkansas	Little Rock
Buon Ma Thuot	Buôn Ma Thuột
Hartford, Connecticut	Hartford (Connecticut)
Dover, Delaware	Dover (Delaware)
Tok Pisin	Tok Pisin
Anastacia	Anastacia
Yufreres	Euphrat
Vinh Long	Vĩnh Long
Tequixquiac	Municipio Tequixquiac
Oklahoma City, Oklahoma	Oklahoma City
Bislama	Bislama
Boise, Idaho	Boise
Al Bayda	Al-Baida
Bambu	Bambuseae
Port Moresby	Port Moresby
Arancón	Arancón
Twelef	Zwölf
Tallahassee, Florida	Tallahassee
Bismarck, Not Dakota	Bismarck (North Dakota)
Leven	Elf
Avoka	Avocado
Cleveland, Ohio	Cleveland
John Calvin	Johannes Calvin
Sint-Truiden	Sint-Truiden
Port Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
Angers	Angers
Columbia, Saut Carolina	Columbia (South Carolina)
Santa Fe, Niu Mexico	Santa Fe (New Mexico)
Helena, Montana	Helena (Montana)
Des Moines, Iowa	Des Moines
Ágreda	Ágreda
Nawita	Kraken
Pierre, Saut Dakota	Pierre (South Dakota)
Carson City, Nevada	Carson City
Topeka, Kansas	Topeka (Kansas)
Raleigh, Not Carolina	Raleigh (North Carolina)
Ulsan	Ulsan
Gwangju	Gwangju
Grepfrut	Grapefruit
Julia Gillard	Julia Gillard
Hamlet	Hamlet
Sebastian Vettel	Sebastian Vettel
Kevin Rudd	Kevin Rudd
Montehermoso	Montehermoso
Salem, Oregon	Salem (Oregon)
Josef Smit	Joseph Smith
Oganaesesen blong ol Leba Raonwol	Internationale Arbeitsorganisation
Iolu Abil	Iolu Abil
Namba	Zahlwort
Coronel Fabriciano	Coronel Fabriciano
Alla Pugacheva	Alla Borissowna Pugatschowa
Flaeg blong Azerbaijan	Flagge Aserbaidschans
Sompiniong	Fruchtkörper
Polanbol	Polandball
Dziecinów	Dziecinów (Powiat Otwocki)
Gdov	Gdow
Tenczynek	Tenczynek
Rudno	Rudno (Krzeszowice)
Rudawa	Rudawa (Zabierzów)
Blumak	Blaustreifen-Doktorfisch
François Arago	François Arago
Memba Kaontri blong Unaeted Neisen	Mitgliedstaaten der Vereinten Nationen
Natanggura	Japanischer Sagopalmfarn
St Peter's College (Auckland)	St Peter’s College (Auckland)
Alan García	Alan García
John Wycliffe	John Wyclif
Caltojar	Caltojar
Napoleong	Napoleon-Lippfisch
Flaeg blong Vanuatu	Flagge Vanuatus
Chang Myon	Chang Myon
Lou Reed	Lou Reed
Yun Chi-ho	Yun Chi-ho
Robert Gates	Robert Gates
William Tyndale	William Tyndale
Apaxco	Municipio Apaxco
Nagorno-Karabakh Republic	Republik Bergkarabach
Efate	Efate
Yumi, Yumi, Yumi	Yumi, Yumi, Yumi
Kalkot Mataskelekele	Kalkot Mataskelekele
Michael Somare	Michael Somare
Lluís Domènech i Montaner	Lluís Domènech i Montaner
Bry-sur-Marne	Bry-sur-Marne
Jacint Verdaguer	Jacint Verdaguer
Francesc Cambó	Francesc Cambó
Edward Natapei	Edward Natapei
Derek Sikua	Derek Sikua
Ambae Aelan	Ambae
Buk Blong Momon	Buch Mormon
Sato Kilman	Sato Kilman
Ham Lini	Ham Lini
Coritiba Foot Ball Club	Coritiba FC
Aliud	Aliud (Spanien)
Baraona	Baraona
Blufis	Papageifische
Tornesch	Tornesch
Eric A. Havelock	Eric A. Havelock
Markdorf	Markdorf
Tafea	Tafea
Shefa	Shefa
Ivan Zaytsev	Ivan Zaytsev
Serge Vohor	Serge Vohor
Sanma	Sanma
Malampa	Malampa
Yonawa	Jonava
Grin pijin	Flaumfußtauben
Waeldakdak	Augenbrauenente
Sigal	Silberkopfmöwe
Torba	Torba (Vanuatu)
Almarza	Almarza
Abejar	Abejar
Aldealpozo	Aldealpozo
Arcos de Jalón	Arcos de Jalón
Almenar de Soria	Almenar de Soria
Penama	Penama
Barca	Barca (Soria)
Santiago Tequixquiac	Santiago Tequixquiac
List blong provens blong Vanuatu	Provinzen von Vanuatu
Luganville	Luganville
Josias Moli	Josias Moli
Joan Alcover	Joan Alcover i Maspons
Praem Minista blong Vanuatu	Liste der Premierminister von Vanuatu
Oganaesesen blong Givhan long Ikonomi mo Sosaeti blong ol Kantri blong Esia mo Pasifik	Wirtschafts- und Sozialkommission für Asien und den Pazifik
Michał Winiarski	Michał Winiarski
Category:Germany	Kategorie:Deutschland
Category:Itali	Kategorie:Italien
Category:Yunaeted Stet blong Amerika	Kategorie:Vereinigte Staaten
Category:Rusia	Kategorie:Russland
Category:Kanada	Kategorie:Kanada
Category:United Kingdom	Kategorie:Vereinigtes Königreich
Category:Spain	Kategorie:Spanien
Category:China	Kategorie:China
Category:India	Kategorie:Indien
Category:Niu Zilan	Kategorie:Neuseeland
Sola	Sola (Vanuatu)
Category:Bangladesh	Kategorie:Bangladesch
Category:Poland	Kategorie:Polen
Category:Saot Koria	Kategorie:Südkorea
Category:Ukraine	Kategorie:Ukraine
Category:Vietnam	Kategorie:Vietnam
Category:Pijin	Kategorie:Vögel
Category:Baeoloji	Kategorie:Biologie
Category:Histri	Kategorie:Geschichte
Category:Jiografi	Kategorie:Geographie
Category:Sosaeti	Kategorie:Gesellschaft
Category:Rilijin	Kategorie:Religion
Category:Saens	Kategorie:Wissenschaft
Category:Yunaeted Nesen	Kategorie:Vereinte Nationen
Category:Budisim	Kategorie:Buddhismus
Category:Kristaniti	Kategorie:Christentum
Category:Islam	Kategorie:Islam
Bochotnica	Bochotnica
Benedicta Boccoli	Benedicta Boccoli
Category:Wikipedia Manejmen	Kategorie:Wikipedia:
Category:Kultur	Kategorie:Kultur
Category:Kontinen	Kategorie:Kontinent
Annarita Del Piano	Anna Rita Del Piano
Category:Pipol blong Yunaeted Stet blong Amerika	Kategorie:US-Amerikaner
Sergio Mattarella	Sergio Mattarella
Category:Pipol	Kategorie:Person
Category:Intanet	Kategorie:Internet
Template:Bot	Vorlage:Bot
Kanada	Kanada
Category:Hungary	Kategorie:Ungarn
Category:Czechia	Kategorie:Tschechien
Category:Litwania	Kategorie:Litauen
Category:Slovakia	Kategorie:Slowakei
Category:Yurop	Kategorie:Europa
Template:Documentation	Vorlage:Dokumentation
Category:Wikipedians by language	Kategorie:Benutzer:nach Sprache
Template:Softredirect	Vorlage:Interwiki redirect
Template:Delete	Vorlage:Löschen
Category:Toktok	Kategorie:Einzelsprache als Thema
Category:Wikipedia	Kategorie:Wikipedia
Category:Pages with broken file links	Kategorie:Wikipedia:Defekter Dateilink
Wikipedia:Statistics	Wikipedia:Statistik
Category:Buk	Kategorie:Buchwesen
Template:Babel	Vorlage:Babel
Template:Commons	Vorlage:Commons
Template:User eo-1	Vorlage:User eo-1
Template:User en-2	Vorlage:User en-2
Template:User es-1	Vorlage:User es-1
Template:User sk	Vorlage:User sk
Template:User fr-2	Vorlage:User fr-2
Category:Azerbaijan	Kategorie:Aserbaidschan
Category:Esia	Kategorie:Asien
Template:Mod	Vorlage:Modulo
Template:User it	Vorlage:User it
Template:States blog United States	Vorlage:Navigationsleiste Verwaltungseinheiten in den Vereinigten Staaten
Category:User en	Kategorie:User en
Category:Croatia	Kategorie:Kroatien
Category:User en-2	Kategorie:User en-2
Category:Hed blong Stet	Kategorie:Staatsoberhaupt
Template:Purge	Vorlage:Purge
Template:Interwiki	Vorlage:Wikipedia
Category:Praem minista blong Vanuatu	Kategorie:Premierminister (Vanuatu)
Category:Galicia	Kategorie:Galicien
Category:User sk	Kategorie:User sk
Category:User eo	Kategorie:User eo
Category:User fr	Kategorie:User fr
Category:User fr-2	Kategorie:User fr-2
Category:User it-N	Kategorie:User it-M
Category:User sk-N	Kategorie:User sk-M
Category:User de	Kategorie:User de
Category:User eo-1	Kategorie:User eo-1
Category:User es	Kategorie:User es
Category:User es-1	Kategorie:User es-1
Category:User it	Kategorie:User it
Category:Saens blong Pipol	Kategorie:Sozialwissenschaft
Category:1969 births	Kategorie:Geboren 1969
Category:Not Dakota	Kategorie:North Dakota
Category:Louisiana	Kategorie:Louisiana
Category:Arizona	Kategorie:Arizona
Category:Kentucky	Kategorie:Kentucky
Category:Armenia	Kategorie:Armenien
Category:Vanuatu	Kategorie:Vanuatu
Category:Pipol blong Vanuatu	Kategorie:Vanuatuer
Category:Hed blong Stet blong Yunaeted Stet blong Amerika	Kategorie:Präsident der Vereinigten Staaten
Category:Paraguay	Kategorie:Paraguay
Category:Papua Nui Guini	Kategorie:Papua-Neuguinea
Category:Andorra	Kategorie:Andorra
Category:Peru	Kategorie:Peru
Category:Albania	Kategorie:Albanien
Category:Dipsi	Kategorie:Ozean
Category:Animol	Kategorie:Vielzellige Tiere
Category:Asturias	Kategorie:Asturien
Category:Jos blong Jisas Kraes blong ol Lata-dei Sent	Kategorie:Kirche Jesu Christi der Heiligen der Letzten Tage
Category:Catalonia	Kategorie:Katalonien
Trojany	Trojany (Woiwodschaft Masowien)
Category:Provens blong Vanuatu	Kategorie:Provinz (Vanuatu)
Category:Soria	Kategorie:Soria
Category:Aragón	Kategorie:Aragonien
Wikipedia:Deletion log	Wikipedia:Löschkandidaten/Archiv:Lösch-Logbuch
Yun Hyon-seok	Yun Hyon-seok
Special:RecentChanges	Spezial:Letzte Änderungen
