Aprika	Afrika
Eroplano	Flugzeug
Digmaan	Krieg
1 (bilang)	Eins
2 (bilang)	Zwei
3 (bilang)	Drei
4 (bilang)	Vier
5 (bilang)	Fünf
0 (bilang)	Null
Kawalang hangganan	Unendlichkeit
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Parihaba	Rechteck
Latbiya	Lettland
Ukraine	Ukraine
Republikang Tseko	Tschechien
Eslobakya	Slowakei
Eslobenya	Slowenien
Vilna	Vilnius
Moldavia	Moldawien
Romania	Rumänien
Bulgarya	Bulgarien
Roma	Rom
Republika ng Macedonia	Mazedonien
Albanya	Albanien
Greenland	Grönland
Kroasya	Kroatien
Bosnia at Herzegovina	Bosnien und Herzegowina
Aserbayan	Aserbaidschan
Andorra	Andorra
Tsipre	Republik Zypern
Georgia (bansa)	Georgien
Valonia	Wallonische Region
Kazakhstan	Kasachstan
Malta	Malta
Flandes	Flandern
Monako	Monaco
Montenegro	Montenegro
Lungsod ng Vaticano	Vatikanstadt
San Marino	San Marino
Lungsod ng Bruselas	Stadt Brüssel
Kuba	Kuba
Belise	Belize
Toreng Eiffel	Eiffelturm
Barbados	Barbados
Tipaan (ng kompyuter)	Tastatur
Java (wikang pamprograma)	Java (Programmiersprache)
Indonesia	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Wikang Turko	Türkische Sprache
South Africa	Südafrika
Linkin Park	Linkin Park
Algeria	Algerien
Uzbekistan	Usbekistan
Taskent	Taschkent
Varsovia	Warschau
Paligsahang Pang-awitin ng Eurovision	Eurovision Song Contest
Modena (lungsod)	Modena
Alak	Wein
Tubig	Wasser
Katad	Leder
Kahoy	Holz
Telebisyon	Fernsehen
Pornograpiya	Pornografie
Claude Monet	Claude Monet
Chile	Chile
Hesus	Jesus Christus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Merkuryo (planeta)	Merkur (Planet)
Kasaysayan	Geschichte
Apple Inc.	Apple
Benus (planeta)	Venus (Planet)
Wika	Sprache
Pag-ibig	Liebe
Diktadura	Diktatur
Galaksiya	Galaxie
Hupiter (planeta)	Jupiter (Planet)
Daang Magatas	Milchstraße
Big Bang	Urknall
Urano	Uranus (Planet)
Nicolas Sarkozy	Nicolas Sarkozy
Neptuno	Neptun (Planet)
Astronomiya	Astronomie
Singapore	Singapur
Agham	Wissenschaft
Pluton (astronomiya)	Pluto
Montréal, Québec	Montreal
Malayang sopwer	Freie Software
Kinabukasan	Zukunft
Maria (ina ni Hesus)	Maria (Mutter Jesu)
Louis IX ng Pransiya	Ludwig IX. (Frankreich)
Liechtenstein	Liechtenstein
Palakasan	Sport
Cambridge	Cambridge
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Julian Assange	Julian Assange
Unang Digmaang Pandaigdig	Erster Weltkrieg
Ikalawang Digmaang Pandaigdig	Zweiter Weltkrieg
Cologne	Köln
Korupsiyon	Korruption
Augusto Pinochet	Augusto Pinochet
Yanka Kupala	Janka Kupala
Ubuntu	Ubuntu
Skopje	Skopje
Linux	Linux
Bob Dylan	Bob Dylan
Szczecin	Stettin
Metrolohiya	Metrologie
Matematika	Mathematik
U2	U2 (Band)
Wikang Latin	Latein
Barein	Bahrain
Armenya	Armenien
Kuneiporme	Keilschrift
Higgs boson	Higgs-Boson
Serbiya	Serbien
Buwan (astronomiya)	Mond
Istanbul	Istanbul
Linda Lovelace	Linda Lovelace
Australya	Australien
Bob Marley	Bob Marley
Carl Sagan	Carl Sagan
Astrobiyolohiya	Astrobiologie
Pisika	Physik
Arhentina	Argentinien
Telekomunikasyon	Telekommunikation
Peru	Peru
Biyolohiya	Biologie
UFO	UFO
Hilagang Korea	Nordkorea
Kambodya	Kambodscha
Koran	Koran
Dinosauro	Dinosaurier
Soolohiya	Zoologie
Islam	Islam
Peras	Birnen
Liubliana	Ljubljana
Botanika	Botanik
Lech Wałęsa	Lech Wałęsa
Gulong	Rad
Isip	Geist
Kapayapaan	Frieden
Encyclopædia Britannica	Encyclopædia Britannica
Lyon	Lyon
Unyong Europeo	Europäische Union
Plovdiv	Plowdiw
Star Wars	Star Wars
World Wide Web	World Wide Web
Babae	Frau
Sofia	Sofia
Akwedukto	Aquädukt
Ñ	Ñ
Don Quixote	Don Quijote
Panulaan	Poesie
Birus ng kompyuter	Computervirus
Ngiti	Lächeln
Lungsod ng Milano	Mailand
Kaibigan	Freundschaft
Alaala	Gedächtnis
Arthur Rimbaud	Arthur Rimbaud
Lungsod ng Turino	Turin
Ipot	Kot
Butas ng puwit	Anus
Kili-kili	Achsel
Lemon	Zitrone
Émile Zola	Émile Zola
666	666
Bulaklak	Blüte
Googol	Googol
Bambang ng Marianas	Marianengraben
Bundok Everest	Mount Everest
Anatomiya	Anatomie
Lungsod	Stadt
Napoleon I ng Pransiya	Napoleon Bonaparte
Pisyolohiya	Physiologie
Bituin	Stern
Vesubio	Vesuv
Araw (astronomiya)	Sonne
Louis Pasteur	Louis Pasteur
Sinag-taon	Lichtjahr
Victor Hugo	Victor Hugo
Oceania	Ozeanien
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletiks	Leichtathletik
Sistemang Pang-araw	Sonnensystem
Dagat Baltiko	Ostsee
Champs-Élysées	Avenue des Champs-Élysées
Ngipin	Zahn
Idrohino	Wasserstoff
Helyo	Helium
Impiyerno	Hölle
Wikimedia Commons	Wikimedia Commons
Purgatoryo	Fegefeuer
Angela Merkel	Angela Merkel
Lityo	Lithium
Berilyo	Beryllium
Palakas-tinig	Lautsprecher
Aklat	Buch
Araw (panahon)	Tag
Silangang Timor	Osttimor
Taon	Jahr
Daang taon	Jahrhundert
Canegrate	Canegrate
Ilog Rin	Rhein
Oslo	Oslo
Undas	Allerheiligen
Itim na butas	Schwarzes Loch
Seres (astronomiya)	(1) Ceres
Lisboa	Lissabon
Ichiro Suzuki	Ichirō Suzuki (Baseballspieler)
Haumea (astronomiya)	(136108) Haumea
Rodano (ilog)	Rhone
Makemake (astronomiya)	(136472) Makemake
Michael Bloomberg	Michael Bloomberg
Gawaing seksuwal ng tao	Sex
Kateri Tekakwitha	Kateri Tekakwitha
Eris (astronomiya)	(136199) Eris
Dubai	Dubai (Emirat)
Lionel Messi	Lionel Messi
Lungsod ng Padua	Padua
Boron	Bor
Nicolaus Copernicus	Nikolaus Kopernikus
Karbon	Kohlenstoff
Ilog Volga	Wolga
Nitroheno	Stickstoff
Lungsod ng Bergamo	Bergamo
Oksiheno	Sauerstoff
Planeta	Planet
Cleopatra VII ng Ehipto	Kleopatra VII.
Tugtugin	Musik
Lungsod ng Venezia	Venedig
Naruto	Naruto (Manga)
Mosku	Moskau
Plurina	Fluor
Wikang Italyano	Italienische Sprache
Tsiwawa	Chihuahua (Hunderasse)
Neon	Neon
Chihuahua	Chihuahua (Bundesstaat)
San Petersburgo	Sankt Petersburg
Chad	Tschad
Sodyo	Natrium
Magnesyo	Magnesium
Neon Genesis Evangelion (anime)	Neon Genesis Evangelion
Aluminyo	Aluminium
New Zealand	Neuseeland
India	Indien
Silikon	Silicium
Pransiyo	Francium
Tuvalu	Tuvalu
One Piece	One Piece
Posporo (elemento)	Phosphor
André-Marie Ampère	André-Marie Ampère
Tuluyan	Prosa
Bakal	Eisen
Tonga	Tonga
Alessandro Volta	Alessandro Volta
Asupre	Schwefel
Samoa	Samoa
Kapuluang Salomon	Salomonen
Vanuatu	Vanuatu
Molière	Molière
Kloro	Chlor
Papua New Guinea	Papua-Neuguinea
William Shakespeare	William Shakespeare
Pabula	Fabel
Palau	Palau
Argon	Argon
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Kuwentong bibit	Märchen
Mga Estadong Pederado ng Mikronesya	Föderierte Staaten von Mikronesien
Potasyo	Kalium
Kalsiyo	Calcium
Tingga	Blei
Kapuluang Marshall	Marshallinseln
Kiribati	Kiribati
Mongolia	Mongolei
Fiji	Fidschi
Eskandiyo	Scandium
Stevie Wonder	Stevie Wonder
Titanyo	Titan (Element)
Venezuela	Venezuela
Ahedres	Schach
Genghis Khan	Dschingis Khan
Banadyo	Vanadium
Maine	Maine
Kromyo	Chrom
Kabayo	Hauspferd
Amsterdam	Amsterdam
Sandata	Waffe
Hayop	Tier
Surinam	Suriname
Mangganeso	Mangan
Paraguay	Paraguay
Guyana	Guyana
Sining	Kunst
Ecuador	Ecuador
Colombia	Kolumbien
Kobalto	Cobalt
Wolpramyo	Wolfram
Budismo	Buddhismus
Bolivia	Bolivien
Tanso	Kupfer
Trinidad at Tobago	Trinidad und Tobago
Halaman	Pflanzen
San Vicente at ang Kagranadinahan	St. Vincent und die Grenadinen
Sink	Zink
Bagong Hampshire	New Hampshire
Santa Lucia (bansa)	St. Lucia
Leonardo da Vinci	Leonardo da Vinci
San Cristobal at Niyebes	St. Kitts und Nevis
Fungus	Pilze
Hamayka	Jamaika
Grenada	Grenada
Massachusetts	Massachusetts
Guwatemala	Guatemala
Google Chrome	Google Chrome
Bahamas	Bahamas
Connecticut	Connecticut
Manok	Haushuhn
Antigua at Barbuda	Antigua und Barbuda
Hawaii	Hawaii
Honduras	Honduras
Dominika	Dominica
Hersey	Jersey
Republikang Dominikano	Dominikanische Republik
Baboy	Hausschwein
Karagatang Artiko	Arktischer Ozean
Hayti	Haiti
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
El Salvador	El Salvador
Iran	Iran
Gago	Dummheit
Iraq	Irak
Alaska	Alaska
Karunungan	Weisheit
Costa Rica	Costa Rica
Israel	Israel
Panama	Panama
Yemen	Jemen
Birus	Viren
Wikang Polako	Polnische Sprache
Hordan	Jordanien
Nicaragua	Nicaragua
Florida	Florida
Kyrgyzstan	Kirgisistan
Arisona	Arizona
Kuwait	Kuwait
Laos (bansa)	Laos
Lebanon	Libanon
Oregon	Oregon
Maldives	Malediven
Kaamerikahan	Amerika
Utah	Utah
Baka	Hausrind
Malaysia	Malaysia
Myanmar	Myanmar
Nepal	Nepal
Oman	Oman
Pakistan	Pakistan
James Bond	James Bond
Qatar	Katar
Tenis	Tennis
Saudi Arabia	Saudi-Arabien
Sri Lanka	Sri Lanka
Joseph Stalin	Josef Stalin
Syria	Syrien
Platon	Platon
Tayikistan	Tadschikistan
Pokémon	Pokémon
Republika ng Tsina	Republik China (Taiwan)
YouTube	YouTube
Aristoteles	Aristoteles
Taylandiya	Thailand
Tren	Zug (Eisenbahn)
Arseniko	Arsen
Radyo	Hörfunk
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenistan
Abakan	Abakan (Stadt)
United Arab Emirates	Vereinigte Arabische Emirate
Bromina	Brom
Platino	Platin
Vietnam	Vietnam
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Nowosibirsk
Timog Korea	Südkorea
The Simpsons	Die Simpsons
Yekaterinburg	Jekaterinburg
Kripton	Krypton
Afghanistan	Afghanistan
Gangnam Style	Gangnam Style
Nizhny Novgorod	Nischni Nowgorod
J. R. R. Tolkien	J. R. R. Tolkien
Rubidyo	Rubidium
Ginto	Gold
Omsk	Omsk
Agusan ng Suez	Sueskanal
Kazan	Kasan
Bangladesh	Bangladesch
Bleach	Bleach (Manga)
Franz Kafka	Franz Kafka
Chelyabinsk	Tscheljabinsk
Rostov-on-Don	Rostow am Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa (Stadt)
Mali (bansa)	Mali
Socrates	Sokrates
Volgograd	Wolgograd
Angola	Angola
Perm	Perm (Stadt)
Bhutan	Bhutan
Twitter	Twitter
Krasnoyarsk	Krasnojarsk
Brunei	Brunei
Tanzania	Tansania
Asoge	Quecksilber
Roald Amundsen	Roald Amundsen
Pilipinas	Philippinen
Republika ng Gitnang Aprika	Zentralafrikanische Republik
Polong Timog	Südpol
Hilagang Polo	Nordpol
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estronsiyo	Strontium
Pedro I ng Brasil	Peter I. (Brasilien)
Itriyo	Yttrium
Bismuto	Bismut
Dilaw	Gelb
Mekaniks na kwantum	Quantenmechanik
Togo	Togo
Tunisya	Tunesien
John Bardeen	John Bardeen
Sambya	Sambia
Zimbabwe	Simbabwe
Beijing	Peking
Timog Sudan	Südsudan
Vladivostok	Wladiwostok
Tuva	Tuwa
Benin	Benin
Botswana	Botswana
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Komoren
Republika ng Congo	Republik Kongo
Demokratikong Republika ng Congo	Demokratische Republik Kongo
San Antonio, Texas	San Antonio
Tomsk	Tomsk
Djibouti	Dschibuti
Meme	Mem
Polonium	Polonium
Bavaria	Bayern
Gineang Ekwatoriyal	Äquatorialguinea
Eritrea	Eritrea
New Delhi	Neu-Delhi
Papa Juan Pablo II	Johannes Paul II.
Fëdor Dostoevskij	Fjodor Michailowitsch Dostojewski
Tangway ng Kamchatka	Kamtschatka
Tiflis	Tiflis
Sanggol	Säugling
Astatino	Astat
Gabon	Gabun
Mahatma Gandhi	Mohandas Karamchand Gandhi
Komiks	Comic
Ang Gambiya	Gambia
Ginea	Guinea
Ginea-Bissau	Guinea-Bissau
Côte d'Ivoire	Elfenbeinküste
Cameroon	Kamerun
Kabo Berde	Kap Verde
Lesoto	Lesotho
Liberia	Liberia
Libya	Libyen
Aachen	Aachen
Madagascar	Madagaskar
Malawi	Malawi
Stuttgart	Stuttgart
Mauritania	Mauretanien
Mauritius	Mauritius
Maruekos	Marokko
Mozambique	Mosambik
Namibia	Namibia
Niger	Niger
Nigerya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Ruanda
Sirkonyo	Zirconium
Santo Tome at Prinsipe	São Tomé und Príncipe
Senegal	Senegal
Seychelles	Seychellen
Carl Linnaeus	Carl von Linné
Sierra Leone	Sierra Leone
Somalia	Somalia
Julio Cesar	Gaius Iulius Caesar
Sudan	Sudan
Swaziland	Swasiland
Bahaghari	Regenbogen
Metabolismo	Stoffwechsel
Sistemang immuno	Immunsystem
Gujarat	Gujarat
Ebolusyon	Evolution
Mga Nagkakaisang Bansa	Vereinte Nationen
Dante Alighieri	Dante Alighieri
Heolohiya	Geologie
Ahmedabad	Ahmedabad
Heograpiya	Geographie
Puso (anatomiya)	Herz
Utak	Gehirn
Balat (anatomiya)	Haut
Kulay	Farbe
Pangngalan	Substantiv
Praga	Prag
Bughaw	Blau
Pilak	Silber
Star Trek	Star Trek
Lata	Zinn
Uranyo	Uran
Antimonyo	Antimon
Plutonyo	Plutonium
Iodine	Iod
Henon (elemento)	Xenon
Anime	Anime
Sesyo	Caesium
Karga ng kuryente	Elektrische Ladung
Baryo (elemento)	Barium
Aktinyo	Actinium
Bill Clinton	Bill Clinton
Radyo (elemento)	Radium
Radon	Radon
Indira Gandhi	Indira Gandhi
Merkuryo (mitolohiya)	Mercurius
Busto Arsizio	Busto Arsizio
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Michigan	Michigan
Goa	Goa
Borgonya	Burgund
Maurice Ravel	Maurice Ravel
Aquitania	Aquitanien
Puerto Rico	Puerto Rico
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Hilagang Renania-Westfalia	Nordrhein-Westfalen
Hesse	Hessen
Sahonya	Sachsen
John Lennon	John Lennon
Illinois	Illinois
Hilagang Dakota	North Dakota
Brandeburgo	Brandenburg
Lombardy	Lombardei
Timog Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Piemonte	Piemont
Herusalem	Jerusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lambak ng Aosta	Aostatal
Washington	Washington (Staat)
Nebada	Nevada
Trentino-Alto Adige/Südtirol	Trentino-Südtirol
Karagatang Indiyano	Indischer Ozean
Veneto	Venetien
Kosovo	Kosovo
Dagat Karibe	Karibisches Meer
Boryo	Bohrium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Ligurien
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Colorado	Colorado
Frederic Francois Chopin	Frédéric Chopin
Minatamis (prutas)	Konfitüre
Tuskanya	Toskana
Marche	Marken
Umbria	Umbrien
Kategorya:Mga nilalaman	Kategorie:!Hauptkategorie
Lazio	Latium
Abruzzo	Abruzzen
Alpes	Alpen
Jansenismo	Jansenismus
Kabundukang Carpatos	Karpaten
Blaise Pascal	Blaise Pascal
Dama	Dame (Spiel)
Gante	Gent
Chicago	Chicago
The Beatles	The Beatles
Ununquadium	Flerovium
Ununoctium	Ununoctium
Como (lungsod)	Como
Taglamig	Winter
Tagsibol	Frühling
Tag-init	Sommer
Taglagas	Herbst
Ekinoks	Äquinoktium
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Wikang Kastila	Spanische Sprache
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Tolyatti	Toljatti
Pittsburgh, Pennsylvania	Pittsburgh
Opera	Oper
Philadelphia, Pennsylvania	Philadelphia
Kolkata	Kalkutta
Chennai	Chennai
Delhi	Delhi
Dhaka	Dhaka
Bangalore	Bangalore
West Bengal	Westbengalen
Gagamba	Webspinnen
Arachnida	Spinnentiere
Arthropoda	Gliederfüßer
Hyderabad, Andhra Pradesh	Hyderabad (Indien)
Islamabad	Islamabad
Bungang-kahoy	Frucht
Salapi	Geld
Virginia (estado)	Virginia
West Virginia	West Virginia
New York	New York (Bundesstaat)
Seryo	Cer
Rhode Island	Rhode Island
Neodimyo	Neodym
Kulisap	Insekten
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Wladimir Iljitsch Lenin
Ohio	Ohio
Vergilius	Vergil
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Petrarca	Francesco Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Cesar Augusto	Augustus
Microsoft Windows	Microsoft Windows
Tiberius	Tiberius
New Jersey	New Jersey
Caligula	Caligula
Gibraltar	Gibraltar
Claudius	Claudius
Wikang Pinlandes	Finnische Sprache
Nero	Nero
Galba	Galba
Indiyana (Estado ng Estados Unidos)	Indiana
Otho	Otho
Vitellius	Vitellius
Nokia	Nokia
Vespasian	Vespasian
Kotse	Automobil
Titus	Titus
Domitian	Domitian
Nerva	Nerva
Trajan	Trajan
Roger Federer	Roger Federer
Hadrian	Hadrian (Kaiser)
Georgia	Georgia
Antoninus Pius	Antoninus Pius
Marcus Aurelius	Mark Aurel
Lucius Verus	Lucius Verus
Commodus	Commodus
Lungsod ng Zagreb	Zagreb
Pertinax	Pertinax (Römischer Kaiser)
Rajasthan	Rajasthan
Campania	Kampanien
Texas	Texas
Didius Julianus	Didius Julianus
Septimius Severus	Septimius Severus
Molise	Molise
Caracalla	Caracalla
Apulia	Apulien
Lungsod ng Genova	Genua
Bruno Mars	Bruno Mars
Bundok Pinatubo	Pinatubo
Basilicata	Basilikata
Hilagang Karolina	North Carolina
South Carolina	South Carolina
Calabria	Kalabrien
Sicilia	Autonome Region Sizilien
Maynila	Manila
Sardinia	Sardinien
Ferdinand Marcos	Ferdinand Marcos
Benigno Aquino III	Benigno Aquino III.
Lungsod ng Cebu	Cebu City
Ilog Sena	Seine
Lungsod ng Dabaw	Davao City
Lungsod Quezon	Quezon City
Kalookan	Caloocan City
Burdeos	Bordeaux
Corazon Aquino	Corazon Aquino
Lungsod ng Kabite	Cavite City
Bulkang Mayon	Mayon
Lungsod ng Buenos Aires	Buenos Aires
Lungsod ng Mehiko	Mexiko-Stadt
Tokyo	Präfektur Tokio
Lungsod ng Barcelona	Barcelona
Pinya	Ananas
Misisipi	Mississippi (Staat)
Fernando de Magallanes	Ferdinand Magellan
Ilog Mississippi	Mississippi River
José Rizal	José Rizal
Manuel L. Quezon	Manuel Quezon
Sikkim	Sikkim
Makati	Makati City
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Nagpur	Nagpur
Janis Joplin	Janis Joplin
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi
Astana	Astana
Bagong Mehiko	New Mexico
Ramesses II	Ramses II.
Atenas	Athen
Rotonda	Kreisverkehr
Ramesses I	Ramses I.
Minesota	Minnesota
Ramesses III	Ramses III.
Baghdad	Bagdad
Ramesses IV	Ramses IV.
Caracas	Caracas
Pandaigdigang Batayan ng Oras	Koordinierte Weltzeit
Wisconsin	Wisconsin
Pune	Pune
Cicero	Marcus Tullius Cicero
Cyndi Lauper	Cyndi Lauper
Ayowa	Iowa
Nebraska	Nebraska
Lungsod ng Guwatemala	Guatemala-Stadt
Kansas	Kansas
Havana	Havanna
Tabako	Tabak
Wikang Hindi	Hindi
Internet Explorer	Internet Explorer
Sigarilyo	Zigarette
Missouri	Missouri
George Ohm	Georg Simon Ohm
Louisiana	Louisiana
Luigi Galvani	Luigi Galvani
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Charles Lindbergh	Charles Lindbergh
Lungsod ng Valenzuela	Valenzuela City
Lungsod ng Pasig	Pasig City
Lungsod ng Zamboanga	Zamboanga City
Édith Piaf	Édith Piaf
Antipolo	Antipolo
Taguig	Taguig City
Ilog Elba	Elbe
Cagayan de Oro	Cagayan de Oro
Oklahoma	Oklahoma
Danubio	Donau
Butuan	Butuan City
Cabadbaran	Cabadbaran City
Dagat Hilaga	Nordsee
Bayugan	Bayugan City
Legazpi, Albay	Legazpi City
Moscow Oblast	Oblast Moskau
Serge Gainsbourg	Serge Gainsbourg
Ligao	Ligao City
Tabaco, Albay	Tabaco City
Isabela, Basilan	Isabela City
Lamitan	Lamitan City
Balanga	Balanga
Mainz	Mainz
Wiesbaden	Wiesbaden
Lungsod ng Batangas	Batangas City
Lipa, Batangas	Lipa City
Munich	München
Samara Oblast	Oblast Samara
Tanauan	Tanauan City
Dresde	Dresden
Balibol (palakasan)	Volleyball
Vienna	Wien
Madonna	Madonna (Künstlerin)
Copenhague	Kopenhagen
Kaliningrad Oblast	Oblast Kaliningrad
Macrinus	Macrinus
Estokolmo	Stockholm
Lungsod ng Helsinki	Helsinki
Murmansk Oblast	Oblast Murmansk
Dublin	Dublin
Elagabalus	Elagabal
Murmansk	Murmansk
Reikiavik	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Severus Alexander
Tallin	Tallinn
Riga	Riga
Maximinus Thrax	Maximinus Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordian I	Gordian I.
Frankfurt	Frankfurt am Main
Pupienus	Pupienus
Breslavia	Breslau
Gordian II	Gordian II.
Balbinus	Balbinus
Prometyo	Promethium
Yunit na pang-astronomiya	Astronomische Einheit
Gordian III	Gordian III.
Felipe ang Arabo	Philippus Arabs
Baguio	Baguio City
Aceh	Aceh
Tagbilaran	Tagbilaran
Kaliningrado	Kaliningrad
Decius (emperor)	Decius (Kaiser)
Death Note	Death Note
Katolisismo	Katholizismus
Lungsod ng Luksemburgo	Luxemburg (Stadt)
Vaduz	Vaduz
Bibliya	Bibel
San Marino, San Marino	Stadt San Marino
Phnom Penh	Phnom Penh
Arkhangelsk	Archangelsk
Lungsod ng Ho Chi Minh	Ho-Chi-Minh-Stadt
Iterbiyo	Ytterbium
Malaybalay	Malaybalay City
Hanoi	Hanoi
Totoong Simbahan ni Hesus	Wahre Jesus-Kirche
Wikang Ingles	Englische Sprache
Bangkok	Bangkok
Lungsod ng Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipeh
Amerisyo	Americium
Odessa	Odessa
Arkhangelsk Oblast	Oblast Archangelsk
Dong Hoi	Đồng Hới
Concepción, Tsile	Concepción (Chile)
Berkelyo	Berkelium
Diplomasya	Diplomatie
Petrozavodsk	Petrosawodsk
Lungsod ng Cagliari	Cagliari
Kiev	Kiew
Nobelyo	Nobelium
Lungsod ng Catania	Catania
Ontario, Canada	Ontario
Republika ng Karelia	Republik Karelien
Ottawa	Ottawa
Juba, Timog Sudan	Juba (Stadt)
Manitoba	Manitoba
Alberta	Alberta
Nova Scotia	Nova Scotia
Yerevan	Jerewan
Vologda	Wologda
Końskowola	Końskowola
Hartum	Khartum
New Brunswick	New Brunswick
Formula One	Formel 1
British Columbia	British Columbia
Prince Edward Island	Prince Edward Island
2000	2000
2003	2003
2002	2002
2001	2001
