Αφρική	Afrika
Βόλφγκανγκ Αμαντέους Μότσαρτ	Wolfgang Amadeus Mozart
Λούντβιχ βαν Μπετόβεν	Ludwig van Beethoven
Τουρκική γλώσσα	Türkische Sprache
Νότια Αφρική	Südafrika
Ζαν-Φρανσουά Σαμπολιόν	Jean-François Champollion
Linkin Park	Linkin Park
Αλγερία	Algerien
Βικιθήκη	Wikisource
Τυφώνας Σάντι	Hurrikan Sandy
Ουζμπεκιστάν	Usbekistan
Πόζναν	Posen
Τασκένδη	Taschkent
Βαρσοβία	Warschau
Άιλα	Islay
Γέφυρα Φορθ	Forth Bridge
Διαγωνισμός Τραγουδιού Eurovision	Eurovision Song Contest
Μόντενα	Modena
Ουίσκι	Whisky
Κρασί	Wein
Νερό	Wasser
Κονιάκ	Cognac (Branntwein)
Ζωικό δέρμα	Leder
Ξύλο	Holz
Τουρ	Tours
Τηλεόραση	Fernsehen
Πορνογραφία	Pornografie
Ισλανδική γλώσσα	Isländische Sprache
Κλωντ Μονέ	Claude Monet
Ντιέγο Βελάθκεθ	Diego Rodríguez de Silva y Velázquez
Χιλή	Chile
Ισλανδική Σάγκα	Isländersagas
Δομήνικος Θεοτοκόπουλος	El Greco
Ιησούς Χριστός	Jesus Christus
Έλβις Πρίσλεϊ	Elvis Presley
Σεμπαστιάν Πινιέρα	Sebastián Piñera
Γαλιλαίος Γαλιλέι	Galileo Galilei
Ερμής (πλανήτης)	Merkur (Planet)
Ιστορία	Geschichte
Κοιμητήριο Περ Λασαίζ	Père Lachaise
Apple	Apple
Αφροδίτη (πλανήτης)	Venus (Planet)
Γλώσσα	Sprache
Αγάπη	Liebe
Δικτατορία	Diktatur
Γαλαξίες	Galaxie
Δίας (πλανήτης)	Jupiter (Planet)
Μιτσέλ Μπατσελέ	Michelle Bachelet
Γαλαξίας	Milchstraße
Χλανβαϊρπουχγκουίνγκιλ	Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch
Μεγάλη Έκρηξη	Urknall
Ουρανός (πλανήτης)	Uranus (Planet)
Αγγλική Βικιπαίδεια	Englischsprachige Wikipedia
Νικολά Σαρκοζί	Nicolas Sarkozy
Ποσειδώνας (πλανήτης)	Neptun (Planet)
Αστρονομία	Astronomie
Σιγκαπούρη	Singapur
Επιστήμη	Wissenschaft
Πλούτωνας (πλανήτης νάνος)	Pluto
Μόντρεαλ	Montreal
Ελεύθερο λογισμικό	Freie Software
Παναγία	Maria (Mutter Jesu)
Λουδοβίκος Θ΄ της Γαλλίας	Ludwig IX. (Frankreich)
Λίχτενσταϊν	Liechtenstein
Αθλητισμός	Sport
Κέιμπριτζ	Cambridge
Εθνικό Πάρκο Γιέλοουστοουν	Yellowstone-Nationalpark
Αδόλφος Χίτλερ	Adolf Hitler
Λευκή της Καστίλης	Blanka von Kastilien
Facebook	Facebook
Google+	Google+
WikiLeaks	WikiLeaks
Τζούλιαν Ασάνζ	Julian Assange
Α΄ Παγκόσμιος Πόλεμος	Erster Weltkrieg
Β΄ Παγκόσμιος Πόλεμος	Zweiter Weltkrieg
Κολωνία	Köln
Διαφθορά	Korruption
Βικιβιβλία	Wikibooks
Αουγούστο Πινοσέτ	Augusto Pinochet
Βικιφθέγματα	Wikiquote
Βικιταξίδια	Wikivoyage
Βότκα	Wodka
Βάφλα	Waffel
Ρολόι	Uhr
Ubuntu	Ubuntu
Σκόπια	Skopje
Γκντίνια	Gdynia
Linux	Linux
Μπομπ Ντίλαν	Bob Dylan
Στσέτσιν	Stettin
Μαθηματικά	Mathematik
U2	U2 (Band)
Λατινική γλώσσα	Latein
Μπαχρέιν	Bahrain
Αρμενία	Armenien
Τζέννα Τζέημσον	Jenna Jameson
Σφηνοειδής γραφή	Keilschrift
Σωματίδιο Χιγκς	Higgs-Boson
Σερβία	Serbien
Σελήνη	Mond
Κωνσταντινούπολη	Istanbul
Αυστραλία	Australien
Μπομπ Μάρλεϊ	Bob Marley
Καρλ Σαγκάν	Carl Sagan
Βιοαστρονομία	Astrobiologie
Χρυσή Πλάκα του Πάιονηρ	Pioneer-Plakette
Φυσική	Physik
Αργεντινή	Argentinien
Τηλεπικοινωνίες	Telekommunikation
Περού	Peru
Βιολογία	Biologie
ΑΤΙΑ	UFO
Βόρεια Κορέα	Nordkorea
Καμπότζη	Kambodscha
Ζώνη του Κάιπερ	Kuipergürtel
Κοράνιο	Koran
Δεινόσαυροι	Dinosaurier
Ζωολογία	Zoologie
Ισλάμ	Islam
Αχλάδι	Birnen
Βιβλιοθήκη της Αλεξάνδρειας	Bibliothek von Alexandria
Λιουμπλιάνα	Ljubljana
Σαλβαδόρ Αγιέντε	Salvador Allende
Βοτανική	Botanik
Φυσική Ιστορία (Πλίνιος)	Naturalis historia
Λεχ Βαλέσα	Lech Wałęsa
Τροχός	Rad
Εγκυκλοπαίδεια ή Λεξικό αλφαβητικά ταξινομημένο των τεχνών και των επαγγελμάτων	Encyclopédie ou Dictionnaire raisonné des sciences, des arts et des métiers
Ντενί Ντιντερό	Denis Diderot
Μουντάνεουμ	Mundaneum
Ειρήνη	Frieden
Εγκυκλοπαίδεια Μπριτάνικα	Encyclopædia Britannica
Λυών	Lyon
Ευρωπαϊκή Ένωση	Europäische Union
Φιλιππούπολη	Plowdiw
Internet Archive	Internet Archive
Ο Πόλεμος των Άστρων	Star Wars
Βικιπαίδεια:DBpedia	DBpedia
Παγκόσμιος Ιστός	World Wide Web
Γυναίκα	Frau
Σόφια	Sofia
Υδραγωγείο	Aquädukt
Δον Κιχώτης	Don Quijote
Ποίηση	Poesie
Megaupload	Megaupload
Ιός υπολογιστή	Computervirus
Πυρηνικό ατύχημα του Τσερνόμπιλ	Nuklearkatastrophe von Tschernobyl
Ρίψη ατομικής βόμβας στη Χιροσίμα και το Ναγκασάκι	Atombombenabwürfe auf Hiroshima und Nagasaki
Μιλάνο	Mailand
Φιλία	Freundschaft
Μνήμη	Gedächtnis
Αρθούρος Ρεμπώ	Arthur Rimbaud
Τορίνο	Turin
Λεμόνι	Zitrone
Σαρλ Μπωντλαίρ	Charles Baudelaire
Σταντάλ	Stendhal
Εμίλ Ζολά	Émile Zola
666	666
Άνθος	Blüte
Γκούγκολ	Googol
Τάφρος των Μαριανών	Marianengraben
Βλαντίμιρ Βισότσκι	Wladimir Semjonowitsch Wyssozki
Έβερεστ	Mount Everest
Ανατομία	Anatomie
Πόλη	Stadt
Ναπολέων Α΄ της Γαλλίας	Napoleon Bonaparte
Όρος Όλυμπος (Άρης)	Olympus Mons
Φυσιολογία	Physiologie
Αστέρας	Stern
Βεζούβιος	Vesuv
Ήλιος	Sonne
Ουρανός	Himmel (planetär)
Λουί Παστέρ	Louis Pasteur
Έτος φωτός	Lichtjahr
Χωριό	Dorf
Βίκτωρ Ουγκώ	Victor Hugo
Ωκεανία	Ozeanien
Τζουζέπε Γκαριμπάλντι	Giuseppe Garibaldi
Ορβιέτο	Orvieto
Στίβος	Leichtathletik
Λογοκρισία	Zensur (Informationskontrolle)
Ηλιακό σύστημα	Sonnensystem
Βαλτική Θάλασσα	Ostsee
Τεργέστη	Triest
Βιστούλας	Weichsel
Ψάρι μονομάχος	Siamesischer Kampffisch
Λεωφόρος Ηλυσίων Πεδίων	Avenue des Champs-Élysées
Όντερ	Oder
Υδρογόνο	Wasserstoff
Πάττι Σμιθ	Patti Smith
Ήλιο	Helium
Κόλαση	Hölle
Wikimedia Commons	Wikimedia Commons
Καθαρτήριο	Fegefeuer
Άνγκελα Μέρκελ	Angela Merkel
Λίθιο	Lithium
Βηρύλλιο	Beryllium
Ηχείο	Lautsprecher
Βιβλίο	Buch
Ημέρα	Tag
Ανατολικό Τιμόρ	Osttimor
Έτος	Jahr
Αιώνας	Jahrhundert
Λοτζ	Łódź
Λευκό Όρος	Mont Blanc
Ρήνος	Rhein
Όσλο	Oslo
Βόννη	Bonn
Άγιοι Πάντες	Allerheiligen
Κατοβίτσε	Katowice
Μαύρη τρύπα	Schwarzes Loch
Λουίς δε Καμόες	Luís de Camões
Ομοφυλόφιλος	Gay
Δήμητρα (πλανήτης νάνος)	(1) Ceres
Λισαβόνα	Lissabon
Χαουμέια	(136108) Haumea
Ροδανός	Rhone
Μακεμάκε	(136472) Makemake
Άιονα	Iona (Schottland)
Έρις (πλανήτης νάνος)	(136199) Eris
Ντουμπάι	Dubai (Emirat)
Λιονέλ Μέσι	Lionel Messi
Πάντοβα	Padua
Βόριο	Bor
Νικόλαος Κοπέρνικος	Nikolaus Kopernikus
Βερσάιγ	Versailles
Λούντβιγκσμπουργκ	Ludwigsburg
Άνθρακας	Kohlenstoff
Αλεσσάντρο Ντελ Πιέρο	Alessandro Del Piero
Βόλγας	Wolga
Άζωτο	Stickstoff
Μπέργκαμο	Bergamo
Οξυγόνο	Sauerstoff
ΦΚ Ιντερνατσιονάλε Μιλάνο	Inter Mailand
Νηλ Γιανγκ	Neil Young
Πλανήτης	Planet
Κλεοπάτρα Ζ΄ της Αιγύπτου	Kleopatra VII.
Μουσική	Musik
Βενετία	Venedig
Naruto	Naruto (Manga)
Πάδος	Po (Fluss)
Σαρμ ελ Σέιχ	Scharm El-Scheich
Νέβας	Newa
Θερμόμετρο	Thermometer
Ρεν	Rennes
Λιλ	Lille
Μόσχα	Moskau
Φθόριο	Fluor
Ιταλική γλώσσα	Italienische Sprache
Τσιουάουα (σκύλος)	Chihuahua (Hunderasse)
Νέον	Neon
Τσιουάουα (πολιτεία)	Chihuahua (Bundesstaat)
Αγία Πετρούπολη	Sankt Petersburg
Τσαντ	Tschad
Νάτριο	Natrium
Βορράς	Norden
Μαγνήσιο	Magnesium
Neon Genesis Evangelion	Neon Genesis Evangelion
Αργίλιο	Aluminium
Νέα Ζηλανδία	Neuseeland
Νότος	Süden
Ινδία	Indien
Πυρίτιο	Silicium
Φράγκιο	Francium
Τουβαλού	Tuvalu
One Piece	One Piece
Φωσφόρος	Phosphor
Αντρέ Μαρί Αμπέρ	André-Marie Ampère
Σίδηρος	Eisen
Τόνγκα	Tonga
Δύση	Westen
Αλεσάντρο Βόλτα	Alessandro Volta
Θείο	Schwefel
Σαμόα	Samoa
Ανατολή	Osten
Νήσοι Σολομώντα	Salomonen
Βανουάτου	Vanuatu
Μολιέρος	Molière
Χλώριο	Chlor
Ντελφτ	Delft
Παπούα Νέα Γουινέα	Papua-Neuguinea
Ουίλλιαμ Σαίξπηρ	William Shakespeare
Παραμύθι	Fabel
Νότια Ολλανδία	Provinz Südholland
Παλάου	Palau
Αργό	Argon
Ναουρού	Nauru
Mozilla Firefox	Mozilla Firefox
Βόρεια Ολλανδία	Provinz Nordholland
Ομόσπονδες Πολιτείες της Μικρονησίας	Föderierte Staaten von Mikronesien
Κάλιο	Kalium
Ολιμπίκ Λυών	Olympique Lyon
Ζηλανδία (επαρχία)	Provinz Zeeland
Ασβέστιο	Calcium
Φλέβολαντ	Provinz Flevoland
Μόλυβδος	Blei
Νήσοι Μάρσαλ	Marshallinseln
Κιριμπάτι	Kiribati
Μογγολία	Mongolei
Φίτζι	Fidschi
Σκάνδιο	Scandium
Στίβι Γουόντερ	Stevie Wonder
Χαϊλμπρόν	Heilbronn
Τιτάνιο	Titan (Element)
Βενεζουέλα	Venezuela
Σκάκι	Schach
Τζένγκις Χαν	Dschingis Khan
Βανάδιο	Vanadium
Μέιν	Maine
Χρώμιο	Chrom
Άλογο	Hauspferd
Άμστερνταμ	Amsterdam
Όπλο	Waffe
Ζώο	Tier
Σουρινάμ	Suriname
Μαγγάνιο	Mangan
Παραγουάη	Paraguay
Γουιάνα	Guyana
Τέχνη	Kunst
Ισημερινός (χώρα)	Ecuador
Ρήνιο	Rhenium
Κροκ-μεσιέ	Croque
Κολομβία	Kolumbien
Κοβάλτιο	Cobalt
Ρακίνας	Jean Racine
Βολφράμιο	Wolfram
Νικέλιο	Nickel
Φράουλα	Erdbeeren
Πιερ Κορνέιγ	Pierre Corneille
Βουδισμός	Buddhismus
Χρόνινγκεν (πόλη)	Groningen
Βολιβία	Bolivien
Όσμιο	Osmium
Χρόνινγκεν (επαρχία)	Provinz Groningen
Χαλκός	Kupfer
Τρινιντάντ και Τομπάγκο	Trinidad und Tobago
Πολ Βερλαίν	Paul Verlaine
Φυτό	Pflanzen
Άγιος Βικέντιος και Γρεναδίνες	St. Vincent und die Grenadinen
Ψευδάργυρος	Zink
Νιου Χάμσαϊρ	New Hampshire
Αγία Λουκία	St. Lucia
Μπιάλιστοκ	Białystok
Λεονάρντο ντα Βίντσι	Leonardo da Vinci
Άγιος Χριστόφορος και Νέβις	St. Kitts und Nevis
Μύκητας	Pilze
Ντάριο Φο	Dario Fo
Τζαμάικα	Jamaika
Γρενάδα	Grenada
Φρίσλαντ	Provinz Friesland
Μασαχουσέτη	Massachusetts
Ντρέντε	Provinz Drente
Οφεράισσελ	Provinz Overijssel
Γουατεμάλα	Guatemala
Χέλντερλαντ	Provinz Gelderland
Ουτρέχτη (επαρχία)	Provinz Utrecht
Google Chrome	Google Chrome
Μπαχάμες	Bahamas
Κονέκτικατ	Connecticut
Όρνιθα	Haushuhn
Αντίγκουα και Μπαρμπούντα	Antigua und Barbuda
Χαβάη	Hawaii
Ονδούρα	Honduras
Δομινίκα	Dominica
Τζέρσεϊ	Jersey
Δομινικανή Δημοκρατία	Dominikanische Republik
Οικόσιτος χοίρος	Hausschwein
Αρκτικός Ωκεανός	Arktischer Ozean
Αϊτή	Haiti
Ελ Σαλβαδόρ	El Salvador
Ιράν	Iran
Βλακεία	Dummheit
Ιράκ	Irak
Αλάσκα	Alaska
Άσσεν	Assen
Σοφία	Weisheit
Κόστα Ρίκα	Costa Rica
Ισραήλ	Israel
Ουτρέχτη (πόλη)	Utrecht
Παναμάς	Panama
Υεμένη	Jemen
Ράντσταντ	Randstad
Λωζάνη	Lausanne
Ιός	Viren
Πολωνική γλώσσα	Polnische Sprache
Ιορδανία	Jordanien
Νικαράγουα	Nicaragua
Φλόριντα	Florida
Κιργιζία	Kirgisistan
Αριζόνα	Arizona
Κουβέιτ	Kuwait
Λάος	Laos
Λίβανος	Libanon
Όρεγκον	Oregon
Μαλδίβες	Malediven
Αμερική	Amerika
Γιούτα	Utah
Βους ο ταύρος	Hausrind
Μαλαισία	Malaysia
Μιχαήλ Μπουλγκάκοφ	Michail Afanassjewitsch Bulgakow
Μιανμάρ	Myanmar
Νεπάλ	Nepal
Αντρέι Ρουμπλιόφ	Andrei Rubljow (Ikonenmaler)
Ομάν	Oman
Πακιστάν	Pakistan
Τζέιμς Μποντ	James Bond
Κατάρ	Katar
Αντισφαίριση	Tennis
Φρανσουά Βιγιόν	François Villon
MySQL	MySQL
Σαουδική Αραβία	Saudi-Arabien
Αντρέι Ταρκόφσκι	Andrei Arsenjewitsch Tarkowski
Σρι Λάνκα	Sri Lanka
Ιωσήφ Στάλιν	Josef Stalin
Ραβδωτός κώδικας	Strichcode
Συρία	Syrien
Πλάτων	Platon
Γάλλιο	Gallium
Γιόζεφ Μπρόντσκι	Joseph Brodsky
Τατζικιστάν	Tadschikistan
Πόκεμον	Pokémon
Δημοκρατία της Κίνας	Republik China (Taiwan)
YouTube	YouTube
Γερμάνιο	Germanium
Αριστοτέλης	Aristoteles
Ταϊλάνδη	Thailand
Τρένο	Zug (Eisenbahn)
Αρσενικό (χημικό στοιχείο)	Arsen
Ραδιόφωνο	Hörfunk
Μέριλ Στριπ	Meryl Streep
Τουρκμενιστάν	Turkmenistan
Αμπακάν	Abakan (Stadt)
Σελήνιο	Selen
Ιρίδιο	Iridium
Ηνωμένα Αραβικά Εμιράτα	Vereinigte Arabische Emirate
Βρώμιο	Brom
Λευκόχρυσος	Platin
Βιετνάμ	Vietnam
Τσάρλι Τσάπλιν	Charlie Chaplin
Νοβοσιμπίρσκ	Nowosibirsk
Νότια Κορέα	Südkorea
Γιόζεφ Πιλσούντσκι	Józef Piłsudski
Οι Σίμσονς	Die Simpsons
Αικατερινούπολη	Jekaterinburg
Κρυπτό	Krypton
Αφγανιστάν	Afghanistan
Gangnam Style	Gangnam Style
Νίζνι Νόβγκοροντ	Nischni Nowgorod
Tζ. Ρ. Ρ. Τόλκιν	J. R. R. Tolkien
Λεμονάδα	Limonade
Σαμάρα (Ρωσία)	Samara
Ρουβίδιο	Rubidium
Χρυσός	Gold
Ομσκ	Omsk
Διώρυγα Σουέζ	Sueskanal
Καζάν	Kasan
Επιστήμονας	Wissenschaftler
Μπανγκλαντές	Bangladesch
Έρτα Άλε	Erta Ale
Bleach (μάνγκα)	Bleach (Manga)
Φραντς Κάφκα	Franz Kafka
Τσελιάμπινσκ	Tscheljabinsk
Ροστόφ επί του Ντον	Rostow am Don
Χόρχε Λουίς Μπόρχες	Jorge Luis Borges
Μάλι	Mali
Σωκράτης	Sokrates
Βόλγκογκραντ	Wolgograd
Ανγκόλα	Angola
Περμ	Perm (Stadt)
Μπουτάν	Bhutan
Twitter	Twitter
Κρασνογιάρσκ	Krasnojarsk
Μπρουνέι	Brunei
Μπρατς	Brač
Αλέξανδρος (όνομα)	Alexander
Τανζανία	Tansania
Υδράργυρος	Quecksilber
Ρόαλντ Αμούνδσεν	Roald Amundsen
Χάρι Μούλις	Harry Mulisch
Φιλιππίνες	Philippinen
Κεντροαφρικανική Δημοκρατία	Zentralafrikanische Republik
Κονσταντίν Μελνίκοφ	Konstantin Stepanowitsch Melnikow
Θάλλιο	Thallium
Νότιος Πόλος	Südpol
Βόρειος Πόλος	Nordpol
Ισαάκ Νεύτων	Isaac Newton
OpenStreetMap	OpenStreetMap
Άλμπερτ Αϊνστάιν	Albert Einstein
Στρόντιο	Strontium
Πέτρος Α΄ της Βραζιλίας	Peter I. (Brasilien)
Ναρκωτικό	Suchtstoff
Ύττριο	Yttrium
Βισμούθιο	Bismut
Κίτρινο	Gelb
Κβαντική μηχανική	Quantenmechanik
Τόγκο	Togo
Ντόναλντ Τουσκ	Donald Tusk
Τυνησία	Tunesien
Τζον Μπαρντίν	John Bardeen
Ζάμπια	Sambia
Ζιμπάμπουε	Simbabwe
Άαρντενμπουργκ	Aardenburg
Πεκίνο	Peking
Νότιο Σουδάν	Südsudan
Βλαδιβοστόκ	Wladiwostok
Δημοκρατία της Τιβά	Tuwa
Μπενίν	Benin
Μποτσουάνα	Botswana
Βικινέα	Wikinews
Μπουρκίνα Φάσο	Burkina Faso
Μπουρούντι	Burundi
Κομόρες	Komoren
Δημοκρατία του Κονγκό	Republik Kongo
Άλκμααρ	Alkmaar
Ποταμός Ομπ	Ob
Λαϊκή Δημοκρατία του Κονγκό	Demokratische Republik Kongo
Σαν Αντόνιο	San Antonio
Τομσκ	Tomsk
Τζιμπουτί	Dschibuti
Μιμίδιο	Mem
Πολώνιο	Polonium
Βαυαρία	Bayern
Ισημερινή Γουινέα	Äquatorialguinea
Βάδη-Βυρτεμβέργη	Baden-Württemberg
Ερυθραία	Eritrea
Νέο Δελχί	Neu-Delhi
Άλμελο	Almelo
Πάπας Ιωάννης Παύλος Β΄	Johannes Paul II.
Φιοντόρ Ντοστογιέφσκι	Fjodor Michailowitsch Dostojewski
Αμερσφόρτ	Amersfoort
Χερσόνησος Καμτσάτκα	Kamtschatka
Τιφλίδα	Tiflis
Αντρέι Ζαχάρωφ	Andrei Dmitrijewitsch Sacharow
Άστατο	Astat
Γκαμπόν	Gabun
Μαχάτμα Γκάντι	Mohandas Karamchand Gandhi
Αλληλεγγύη (συνδικάτο της Πολωνίας)	Solidarność
Κόμικς	Comic
Γκάμπια	Gambia
Γουινέα	Guinea
Γουινέα-Μπισσάου	Guinea-Bissau
Ακτή Ελεφαντοστού	Elfenbeinküste
Καμερούν	Kamerun
Μάριμπορ	Maribor
Πράσινο Ακρωτήριο	Kap Verde
Τσέλιε	Celje
Λεσότο	Lesotho
Λιβερία	Liberia
Κόπερ	Koper
Λιβύη	Libyen
Άαχεν	Aachen
Νόβα Γκόριτσα	Nova Gorica
Μαδαγασκάρη	Madagaskar
Μαλάουι	Malawi
Στουτγκάρδη	Stuttgart
Όρος Τρίγκλαβ	Triglav
Μαυριτανία	Mauretanien
Μαυρίκιος (κράτος)	Mauritius
Μαρόκο	Marokko
Μοζαμβίκη	Mosambik
Ναμίμπια	Namibia
Νίγηρας	Niger
Νιγηρία	Nigeria
Κάρολος Δαρβίνος	Charles Darwin
Ουγκάντα	Uganda
Ρουάντα	Ruanda
Ζιρκόνιο	Zirconium
Σάο Τομέ και Πρίνσιπε	São Tomé und Príncipe
Καρλσρούη	Karlsruhe
Σενεγάλη	Senegal
Σεϋχέλλες	Seychellen
Κάρολος Λινναίος	Carl von Linné
