Afrik	Afrika
Islamis	Islam
Lyoubyana	Ljubljana
Etid plant	Botanik
Rou	Rad
Lapè	Frieden
Lyon (vil)	Lyon
Inyon Ewopeyèn	Europäische Union
Philipp Ludwig von Seidel	Philipp Ludwig von Seidel
Fanm	Frau
Sofia	Sofia
Zanmi	Freundschaft
Anis (anatomi)	Anus
Sitron	Zitrone
666 (almanak jilyen)	666
Flè	Blüte
Vil	Stadt
Napoléon Bonaparte	Napoleon Bonaparte
Etwal	Stern
Solèy	Sonne
Syèl	Himmel (planetär)
Ane-limyè	Lichtjahr
Victor Hugo	Victor Hugo
Oseyani	Ozeanien
Atletis	Leichtathletik
Sistèm solè	Sonnensystem
Idwojèn	Wasserstoff
Elyòm	Helium
Lityòm	Lithium
Berilyòm	Beryllium
Liv (pou li)	Buch
Jou (Tan)	Tag
Timò oryantal	Osttimor
Nwit	Nacht
Lane	Jahr
Syèk	Jahrhundert
Oslo	Oslo
Twou nwa	Schwarzes Loch
Lisbòn	Lissabon
Ichiro Suzuki	Ichirō Suzuki (Baseballspieler)
Kabòn	Kohlenstoff
Azòt	Stickstoff
Oksijèn	Sauerstoff
Planèt	Planet
Mizik	Musik
Tèmomèt	Thermometer
Moskou	Moskau
Fliyò	Fluor
Neyon	Neon
Saint-Pétersbourg	Sankt Petersburg
Tchad	Tschad
Sodyòm	Natrium
Nò	Norden
Manyezyòm	Magnesium
Aliminyòm	Aluminium
Nouvèl Zelann	Neuseeland
Sid	Süden
End	Indien
Silisyòm	Silicium
Fransyòm	Francium
Touvalou	Tuvalu
Fosfò	Phosphor
André-Marie Ampère	André-Marie Ampère
Fè	Eisen
Tonga	Tonga
Lwès	Westen
Alessandro Volta	Alessandro Volta
Souf	Schwefel
Samoa	Samoa
Lès	Osten
Salomon	Salomonen
Vanwatou	Vanuatu
Molière	Molière
Klò	Chlor
Papwazi-Nouvèl-Gine	Papua-Neuguinea
William Shakespeare	William Shakespeare
Palao	Palau
Agon	Argon
Naorou	Nauru
Mikwonezi (peyi)	Föderierte Staaten von Mikronesien
Potasyòm	Kalium
Kalsyòm	Calcium
Plon	Blei
Machal	Marshallinseln
Kiribès	Kiribati
Mongoli	Mongolei
Fidji	Fidschi
Skandyòm	Scandium
Titàn	Titan (Element)
Venezwela	Venezuela
Echèk	Schach
Vanadyòm	Vanadium
Mèn	Maine
Kwòm	Chrom
Cheval	Hauspferd
Amstèdam	Amsterdam
Zam	Waffe
Zannimo	Tier
Sirinam	Suriname
Manganèz	Mangan
Paragwe	Paraguay
Giyàn	Guyana
La (aktivite)	Kunst
Ekwatè (peyi)	Ecuador
Kolonbi	Kolumbien
Nikèl	Nickel
Frèz	Erdbeeren
Boudis	Buddhismus
Bolivi	Bolivien
Kwiv	Kupfer
Trinidad ak Tobago	Trinidad und Tobago
Plant	Pflanzen
Sen Vensan ak Grenadin	St. Vincent und die Grenadinen
Zenk	Zink
Nou Anpchi	New Hampshire
Sent Lisi	St. Lucia
Leonardo da Vinci	Leonardo da Vinci
Sen Kits ak Nevi	St. Kitts und Nevis
Chanpiyon	Pilze
Jamayik	Jamaika
Grenad	Grenada
Masachosèt	Massachusetts
Gwatemala	Guatemala
Google chrome	Google Chrome
Bahamas	Bahamas
Konèktikòt	Connecticut
Antigwa ak Babouda	Antigua und Barbuda
Awayi	Hawaii
Ondiras	Honduras
Dominik	Dominica
Dominikani	Dominikanische Republik
Kochon	Hausschwein
Aktik	Arktischer Ozean
Ayiti	Haiti
Salvadò	El Salvador
Iran	Iran
Irak	Irak
Alaska	Alaska
Kostarika	Costa Rica
Izrayèl	Israel
Panama (peyi)	Panama
Yemèn	Jemen
Viris	Viren
Jòdani	Jordanien
Nikaragwa	Nicaragua
Florid	Florida
Kirgistan	Kirgisistan
Arizona	Arizona
Kowet	Kuwait
Laos	Laos
Liban	Libanon
Oregon	Oregon
Maldiv	Malediven
Amerik	Amerika
Youta	Utah
Malezi	Malaysia
Bimani	Myanmar
Nepal	Nepal
Omàn	Oman
Pakistan	Pakistan
Katar	Katar
Tenis	Tennis
Arabi Sawoudit	Saudi-Arabien
Srilanka	Sri Lanka
Siri	Syrien
Platon	Platon
Galyòm	Gallium
Tadjikistan	Tadschikistan
Jèmanyòm	Germanium
Aristotle	Aristoteles
Tayilann	Thailand
Asenik	Arsen
Tirkmenistan	Turkmenistan
Selenyòm	Selen
Iridyòm	Iridium
Emira Arab Ini	Vereinigte Arabische Emirate
Bwòm	Brom
Platin	Platin
Vyetnam	Vietnam
Charlie Chaplin (aktè)	Charlie Chaplin
Kore disid	Südkorea
Les Simpson	Die Simpsons
Kripton	Krypton
Afganistan	Afghanistan
Lò	Gold
Bangladèch	Bangladesch
Mali	Mali
Angola	Angola
Boutan	Bhutan
Brouney	Brunei
Tanzani	Tansania
Mèki (eleman chimik)	Quecksilber
Filipin	Philippinen
Repiblik santafrik	Zentralafrikanische Republik
Talyòm	Thallium
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estwontyòm	Strontium
Nakotik	Suchtstoff
Bismit	Bismut
Jòn	Gelb
Togo	Togo
Donald Tusk	Donald Tusk
Tinizi	Tunesien
John Bardeen	John Bardeen
Zanbi	Sambia
Zimbabwe	Simbabwe
Peken	Peking
Benen	Benin
Botswana	Botswana
Boukinafaso	Burkina Faso
Bouroundi	Burundi
Komò	Komoren
Kongo (Brazavil)	Republik Kongo
Kongo (Kinchasa)	Demokratische Republik Kongo
San Antonio (Teksas)	San Antonio
Djibouti (peyi)	Dschibuti
Polonyòm	Polonium
Gine ekwateryal	Äquatorialguinea
Eritre	Eritrea
Niou Deli	Neu-Delhi
Tbilisi	Tiflis
Andrei Dmitrievich Sakharov	Andrei Dmitrijewitsch Sacharow
Gabon	Gabun
Mohandas Karamchand Gandhi	Mohandas Karamchand Gandhi
Ganbi	Gambia
Gine	Guinea
Gine-Bisao	Guinea-Bissau
Kòt divwa	Elfenbeinküste
Kamewoun	Kamerun
Kap Vè	Kap Verde
Lezoto	Lesotho
Liberya	Liberia
Libi	Libyen
Madagaskar	Madagaskar
Malawi	Malawi
Moritani	Mauretanien
Moris	Mauritius
Mawòk	Marokko
Mozanbik	Mosambik
Namibi	Namibia
Nijè	Niger
Nijerya	Nigeria
Ouganda	Uganda
Rwanda	Ruanda
Zikonyòm	Zirconium
Sen Tome ak Pwènsip	São Tomé und Príncipe
Senegal	Senegal
Sechèl	Seychellen
Syera Leòn	Sierra Leone
Somali	Somalia
Nyobyòm	Niob
Julius Caesar	Gaius Iulius Caesar
Soudan	Sudan
Swazilann	Swasiland
Lakansyèl	Regenbogen
Tèknesyòm	Technetium
Metabolis	Stoffwechsel
Evolisyon	Evolution
Aleksand Manzoni	Alessandro Manzoni
ONI	Vereinte Nationen
Jewoloji	Geologie
Jewografi	Geographie
Kè	Herz
Sèvo	Gehirn
Po	Haut
Koulè	Farbe
Prag	Prag
Rodyòm	Rhodium
Ble (koulè)	Blau
Paladyòm	Palladium
Ajan (metal)	Silber
Kadmyòm	Cadmium
Endyòm	Indium
Eten	Zinn
Iranyòm	Uran
Antimwàn	Antimon
Plitonyòm	Plutonium
Yòd	Iod
Neptinyòm	Neptunium
Sezyòm	Caesium
Baryòm	Barium
Toryòm	Thorium
Aktiniòm	Actinium
Tantal	Tantal
Radyòm	Radium
Radon	Radon
Alzas	Elsass
Michigàn	Michigan
Pòtoriko	Puerto Rico
Usain Bolt	Usain Bolt
Ilinwa	Illinois
Dakota dinò	North Dakota
Dakota disid	South Dakota
Montana	Montana
Wayoming	Wyoming
Aydawo	Idaho
Wachintòn (eta)	Washington (Staat)
Nevada	Nevada
Endyen	Indischer Ozean
Bòryòm	Bohrium
Asyòm	Hassium
Kolorado	Colorado
Jam	Konfitüre
Kategori:Rasin	Kategorie:!Hauptkategorie
Blaise Pascal	Blaise Pascal
Chikago	Chicago
The Beatles	The Beatles
Livè	Winter
Prentan	Frühling
Lete	Sommer
Lotòn	Herbst
Ekinòks otòn	Äquinoktium
Panyòl	Spanische Sprache
Montevideo	Montevideo
Pittsburgh, Pennsilvani	Pittsburgh
Philadelphia, Pennsilvani	Philadelphia
Daka	Dhaka
Areye	Webspinnen
Atwopòd	Gliederfüßer
Islamabad	Islamabad
Fwi	Frucht
Lajan	Geld
Vijini	Virginia
Vijini de Lwès	West Virginia
Nou Yòk (eta)	New York (Bundesstaat)
Seryòm	Cer
Rod Aylann	Rhode Island
Neyodim	Neodym
Ensèk	Insekten
Merilann	Maryland
Delawè	Delaware
Lenine	Wladimir Iljitsch Lenin
Ewòpyòm	Europium
Owayo (eta)	Ohio
Pènsilvani	Pennsylvania
Uetersen	Uetersen
Nou Jèze	New Jersey
Indiana	Indiana
Machin	Automobil
Djòdji	Georgia
Zagreb	Zagreb
Teksas	Texas
Karolin dinò	North Carolina
Karolin disid	South Carolina
Manyl	Manila
Bwènozè	Buenos Aires
Meksiko	Mexiko-Stadt
Tokyo	Präfektur Tokio
La Paz	La Paz
Zannanna	Ananas
Misisipi (eta)	Mississippi (Staat)
Misisipi (rivyè)	Mississippi River
Tenèsi	Tennessee
Abou Dabi	Abu Dhabi
Astana	Astana
Nou Meksiko	New Mexico
Atèn	Athen
Minesota	Minnesota
Bagdad	Bagdad
Karakas	Caracas
Wiskonnsenn	Wisconsin
Ayowa	Iowa
Nebraska	Nebraska
Siwdad	Guatemala-Stadt
Kènsas	Kansas
La Avàn	Havanna
Misouri (eta)	Missouri
Georg Ohm	Georg Simon Ohm
Lwiziana	Louisiana
Luigi Galvani	Luigi Galvani
Kèntòki	Kentucky
Akennsas (eta)	Arkansas
Neil Armstrong	Neil Armstrong
Oklawoma	Oklahoma
Volebòl	Volleyball
Vyèn	Wien
Kopènag	Kopenhagen
Stokolm	Stockholm
Èlzinki	Helsinki
Diblin	Dublin
Rèkyavik	Reykjavík
Talin	Tallinn
Riga	Riga
Bratislava	Bratislava
Boudapès	Budapest
Gdańsk	Danzig
Frankfurt	Frankfurt am Main
Lantàn	Lanthan
Samaryòm	Samarium
Gadolinyòm	Gadolinium
Liksanbou (kapital)	Luxemburg (Stadt)
Vadouz	Vaduz
Bib	Bibel
Sen Maren (kapital)	Stadt San Marino
Phnom Penh	Phnom Penh
Hô-Chi-Minh-Vil	Ho-Chi-Minh-Stadt
Litesyòm	Lutetium
Anòy	Hanoi
Legliz de Vre Jezi	Wahre Jesus-Kirche
Angle	Englische Sprache
Bangkok	Bangkok
Andò-la-Vyèy	Andorra la Vella
Kouala Loumpou	Kuala Lumpur
Taypè	Taipeh
Amerisyòm	Americium
Dong Hoi	Đồng Hới
Concepción, Chili	Concepción (Chile)
Bèkelyòm	Berkelium
Kalifònyòm	Californium
Achtaynyòm	Einsteinium
Fèmyòm	Fermium
Kyèv	Kiew
Nobèlyòm	Nobelium
Otawa	Ottawa
Erevàn	Jerewan
Końskowola	Końskowola
Kartoum	Khartum
2000 (almanak gregoryen)	2000
2003 (almanak gregoryen)	2003
2002 (almanak gregoryen)	2002
2001 (almanak gregoryen)	2001
2012 (almanak gregoryen)	2012
2011 (almanak gregoryen)	2011
2010 (almanak gregoryen)	2010
2009 (almanak gregoryen)	2009
Dyoksid kabòn	Kohlenstoffdioxid
2008 (almanak gregoryen)	2008
2004 (almanak gregoryen)	2004
2005 (almanak gregoryen)	2005
Dragon Ball	Dragon Ball
2006 (almanak gregoryen)	2006
2007 (almanak gregoryen)	2007
Monoksid kabòn	Kohlenstoffmonoxid
1900 (almanak gregoryen)	1900
1901 (almanak gregoryen)	1901
1902 (almanak gregoryen)	1902
1903 (almanak gregoryen)	1903
1904 (almanak gregoryen)	1904
1905 (almanak gregoryen)	1905
1907 (almanak gregoryen)	1907
1906 (almanak gregoryen)	1906
1908 (almanak gregoryen)	1908
1909 (almanak gregoryen)	1909
1992 (almanak gregoryen)	1992
1991 (almanak gregoryen)	1991
1990 (almanak gregoryen)	1990
1993 (almanak gregoryen)	1993
1994 (almanak gregoryen)	1994
1995 (almanak gregoryen)	1995
1996 (almanak gregoryen)	1996
1910 (almanak gregoryen)	1910
1911 (almanak gregoryen)	1911
1912 (almanak gregoryen)	1912
1913 (almanak gregoryen)	1913
1914 (almanak gregoryen)	1914
1915 (almanak gregoryen)	1915
1916 (almanak gregoryen)	1916
1997 (almanak gregoryen)	1997
1998 (almanak gregoryen)	1998
1999 (almanak gregoryen)	1999
1917 (almanak gregoryen)	1917
1918 (almanak gregoryen)	1918
Koulèv	Schlangen
1e janvye	1. Januar
2 janvye	2. Januar
1920 (almanak gregoryen)	1920
3 janvye	3. Januar
1919 (almanak gregoryen)	1919
1921 (almanak gregoryen)	1921
1922 (almanak gregoryen)	1922
4 janvye	4. Januar
1923 (almanak gregoryen)	1923
1924 (almanak gregoryen)	1924
5 janvye	5. Januar
Arica	Arica
6 janvye	6. Januar
Elektwon	Elektron
7 janvye	7. Januar
8 janvye	8. Januar
9 janvye	9. Januar
10 janvye	10. Januar
11 janvye	11. Januar
12 janvye	12. Januar
13 janvye	13. Januar
14 janvye	14. Januar
15 janvye	15. Januar
16 janvye	16. Januar
17 janvye	17. Januar
18 janvye	18. Januar
19 janvye	19. Januar
20 janvye	20. Januar
21 janvye	21. Januar
22 janvye	22. Januar
23 janvye	23. Januar
24 janvye	24. Januar
25 janvye	25. Januar
Minsk	Minsk
26 janvye	26. Januar
Microsoft	Microsoft
27 janvye	27. Januar
28 janvye	28. Januar
29 janvye	29. Januar
30 janvye	30. Januar
31 janvye	31. Januar
Pwoton	Proton
2 desanm	2. Dezember
1e desanm	1. Dezember
3 desanm	3. Dezember
7 desanm	7. Dezember
5 desanm	5. Dezember
8 desanm	8. Dezember
10 desanm	10. Dezember
6 desanm	6. Dezember
9 desanm	9. Dezember
4 desanm	4. Dezember
1e fevriye	1. Februar
2 fevriye	2. Februar
3 fevriye	3. Februar
Kurów (vil)	Kurów
4 fevriye	4. Februar
5 fevriye	5. Februar
6 fevriye	6. Februar
7 fevriye	7. Februar
8 fevriye	8. Februar
9 fevriye	9. Februar
10 fevriye	10. Februar
Chimi	Chemie
14 fevriye	14. Februar
13 fevriye	13. Februar
15 fevriye	15. Februar
11 fevriye	11. Februar
12 fevriye	12. Februar
19 fevriye	19. Februar
17 fevriye	17. Februar
16 fevriye	16. Februar
18 fevriye	18. Februar
20 fevriye	20. Februar
Netwon	Neutron
21 fevriye	21. Februar
22 fevriye	22. Februar
23 fevriye	23. Februar
24 fevriye	24. Februar
25 fevriye	25. Februar
26 fevriye	26. Februar
27 (almanak jilyen)	27
27 fevriye	27. Februar
28 fevriye	28. Februar
11 desanm	11. Dezember
29 fevriye	29. Februar
12 desanm	12. Dezember
13 desanm	13. Dezember
14 desanm	14. Dezember
15 desanm	15. Dezember
2 mas	2. März
3 mas	3. März
5 mas	5. März
1e mas	1. März
7 mas	7. März
8 mas	8. März
4 mas	4. März
10 mas	10. März
11 mas	11. März
6 mas	6. März
13 mas	13. März
9 mas	9. März
12 mas	12. März
15 mas	15. März
14 mas	14. März
16 desanm	16. Dezember
17 desanm	17. Dezember
16 mas	16. März
17 mas	17. März
18 mas	18. März
19 mas	19. März
1989 (almanak gregoryen)	1989
1988 (almanak gregoryen)	1988
20 mas	20. März
1987 (almanak gregoryen)	1987
1986 (almanak gregoryen)	1986
1985 (almanak gregoryen)	1985
1984 (almanak gregoryen)	1984
21 mas	21. März
1983 (almanak gregoryen)	1983
22 mas	22. März
1982 (almanak gregoryen)	1982
1981 (almanak gregoryen)	1981
18 desanm	18. Dezember
1980 (almanak gregoryen)	1980
23 mas	23. März
Moukdicho	Mogadischu
19 desanm	19. Dezember
24 mas	24. März
25 mas	25. März
20 desanm	20. Dezember
26 mas	26. März
27 mas	27. März
28 mas	28. März
29 mas	29. März
30 mas	30. März
31 mas	31. März
Naso	Nassau (Bahamas)
Sanaa	Sanaa
1970 (almanak gregoryen)	1970
1971 (almanak gregoryen)	1971
1972 (almanak gregoryen)	1972
1973 (almanak gregoryen)	1973
1974 (almanak gregoryen)	1974
1975 (almanak gregoryen)	1975
1976 (almanak gregoryen)	1976
1977 (almanak gregoryen)	1977
1978 (almanak gregoryen)	1978
1979 (almanak gregoryen)	1979
1969 (almanak gregoryen)	1969
Tarawa	Tarawa
Benwa XVI	Benedikt XVI.
15 avril	15. April
13 avril	13. April
12 avril	12. April
14 avril	14. April
11 avril	11. April
10 avril	10. April
8 avril	8. April
9 avril	9. April
7 avril	7. April
6 avril	6. April
5 avril	5. April
4 avril	4. April
3 avril	3. April
1e avril	1. April
2 avril	2. April
16 avril	16. April
17 avril	17. April
18 avril	18. April
19 avril	19. April
20 avril	20. April
21 avril	21. April
22 avril	22. April
23 avril	23. April
24 avril	24. April
25 avril	25. April
26 avril	26. April
27 avril	27. April
28 avril	28. April
29 avril	29. April
30 avril	30. April
Satelit	Satellit (Astronomie)
1e me	1. Mai
2 me	2. Mai
3 me	3. Mai
4 me	4. Mai
5 me	5. Mai
6 me	6. Mai
7 me	7. Mai
8 me	8. Mai
9 me	9. Mai
10 me	10. Mai
11 me	11. Mai
12 me	12. Mai
13 me	13. Mai
14 me	14. Mai
15 me	15. Mai
16 me	16. Mai
17 me	17. Mai
18 me	18. Mai
19 me	19. Mai
20 me	20. Mai
21 me	21. Mai
22 me	22. Mai
23 me	23. Mai
24 me	24. Mai
25 me	25. Mai
26 me	26. Mai
27 me	27. Mai
28 me	28. Mai
29 me	29. Mai
30 me	30. Mai
31 me	31. Mai
21 desanm	21. Dezember
14 jen	14. Juni
15 jen	15. Juni
13 jen	13. Juni
10 jen	10. Juni
7 jen	7. Juni
11 jen	11. Juni
9 jen	9. Juni
12 jen	12. Juni
6 jen	6. Juni
8 jen	8. Juni
5 jen	5. Juni
3 jen	3. Juni
2 jen	2. Juni
1e jen	1. Juni
4 jen	4. Juni
22 desanm	22. Dezember
1968 (almanak gregoryen)	1968
1967 (almanak gregoryen)	1967
1966 (almanak gregoryen)	1966
1965 (almanak gregoryen)	1965
1964 (almanak gregoryen)	1964
16 jen	16. Juni
30 jen	30. Juni
29 jen	29. Juni
28 jen	28. Juni
26 jen	26. Juni
25 jen	25. Juni
22 jen	22. Juni
27 jen	27. Juni
24 jen	24. Juni
20 jen	20. Juni
23 jen	23. Juni
19 jen	19. Juni
18 jen	18. Juni
21 jen	21. Juni
17 jen	17. Juni
23 desanm	23. Dezember
15 jiyè	15. Juli
13 jiyè	13. Juli
12 jiyè	12. Juli
10 jiyè	10. Juli
9 jiyè	9. Juli
14 jiyè	14. Juli
8 jiyè	8. Juli
7 jiyè	7. Juli
6 jiyè	6. Juli
5 jiyè	5. Juli
2 jiyè	2. Juli
4 jiyè	4. Juli
3 jiyè	3. Juli
1e jiyè	1. Juli
11 jiyè	11. Juli
24 desanm	24. Dezember
31 jiyè	31. Juli
30 jiyè	30. Juli
29 jiyè	29. Juli
28 jiyè	28. Juli
27 jiyè	27. Juli
25 jiyè	25. Juli
24 jiyè	24. Juli
23 jiyè	23. Juli
26 jiyè	26. Juli
22 jiyè	22. Juli
19 jiyè	19. Juli
21 jiyè	21. Juli
20 jiyè	20. Juli
17 jiyè	17. Juli
18 jiyè	18. Juli
16 jiyè	16. Juli
Foutbòl	Fußball
25 desanm	25. Dezember
1963 (almanak gregoryen)	1963
Lech Kaczynski	Lech Kaczyński
26 desanm	26. Dezember
1962 (almanak gregoryen)	1962
14 out	14. August
15 out	15. August
13 out	13. August
12 out	12. August
11 out	11. August
10 out	10. August
8 out	8. August
7 out	7. August
9 out	9. August
5 out	5. August
4 out	4. August
2 out	2. August
3 out	3. August
6 out	6. August
1e out	1. August
27 desanm	27. Dezember
Madrid	Madrid
16 out	16. August
29 out	29. August
28 out	28. August
30 out	30. August
25 out	25. August
26 out	26. August
23 out	23. August
27 out	27. August
21 out	21. August
20 out	20. August
24 out	24. August
18 out	18. August
17 out	17. August
22 out	22. August
19 out	19. August
31 out	31. August
Michael Jackson	Michael Jackson
28 desanm	28. Dezember
Bogota	Bogotá
Brazilia	Brasília
15 septanm	15. September
14 septanm	14. September
13 septanm	13. September
12 septanm	12. September
8 septanm	8. September
11 septanm	11. September
7 septanm	7. September
10 septanm	10. September
5 septanm	5. September
4 septanm	4. September
9 septanm	9. September
2 septanm	2. September
6 septanm	6. September
1e septanm	1. September
3 septanm	3. September
29 desanm	29. Dezember
Lima	Lima
30 septanm	30. September
29 septanm	29. September
28 septanm	28. September
27 septanm	27. September
26 septanm	26. September
25 septanm	25. September
Santyago	Santiago de Chile
23 septanm	23. September
22 septanm	22. September
24 septanm	24. September
21 septanm	21. September
20 septanm	20. September
18 septanm	18. September
17 septanm	17. September
19 septanm	19. September
16 septanm	16. September
Kito	Quito
30 desanm	30. Dezember
Sik	Sucre
31 desanm	31. Dezember
1e oktòb	1. Oktober
15 oktòb	15. Oktober
12 oktòb	12. Oktober
10 oktòb	10. Oktober
14 oktòb	14. Oktober
9 oktòb	9. Oktober
8 oktòb	8. Oktober
13 oktòb	13. Oktober
7 oktòb	7. Oktober
11 oktòb	11. Oktober
6 oktòb	6. Oktober
4 oktòb	4. Oktober
5 oktòb	5. Oktober
3 oktòb	3. Oktober
2 oktòb	2. Oktober
Asounsyòn	Asunción
Kabrit	Hausziege
Tibèf	Kalb
31 oktòb	31. Oktober
30 oktòb	30. Oktober
29 oktòb	29. Oktober
28 oktòb	28. Oktober
26 oktòb	26. Oktober
25 oktòb	25. Oktober
24 oktòb	24. Oktober
27 oktòb	27. Oktober
22 oktòb	22. Oktober
23 oktòb	23. Oktober
20 oktòb	20. Oktober
21 oktòb	21. Oktober
19 oktòb	19. Oktober
17 oktòb	17. Oktober
16 oktòb	16. Oktober
18 oktòb	18. Oktober
15 novanm	15. November
14 novanm	14. November
13 novanm	13. November
12 novanm	12. November
11 novanm	11. November
10 novanm	10. November
7 novanm	7. November
8 novanm	8. November
9 novanm	9. November
6 novanm	6. November
5 novanm	5. November
4 novanm	4. November
3 novanm	3. November
2 novanm	2. November
1e novanm	1. November
Paramaribo	Paramaribo
Gason	Junge
30 novanm	30. November
29 novanm	29. November
28 novanm	28. November
27 novanm	27. November
26 novanm	26. November
25 novanm	25. November
23 novanm	23. November
24 novanm	24. November
21 novanm	21. November
20 novanm	20. November
22 novanm	22. November
19 novanm	19. November
18 novanm	18. November
17 novanm	17. November
16 novanm	16. November
Tifi	Mädchen
Katmandou	Kathmandu
Bèlmopan	Belmopan
San Jozé	San José (Costa Rica)
San Salvadò	San Salvador
Kanbera	Canberra
Vèt	Grün
Rouj	Rot
Dife	Feuer
Foton	Photon
Pozitwon	Positron
Tegousigoualpa	Tegucigalpa
Managoua	Managua
Panama (kapital)	Panama-Stadt
Titanya	Titania (Mond)
Oberon	Oberon (Mond)
Enbryèl	Umbriel
Aryèl	Ariel (Mond)
Miranda	Miranda (Mond)
Triton	Triton (Mond)
Raba	Rabat
Komèt	Komet
Alje	Algier
Tinis	Tunis
Tripoli	Tripolis
