Աֆրիկա	Afrika
Չորս	Vier
Հինգ	Fünf
Անսահմանություն	Unendlichkeit
Ջորջ Ու. Բուշ	George W. Bush
Ուղղանկյուն	Rechteck
Ուղիղ անկյուն	Rechter Winkel
Լատվիա	Lettland
Ուկրաինա	Ukraine
Չեխիա	Tschechien
Սլովակիա	Slowakei
Սլովենիա	Slowenien
Վիլնյուս	Vilnius
Մոլդովա	Moldawien
Ռումինիա	Rumänien
Բուլղարիա	Bulgarien
Հռոմ	Rom
Մակեդոնիա	Mazedonien
Ալբանիա	Albanien
Գրենլանդիա	Grönland
Խորվաթիա	Kroatien
Բոսնիա և Հերցեգովինա	Bosnien und Herzegowina
Նուուկ	Nuuk
Ադրբեջանական Հանրապետություն	Aserbaidschan
Անդորրա	Andorra
Կիպրոս	Republik Zypern
Վրաստան	Georgien
Վալոնիա	Wallonische Region
Ղազախստան	Kasachstan
Մալթա	Malta
Ֆլանդրիա (պատմական մարզ)	Flandern
Մոնակո	Monaco
Չեռնոգորիա	Montenegro
Վատիկան	Vatikanstadt
Սան Մարինո	San Marino
Բրյուսել	Stadt Brüssel
Բրյուսելի մայրաքաղաքային տարածաշրջան	Region Brüssel-Hauptstadt
Կուբա	Kuba
Բելիզ	Belize
Էյֆելյան աշտարակ	Eiffelturm
Բարբադոս	Barbados
Volkswagen	Volkswagen
Ինտել	Intel
Ջավա (ծրագրավորման լեզու)	Java (Programmiersprache)
Ինդոնեզիա	Indonesien
Վոլֆգանգ Ամադեուս Մոցարտ	Wolfgang Amadeus Mozart
Լյուդվիգ վան Բեթհովեն	Ludwig van Beethoven
Թուրքերեն	Türkische Sprache
Հարավաֆրիկյան Հանրապետություն	Südafrika
Ժան Ֆրանսուա Շամպոլյոն	Jean-François Champollion
Linkin Park	Linkin Park
Ալժիր	Algerien
Վիքիդարան	Wikisource
Ուզբեկստան	Usbekistan
Տաշքենդ	Taschkent
Վարշավա	Warschau
Եվրատեսիլ երգի մրցույթ	Eurovision Song Contest
Վիսկի	Whisky
Գինի	Wein
Ջուր	Wasser
Կոնյակ	Cognac (Branntwein)
Կոնյակ (քաղաք)	Cognac
Կաշի	Leder
Փայտ	Holz
Հեռուստատեսային կենտրոն	Fernsehen
Պոռնոգրաֆիա	Pornografie
Իսլանդերեն	Isländische Sprache
Կլոդ Մոնե	Claude Monet
Դիեգո Վելասկես	Diego Rodríguez de Silva y Velázquez
Չիլի	Chile
Էլ Գրեկո	El Greco
Հիսուս	Jesus Christus
Էլվիս Փրեսլի	Elvis Presley
Մարմնական պատիժներ	Körperstrafe
Գալիլեո Գալիլեյ	Galileo Galilei
Մերկուրի (մոլորակ)	Merkur (Planet)
Պատմություն	Geschichte
Պեր Լաշեզ	Père Lachaise
Էփլ	Apple
Վեներա (մոլորակ)	Venus (Planet)
Լեզու	Sprache
Սեր	Liebe
Գալակտիկաներ	Galaxie
Յուպիտեր (մոլորակ)	Jupiter (Planet)
Ծիր Կաթին	Milchstraße
Մեծ Պայթյուն	Urknall
Ուրան (մոլորակ)	Uranus (Planet)
Անգլերեն Վիքիպեդիա	Englischsprachige Wikipedia
Նիկոլա Սարկոզի	Nicolas Sarkozy
Նեպտուն	Neptun (Planet)
Աստղագիտություն	Astronomie
Սինգապուր	Singapur
Գիտություն	Wissenschaft
Պլուտոն	Pluto
Մոնրեալ	Montreal
Ազատ ծրագրային ապահովում	Freie Software
Մարիամ Աստվածածին	Maria (Mutter Jesu)
Լուի Սուրբ	Ludwig IX. (Frankreich)
Լիխտենշտայն	Liechtenstein
Սպորտ	Sport
Քեմբրիջ	Cambridge
Ելոուսթոուն (ազգային այգի)	Yellowstone-Nationalpark
Ադոլֆ Հիտլեր	Adolf Hitler
Ֆեյսբուք	Facebook
Google+	Google+
ՎիքիԼիքս	WikiLeaks
Ջուլիան Ասանժ	Julian Assange
Առաջին համաշխարհային պատերազմ	Erster Weltkrieg
Երկրորդ համաշխարհային պատերազմ	Zweiter Weltkrieg
Քյոլն	Köln
Կաշառակերություն	Korruption
Վիքիգրքեր	Wikibooks
Վիքիքաղվածք	Wikiquote
Վիքիլսարան	Wikiversity
Օղի	Wodka
Վաֆլի	Waffel
Յանկա Կուպալա	Janka Kupala
Ուբունտու	Ubuntu
Սկոպյե	Skopje
Գդինյա	Gdynia
Լինուքս	Linux
Բոբ Դիլան	Bob Dylan
Չափագիտություն	Metrologie
Մաթեմատիկա	Mathematik
Լատիներեն	Latein
Բահրեյն	Bahrain
Հայաստան	Armenien
Սեպագիր	Keilschrift
Հիգսի բոզոն	Higgs-Boson
Սերբիա	Serbien
Լուսին	Mond
Ստամբուլ	Istanbul
Ավստրալիա	Australien
Բոբ Մառլի	Bob Marley
Կարլ Սագան	Carl Sagan
Աստղակենսաբանություն	Astrobiologie
Ֆիզիկա	Physik
Արգենտինա	Argentinien
Կապի համակարգ	Telekommunikation
Պերու	Peru
Կենսաբանություն	Biologie
Չբացահայտված թռչող օբյեկտ	UFO
Կորեայի Ժողովրդա-Դեմոկրատական Հանրապետություն	Nordkorea
Կամբոջա	Kambodscha
Կոյպերի գոտի	Kuipergürtel
Ղուրան	Koran
Դինոզավրեր	Dinosaurier
Կենդանաբանություն	Zoologie
Իսլամ	Islam
Տանձենի	Birnen
Ալեքսանդրիայի գրադարան	Bibliothek von Alexandria
Լյուբլյանա	Ljubljana
Բուսաբանություն	Botanik
Անիվ	Rad
Դենի Դիդրո	Denis Diderot
Ռահու (գյուղ, Վալյալա շրջան)	Frieden
Բրիտանիկա հանրագիտարան	Encyclopædia Britannica
Լիոն	Lyon
Եվրոպական Միություն	Europäische Union
Պլովդիվ	Plowdiw
Աստղային պատերազմներ	Star Wars
Ռոն-Ալպ	Rhône-Alpes
Համաշխարհային սարդոստայն	World Wide Web
Կին	Frau
Սոֆիա	Sofia
Ջրանցույց	Aquädukt
Դոն Քիշոտ (վեպ)	Don Quijote
.xxx	.xxx
Չափածո	Poesie
Ծուլություն	Faulheit
Համակարգչային վիրուս	Computervirus
Չեռնոբիլի ատոմակայանի վթար	Nuklearkatastrophe von Tschernobyl
Հիրոսիմայի և Նագասակիի ատոմային ռմբակոծումներ	Atombombenabwürfe auf Hiroshima und Nagasaki
Միլան	Mailand
Ընկերություն	Freundschaft
Հիշողություն	Gedächtnis
Արթյուր Ռեմբո	Arthur Rimbaud
Թուրին	Turin
Կիտրոն	Zitrone
Շառլ Բոդլեր	Charles Baudelaire
Ստենդալ	Stendhal
Էմիլ Զոլա	Émile Zola
666	666
Ծաղիկ	Blüte
Գուգոլ	Googol
Մարիանյան իջվածք	Marianengraben
Վլադիմիր Վիսոցկի	Wladimir Semjonowitsch Wyssozki
Էվերեստ	Mount Everest
Անատոմիա	Anatomie
Նապոլեոն Բոնապարտ	Napoleon Bonaparte
Օլիմպոս (Մարս)	Olympus Mons
Ֆիզիոլոգիա	Physiologie
Աստղ	Stern
Վեզուվ	Vesuv
Արեգակ	Sonne
Երկինք	Himmel (planetär)
Լուի Պաստյոր	Louis Pasteur
Լուսային տարի	Lichtjahr
Գյուղ	Dorf
Վիկտոր Հյուգո	Victor Hugo
Օվկիանիա	Ozeanien
Ջուզեպպե Գարիբալդի	Giuseppe Garibaldi
Աթլետիկա	Leichtathletik
Գրաքննադատություն	Zensur (Informationskontrolle)
Արեգակնային համակարգ	Sonnensystem
Բալթիկ ծով	Ostsee
Տրիեստ	Triest
Վիսլա	Weichsel
Ջրածին	Wasserstoff
Փաթի Սմիթ	Patti Smith
Հելիում	Helium
Դժոխք	Hölle
Վիքիպահեստ	Wikimedia Commons
Անգելա Մերկել	Angela Merkel
Լիթիում	Lithium
Բերիլիում	Beryllium
Գիրք	Buch
Օր	Tag
Արևելյան Թիմոր	Osttimor
Գիշեր	Nacht
Տարի	Jahr
Դար	Jahrhundert
Լոձ	Łódź
Մոնբլան	Mont Blanc
Հռենոս	Rhein
Օսլո	Oslo
Բոն	Bonn
Կատովիցե	Katowice
Սև խոռոչ	Schwarzes Loch
Լուիշ դի Կամոենս	Luís de Camões
1+1 (ֆիլմ)	Ziemlich beste Freunde
Սերես	(1) Ceres
Լիսաբոն	Lissabon
Ժեշուվ	Rzeszów
Հոմեա	(136108) Haumea
Ռոն	Rhone
Մակեմակե	(136472) Makemake
Էրիս	(136199) Eris
Դուբայ	Dubai
Դուբայի Էմիրություն	Dubai (Emirat)
Լիոնել Մեսսի	Lionel Messi
Պադովա	Padua
Բոր (քիմիական տարր)	Bor
Նիկոլայ Կոպեռնիկոս	Nikolaus Kopernikus
Վերսալ	Versailles
Ածխածին	Kohlenstoff
Ալեսանդրո Դել Պիեռո	Alessandro Del Piero
Վոլգա (գետ)	Wolga
Ազոտ	Stickstoff
Թթվածին	Sauerstoff
Ինտեր Միլան	Inter Mailand
Մոլորակ	Planet
Կլեոպատրա	Kleopatra VII.
Երաժշտություն	Musik
Վենետիկ	Venedig
Նարուտո	Naruto (Manga)
Պո (գետ)	Po (Fluss)
Նևա (գետ)	Newa
Ռեն	Rennes
Լիլ	Lille
Մոսկվա	Moskau
Ֆտոր	Fluor
Ֆրիդրիխ Թեոդոր Ֆիշեր	Friedrich Theodor Vischer
Իտալերեն	Italienische Sprache
Նեոն	Neon
Սանկտ Պետերբուրգ	Sankt Petersburg
Չադ	Tschad
Նատրիում	Natrium
Հյուսիս	Norden
Մագնեզիում	Magnesium
Ալյումին	Aluminium
Նոր Զելանդիա	Neuseeland
Հարավ	Süden
Հնդկաստան	Indien
Սիլիցիում	Silicium
Ֆրանսիում	Francium
Թուվալու	Tuvalu
Վան Փիս	One Piece
Ֆոսֆոր	Phosphor
Անդրե Մարի Ամպեր	André-Marie Ampère
Երկաթ	Eisen
Տոնգա	Tonga
Արևմուտք	Westen
Ալեսանդրո Վոլտա	Alessandro Volta
Ծծումբ	Schwefel
Սամոա	Samoa
Սողոմոնյան Կղզիներ	Salomonen
Վանուատու	Vanuatu
Մոլիեր	Molière
Քլոր	Chlor
Դելֆտ	Delft
Պապուա Նոր Գվինեա	Papua-Neuguinea
Ուիլյամ Շեքսպիր	William Shakespeare
Առակ	Fabel
Հարավային Հոլանդիա	Provinz Südholland
Պալաու	Palau
Արգոն	Argon
Նաուրու	Nauru
Mozilla Firefox	Mozilla Firefox
Հեքիաթ	Märchen
Հյուսիսային Հոլանդիա	Provinz Nordholland
Միկրոնեզիայի Ֆեդերատիվ Նահանգներ	Föderierte Staaten von Mikronesien
Կալիում	Kalium
Օլիմպիկ Լիոն	Olympique Lyon
Զեյլանդ	Provinz Zeeland
Կալցիում	Calcium
Ֆլևոլանդ	Provinz Flevoland
Կապար	Blei
Մարշալյան կղզիներ	Marshallinseln
Կիրիբատի	Kiribati
Մոնղոլիա	Mongolei
Ֆիջի	Fidschi
Սկանդիում	Scandium
Տիտան	Titan (Element)
Վենեսուելա	Venezuela
Շախմատ	Schach
Չինգիզ խան	Dschingis Khan
Վանադիում	Vanadium
Մեն	Maine
Քրոմ	Chrom
Ձի	Hauspferd
Ամստերդամ	Amsterdam
Զենք	Waffe
Կենդանիներ	Tier
Սուրինամ	Suriname
Մանգան	Mangan
Պարագվայ	Paraguay
Գայանա	Guyana
Արվեստ	Kunst
Էկվադոր	Ecuador
Ռենիում	Rhenium
Կոլումբիա	Kolumbien
Կոբալտ	Cobalt
Ժան Ռասին	Jean Racine
Վոլֆրամ	Wolfram
Նիկել	Nickel
Գետնաելակ	Erdbeeren
Պիեռ Կոռնեյլ	Pierre Corneille
Բուդդայականություն	Buddhismus
Բոլիվիա	Bolivien
Օսմիում	Osmium
Խրոնինգեն (մարզ)	Provinz Groningen
Պղինձ	Kupfer
Տրինիդադ և Տոբագո	Trinidad und Tobago
Պոլ Վեռլեն	Paul Verlaine
Բույսեր	Pflanzen
Սենթ Վինսենթ և Գրենադիններ	St. Vincent und die Grenadinen
Ցինկ	Zink
Նյու Հեմպշիր	New Hampshire
Սենթ Լյուսիա	St. Lucia
Լեոնարդո դա Վինչի	Leonardo da Vinci
Սենթ Քիթս և Նևիս	St. Kitts und Nevis
Սնկեր	Pilze
Ճամայկա	Jamaika
Ստեֆան Մալարմե	Stéphane Mallarmé
Գրենադա	Grenada
Մասսաչուսեթս	Massachusetts
Դրենթե	Provinz Drente
Օվերեյսել	Provinz Overijssel
Գվատեմալա	Guatemala
Խելդերլանդ	Provinz Gelderland
Ուտրեխտ (համայնք)	Provinz Utrecht
Google Chrome	Google Chrome
Բահամյան Կղզիներ	Bahamas
Կոնեկտիկուտ	Connecticut
Անտիգուա և Բարբուդա	Antigua und Barbuda
Հավայի	Hawaii
Հոնդուրաս	Honduras
Դոմինիկա	Dominica
Ջերսի	Jersey
Դոմինիկյան Հանրապետություն	Dominikanische Republik
Տնային խոզ	Hausschwein
Հյուսիսային սառուցյալ օվկիանոս	Arktischer Ozean
Հայիթի	Haiti
Տաումատաուկատանգիինգակոաոաոուտամատեապոկանուենուկիտանատահու	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
Սալվադոր	El Salvador
Զվոլե	Zwolle
Իրան	Iran
Բթամտություն	Dummheit
Իրաք	Irak
Ալյասկա (նահանգ)	Alaska
Ասսեն	Assen
Կոստա Ռիկա	Costa Rica
Իսրայել	Israel
Ուտրեխտ	Utrecht
Պանամա	Panama
Եմեն	Jemen
Լոզան	Lausanne
Վիրուսներ	Viren
Լեհերեն	Polnische Sprache
Հորդանան	Jordanien
Նիկարագուա	Nicaragua
Ֆլորիդա	Florida
Ղրղզստան	Kirgisistan
Արիզոնա	Arizona
Քուվեյթ	Kuwait
Լաոս	Laos
Լիբանան	Libanon
Օրեգոն	Oregon
Մալդիվներ	Malediven
Ամերիկա	Amerika
Յուտա	Utah
Կով	Hausrind
Մալայզիա	Malaysia
Միխայիլ Բուլգակով	Michail Afanassjewitsch Bulgakow
Մյանմա	Myanmar
Նեպալ	Nepal
Անդրեյ Ռուբլյով	Andrei Rubljow (Ikonenmaler)
Օման	Oman
Պակիստան	Pakistan
Ջեյմս Բոնդ	James Bond
Կատար	Katar
Թենիս	Tennis
Ֆրանսուա Վիյոն	François Villon
MySQL	MySQL
Սաուդյան Արաբիա	Saudi-Arabien
Շրի Լանկա	Sri Lanka
Իոսիֆ Ստալին	Josef Stalin
Սիրիա	Syrien
Պլատոն	Platon
Գալիում	Gallium
Իոսիֆ Բրոդսկի	Joseph Brodsky
Տաջիկստան	Tadschikistan
Չինաստանի Հանրապետություն	Republik China (Taiwan)
ՅուԹյուբ	YouTube
Գերմանիում	Germanium
Արիստոտել	Aristoteles
Թաիլանդ	Thailand
Արսեն	Arsen
Ռադիո	Hörfunk
Մերիլ Սթրիփ	Meryl Streep
Թուրքմենստան	Turkmenistan
Աբական	Abakan (Stadt)
Սելեն	Selen
Իրիդիում	Iridium
Արաբական Միացյալ Էմիրություններ	Vereinigte Arabische Emirate
Բրոմ	Brom
Պլատին	Platin
Վիետնամ	Vietnam
Չարլի Չապլին	Charlie Chaplin
Նովոսիբիրսկ	Nowosibirsk
Կորեայի Հանրապետություն	Südkorea
Սիմփսոններ	Die Simpsons
Եկատերինբուրգ	Jekaterinburg
Կրիպտոն	Krypton
Աֆղանստան	Afghanistan
Gangnam Style	Gangnam Style
Ջոն Ռոնալդ Ռուել Տոլկին	J. R. R. Tolkien
Սամարա	Samara
Ռուբիդիում	Rubidium
Ոսկի	Gold
Օմսկ	Omsk
Սուեզի ջրանցք	Sueskanal
Կազան	Kasan
Գիտնական	Wissenschaftler
Բանգլադեշ	Bangladesch
Բլիչ	Bleach (Manga)
Ֆրանց Կաֆկա	Franz Kafka
Չելյաբինսկ	Tscheljabinsk
Դոնի Ռոստով	Rostow am Don
Խորխե Լուիս Բորխես	Jorge Luis Borges
Ուֆա	Ufa (Stadt)
Մալի	Mali
Սոկրատես	Sokrates
Վոլգոգրադ	Wolgograd
Անգոլա	Angola
Պերմ	Perm (Stadt)
Բութան	Bhutan
Թվիթթեր	Twitter
Կրասնոյարսկ	Krasnojarsk
Բրունեյ	Brunei
Ալեքսանդր	Alexander
Տանզանիա	Tansania
Սնդիկ	Quecksilber
Ռուալ Ամունդսեն	Roald Amundsen
Հարի Մուլիշ	Harry Mulisch
Ֆիլիպիններ	Philippinen
Կենտրոնաաֆրիկյան Հանրապետություն	Zentralafrikanische Republik
Թալիում	Thallium
Հարավային բևեռ	Südpol
Հյուսիսային բևեռ	Nordpol
Իսահակ Նյուտոն	Isaac Newton
Ալբերտ Այնշտայն	Albert Einstein
Ստրոնցիում	Strontium
Թմրամիջոց	Suchtstoff
Իտրիում	Yttrium
Բիսմութ	Bismut
Քվանտային մեխանիկա	Quantenmechanik
Տոգո	Togo
Դոնալդ Տուսկ	Donald Tusk
Թունիս	Tunesien
Ջոն Բարդին	John Bardeen
Զամբիա	Sambia
Զիմբաբվե	Simbabwe
Պեկին	Peking
Հարավային Սուդան	Südsudan
Վլադիվոստոկ	Wladiwostok
Տիվա	Tuwa
Բենին	Benin
Բոտսվանա	Botswana
Վիքիլուրեր	Wikinews
Բուրկինա Ֆասո	Burkina Faso
Բուրունդի	Burundi
Կոմորյան Կղզիներ	Komoren
Կոնգոյի Հանրապետություն	Republik Kongo
Ալկմար (համայնք)	Alkmaar
Օբ (գետ)	Ob
Կոնգոյի Դեմոկրատական Հանրապետություն	Demokratische Republik Kongo
Սան Անտոնիո	San Antonio
Տոմսկ	Tomsk
Ջիբութի	Dschibuti
Պոլոնիում	Polonium
Բավարիա	Bayern
Հասարակածային Գվինեա	Äquatorialguinea
Բադեն-Վյուրթեմբերգ	Baden-Württemberg
Էրիթրեա	Eritrea
Նյու Դելի	Neu-Delhi
Ալմելո	Almelo
Հովհաննես Պողոս II	Johannes Paul II.
Ֆեոդոր Դոստոևսկի	Fjodor Michailowitsch Dostojewski
Ամերսֆորտ	Amersfoort
Կամչատկայի թերակղզի	Kamtschatka
Թբիլիսի	Tiflis
Ապինգեդամ	Appingedam
Անդրեյ Սախարով	Andrei Dmitrijewitsch Sacharow
Աստատ	Astat
Գաբոն	Gabun
Մահաթմա Գանդի	Mohandas Karamchand Gandhi
Կոմիքս	Comic
Գամբիա	Gambia
Գվինեա	Guinea
Գվինեա Բիսաու	Guinea-Bissau
Կոտ դ'Իվուար	Elfenbeinküste
Կամերուն	Kamerun
Կաբո Վերդե	Kap Verde
Լեսոթո	Lesotho
Լիբերիա	Liberia
Լիբիա	Libyen
Աախեն	Aachen
Մադագասկար	Madagaskar
Մալավի	Malawi
Շտուտգարտ	Stuttgart
Մավրիտանիա	Mauretanien
Լեհեր	Polen (Ethnie)
Մավրիկիոս	Mauritius
Մարոկկո	Marokko
Մոզամբիկ	Mosambik
Նամիբիա	Namibia
Նիգեր	Niger
Նիգերիա	Nigeria
Չարլզ Դարվին	Charles Darwin
Ուգանդա	Uganda
Ռուանդա	Ruanda
Ցիրկոնիում	Zirconium
Սան Տոմե և Պրինսիպի	São Tomé und Príncipe
Կարլսրուե	Karlsruhe
Սենեգալ	Senegal
Սեյշելյան կղզիներ	Seychellen
Կարլ Լինեյ	Carl von Linné
Սիերա Լեոնե	Sierra Leone
Սոմալի	Somalia
Նիոբիում	Niob
Ջավահարլալ Ներու	Jawaharlal Nehru
Հուլիոս Կեսար	Gaius Iulius Caesar
Սուդան	Sudan
Սվազիլենդ	Swasiland
Ծիածան	Regenbogen
Մոլիբդեն	Molybdän
Տեխնեցիում	Technetium
Համբուրգ	Hamburg
Նյութափոխանակություն	Stoffwechsel
Նարենդրա Մոդի	Narendra Modi
Իմուն համակարգ	Immunsystem
Գուջարաթ	Gujarat
Օնտարիո լիճ	Ontariosee
Էվոլյուցիա	Evolution
Ալեսանդրո Մանձոնի	Alessandro Manzoni
Միավորված Ազգերի Կազմակերպություն	Vereinte Nationen
Վերին լիճ	Oberer See
Դանթե Ալիգիերի	Dante Alighieri
Երկրաբանություն	Geologie
Աշխարհագրություն	Geographie
Սիրտ	Herz
Գլխուղեղ	Gehirn
Մաշկ	Haut
Գույն	Farbe
Ամբողջ ծանրությամբ	Breaking Bad
Սալեռնո	Salerno
Գոյական անուն	Substantiv
Պրահա	Prag
Ռութենիում	Ruthenium
Ռոդիում	Rhodium
Պալադիում	Palladium
Արծաթ	Silber
Կադմիում	Cadmium
Լիմբուրխ (Նիդերլանդներ)	Provinz Limburg (Niederlande)
Ինդիում	Indium
Լիմբուրգ (Բելգիայի նահանգ)	Provinz Limburg (Belgien)
Անագ	Zinn
Ուրան (տարր)	Uran
Ծարիր	Antimon
Տելուր	Tellur
Հյուսիսային Բրաբանդ	Provinz Nordbrabant
Պլուտոնիում	Plutonium
Յոդ	Iod
Նեպտունիում	Neptunium
Քսենոն	Xenon
Անիմե	Anime
Ցեզիում	Caesium
Պրոտակտինիում	Protactinium
Էլեկտրական լիցք	Elektrische Ladung
Բարիում	Barium
Արևմտյան Ֆլանդրիա	Provinz Westflandern
Արևելյան Ֆլանդրիա	Provinz Ostflandern
Թորիում	Thorium
Անտվերպեն (նահանգ)	Provinz Antwerpen
Ֆլամանդական Բրաբանտ	Provinz Flämisch-Brabant
Հաֆնիում	Hafnium
Ակտինիում	Actinium
Վալոնյան Բրաբանտ	Provinz Wallonisch-Brabant
Տանտալ	Tantal
Բիլ Քլինթոն	Bill Clinton
Նամյուր (նահանգ)	Provinz Namur
Լյուքսեմբուրգ (նահանգ)	Provinz Luxemburg
Լիեժ (նահանգ)	Provinz Lüttich
Ռադիում	Radium
Էնո	Provinz Hennegau
Ռադոն	Radon
Լոթարինգիա	Lothringen
Էլզաս	Elsass
Ժան Ֆիլիպ Ռամո	Jean-Philippe Rameau
Ինդիրա Գանդի	Indira Gandhi
Հեկտոր Բեռլիոզ	Hector Berlioz
Օվերն	Auvergne
Մումբայ	Mumbai
Արունաչալ Պրադեշ	Arunachal Pradesh
Միչիգան	Michigan
Միչիգան լիճ	Michigansee
Բուրգունդիա	Burgund
Հարյանա	Haryana
Հիմաչալ-Պրադեշ	Himachal Pradesh
Մորիս Ռավել	Maurice Ravel
Աքվիտանիա (երկրամաս)	Aquitanien
Ջամմու և Քաշմիր	Jammu und Kashmir
Պուերտո Ռիկո	Puerto Rico
Կառնատակա	Karnataka
Կերալա	Kerala
Մադհյա Պրադեշ	Madhya Pradesh
Լիմուզան	Limousin
Ժան Բատիստ Լյուլլի	Jean-Baptiste Lully
Մեգհալայա	Meghalaya
Հյուսիսային Հռենոս-Վեսթֆալիա	Nordrhein-Westfalen
Հեսսեն	Hessen
Սաքսոնիա	Sachsen
Ջոն Լենոն	John Lennon
Իլինոյս	Illinois
Թյուրինգիա	Thüringen
Սաքսոնիա-Անհալթ	Sachsen-Anhalt
Հյուսիսային Դակոտա	North Dakota
Բրանդենբուրգ	Brandenburg
Լոմբարդիա	Lombardei
Հարավային Դակոտա	South Dakota
Մոնտանա	Montana
Վայոմինգ	Wyoming
Սթրեյթ էդջ	Straight Edge
