Áfríkà	Afrika
Òkun Dúdú	Schwarzes Meer
Pi	Kreiszahl
Wiki	Wiki
Toronto	Toronto
Ìpínlẹ̀ Alabama	Alabama
São Paulo	São Paulo
Sao Paulo (ìpínlẹ̀)	São Paulo (Bundesstaat)
Wikimedia	Wikimedia
Jẹ́mánì	Deutschland
Bẹ̀lárùs	Weißrussland
Il Canto degli Italiani	Fratelli d’Italia
Èdè Jẹ́mánì	Deutsche Sprache
Íslándì	Island
Ọlọ́run	Gott
Estóníà	Estland
David Cameron	David Cameron
Sátúrnù	Saturn (Planet)
Ọkọ̀ òfurufú	Flugzeug
Ogun	Krieg
1 (nọ́mbà)	Eins
2 (nọ́mbà)	Zwei
3 (nọ́mbà)	Drei
4 (nọ́mbà)	Vier
5 (nọ́mbà)	Fünf
0 (nọ́mbà)	Null
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Látfíà	Lettland
Ukréìn	Ukraine
Tsẹ́kì Olómìnira	Tschechien
Slofákíà	Slowakei
Sloféníà	Slowenien
Filnius	Vilnius
Móldófà	Moldawien
Románíà	Rumänien
Bùlgáríà	Bulgarien
Rómù	Rom
Orílẹ̀-èdè Olómìnira ilẹ̀ Makẹdóníà	Mazedonien
Albáníà	Albanien
Grínlándì	Grönland
Kroatíà	Kroatien
Bósníà àti Hẹrjẹgòfínà	Bosnien und Herzegowina
Nuuk	Nuuk
Azerbaijan	Aserbaidschan
Àndórà	Andorra
Kíprù	Republik Zypern
Georgia	Georgien
Kàsàkstán	Kasachstan
Máltà	Malta
Mónakò	Monaco
Montenẹ́grò	Montenegro
Ìlú Fatikan	Vatikanstadt
San Màrínò	San Marino
Kúbà	Kuba
Bẹ̀lísè	Belize
Bárbádọ̀s	Barbados
Indonésíà	Indonesien
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Èdè Túrkì	Türkische Sprache
Gúúsù Áfríkà	Südafrika
Àlgéríà	Algerien
Wikisource	Wikisource
Ùsbẹ̀kìstán	Usbekistan
Tashkent	Taschkent
Warsaw	Warschau
Omi	Wasser
Tẹlifísàn	Fernsehen
Claude Monet	Claude Monet
Diego Velázquez	Diego Rodríguez de Silva y Velázquez
Tsílè	Chile
Jésù	Jesus Christus
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Mẹ́rkúríù (plánẹ̀tì)	Merkur (Planet)
Ìtàn	Geschichte
Apple Inc.	Apple
Àgùàlà	Venus (Planet)
Èdè	Sprache
Júpítérì	Jupiter (Planet)
Michelle Bachelet	Michelle Bachelet
Úránù	Uranus (Planet)
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Nẹ́ptúnù	Neptun (Planet)
Ìtòràwọ̀	Astronomie
Singapore	Singapur
Patricio Aylwin	Patricio Aylwin
Sáyẹ́nsì	Wissenschaft
Plùtò	Pluto
Màríà (ìyá Jésù)	Maria (Mutter Jesu)
Louis 9k ilẹ̀ Fránsì	Ludwig IX. (Frankreich)
Líktẹ́nstáìnì	Liechtenstein
Adolf Hitler	Adolf Hitler
Ogun Àgbáyé Kìíní	Erster Weltkrieg
Ogun Àgbáyé Ẹlẹ́ẹ̀kejì	Zweiter Weltkrieg
Ìwàìbàjẹ́	Korruption
Augusto Pinochet	Augusto Pinochet
Skopje	Skopje
Bob Dylan	Bob Dylan
Mathimátíkì	Mathematik
Èdè Látìnì	Latein
Báháráìnì	Bahrain
Arméníà	Armenien
Bósónì Higgs	Higgs-Boson
Sérbíà	Serbien
Òṣùpá	Mond
Istanbul	Istanbul
Austrálíà	Australien
Bob Marley	Bob Marley
Físíksì	Physik
Argẹntínà	Argentinien
Ìbánisọ̀rọ̀-ọ̀ọ́kán	Telekommunikation
Perú	Peru
Kòréà Àríwá	Nordkorea
Kàmbódíà	Kambodscha
Kùránì	Koran
Ìmàle	Islam
Ljubljana	Ljubljana
Salvador Allende	Salvador Allende
Lech Wałęsa	Lech Wałęsa
Ìṣọ̀kan Europe	Europäische Union
Obìnrin	Frau
Sofia	Sofia
Eduardo Frei Montalva	Eduardo Frei Montalva
Ewì	Poesie
Émile Zola	Émile Zola
666	666
Ìlú	Stadt
Napoleon Bonaparte	Napoleon Bonaparte
Ìràwọ̀	Stern
Òrùn	Sonne
Louis Pasteur	Louis Pasteur
Victor Hugo	Victor Hugo
Oṣéáníà	Ozeanien
Sístẹ̀mù Òrùn	Sonnensystem
Háídrójìn	Wasserstoff
Hílíọ̀mù	Helium
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lítíọ̀mù	Lithium
Bẹ́rílíọ̀mù	Beryllium
Ìwé	Buch
Ọjọ́	Tag
Ìlàòrùn Timor	Osttimor
Jorge Alessandri	Jorge Alessandri
Ọdún	Jahr
Ọ̀rúndún	Jahrhundert
Carlos Ibáñez del Campo	Carlos Ibáñez del Campo
Oslo	Oslo
Lisbon	Lissabon
Dubai	Dubai (Emirat)
Bórọ̀nù	Bor
Nicolaus Copernicus	Nikolaus Kopernikus
Kárbọ̀nù	Kohlenstoff
Nítrójìn	Stickstoff
Ọ́ksíjìn	Sauerstoff
Plánẹ̀tì	Planet
Cleopatra 7k	Kleopatra VII.
Orin	Musik
Lille	Lille
Mọsko	Moskau
Fluorínì	Fluor
Nẹ́ọ̀nù	Neon
Saint Petersburg	Sankt Petersburg
Tsad	Tschad
Sódíọ̀mù	Natrium
Àríwá	Norden
Magnésíọ̀mù	Magnesium
Alumíníọ̀mù	Aluminium
New Zealand	Neuseeland
Índíà	Indien
Sílíkọ́nù	Silicium
Fránsíọ̀m	Francium
Tufalu	Tuvalu
Fósfórù	Phosphor
André-Marie Ampère	André-Marie Ampère
Iron	Eisen
Tóngà	Tonga
Alessandro Volta	Alessandro Volta
Súlfúrù	Schwefel
Sàmóà	Samoa
Àwọn Erékùsù Sólómọ́nì	Salomonen
Fanuatu	Vanuatu
Molière	Molière
Klorínì	Chlor
Papua Guinea Titun	Papua-Neuguinea
William Shakespeare	William Shakespeare
Páláù	Palau
Árgọ̀nù	Argon
Nàúrù	Nauru
Àwọn Ìpínlẹ̀ Àṣepapọ̀ ilẹ̀ Mikronésíà	Föderierte Staaten von Mikronesien
Pòtásíọ̀mù	Kalium
Calcium	Calcium
Òjé	Blei
Àwọn Erékùṣù Marshall	Marshallinseln
Kìrìbátì	Kiribati
Mòngólíà	Mongolei
Fíjì	Fidschi
Scandium	Scandium
Stevie Wonder	Stevie Wonder
Titaniomu	Titan (Element)
Fenesuela	Venezuela
Saginaw	Saginaw (Michigan)
Banadiomu	Vanadium
Maine	Maine
Krómíọ̀mù	Chrom
Amsterdam	Amsterdam
Ẹranko	Tier
Sùrìnámù	Suriname
Manganisi	Mangan
Paragúáì	Paraguay
Gùyánà	Guyana
Ọnà	Kunst
Ẹ̀kùàdọ̀r	Ecuador
Rhenium	Rhenium
Kòlómbìà	Kolumbien
Cobalt	Cobalt
Wolframu	Wolfram
Nickel	Nickel
Ẹ̀sìn Búddà	Buddhismus
Bòlífíà	Bolivien
Osmium	Osmium
Bàbà	Kupfer
Trínídád àti Tòbágò	Trinidad und Tobago
Ọ̀gbìn	Pflanzen
Saint Vincent àti àwọn Grẹnadínì	St. Vincent und die Grenadinen
Zinc	Zink
New Hampshire	New Hampshire
Lùsíà Mímọ́	St. Lucia
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts àti Nevis	St. Kitts und Nevis
Èbu	Pilze
Dario Fo	Dario Fo
Jamáíkà	Jamaika
Grẹ̀nádà	Grenada
Massachusetts	Massachusetts
Guatẹmálà	Guatemala
Àwọn Bàhámà	Bahamas
Connecticut	Connecticut
Ántígúà àti Bàrbúdà	Antigua und Barbuda
Hawaii	Hawaii
Họ̀ndúràs	Honduras
Dòmíníkà	Dominica
Jersey	Jersey
Orílẹ̀òmìnira Dómíníkì	Dominikanische Republik
Òkun Árktìkì	Arktischer Ozean
Hàítì	Haiti
El Salfador	El Salvador
Ìránì	Iran
Irak	Irak
Alaska	Alaska
Kóstá Rikà	Costa Rica
Ísráẹ́lì	Israel
Panamá	Panama
Yemen	Jemen
Lausanne	Lausanne
Èràn	Viren
Èdè Pólándì	Polnische Sprache
Jọ́rdánì	Jordanien
Nikarágúà	Nicaragua
Florida	Florida
Kirgistani	Kirgisistan
Gabriel González Videla	Gabriel González Videla
Arizona	Arizona
Kuwaiti	Kuwait
Láọ̀s	Laos
Juan Antonio Ríos	Juan Antonio Ríos Morales
Lẹ́bánọ́nì	Libanon
Oregon	Oregon
Àwọn Maldive	Malediven
Amẹ́ríkà	Amerika
Utah	Utah
Malaysia	Malaysia
Myanmar	Myanmar
Nepal	Nepal
Oman	Oman
Pakístàn	Pakistan
Pedro Aguirre Cerda	Pedro Aguirre Cerda
Katar	Katar
Tẹ́nìs	Tennis
Arturo Alessandri	Arturo Alessandri
Sáúdí Arábíà	Saudi-Arabien
Sri Lanka	Sri Lanka
Joseph Stalin	Josef Stalin
Juan Luis Sanfuentes	Juan Luis Sanfuentes
Síríà	Syrien
Plato	Platon
Gallium	Gallium
Joseph Brodsky	Joseph Brodsky
Tajikistan	Tadschikistan
Orílẹ̀-èdè Olómìnira ilẹ̀ Ṣáínà	Republik China (Taiwan)
Jẹ́rmáníọ́mù	Germanium
Aristotulu	Aristoteles
Tháílàndì	Thailand
Arsenic	Arsen
Meryl Streep	Meryl Streep
Turkmẹ́nìstán	Turkmenistan
Selenium	Selen
Iridium	Iridium
Àwọn Ẹ́mírétì Árábù Aṣọ̀kan	Vereinigte Arabische Emirate
Brómìnì	Brom
Platinum	Platin
Fiẹtnám	Vietnam
Kòréà Gúúsù	Südkorea
Krypton	Krypton
Afghanístàn	Afghanistan
J. R. R. Tolkien	J. R. R. Tolkien
Rubidium	Rubidium
Wúrà	Gold
Ìladò Suez	Sueskanal
Bangladẹ́shì	Bangladesch
Bleach (mángà)	Bleach (Manga)
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Málì	Mali
Socrates	Sokrates
Àngólà	Angola
Bhùtán	Bhutan
Brunei	Brunei
Tànsáníà	Tansania
Fàdákàolómi	Quecksilber
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipínì	Philippinen
Orílẹ̀-èdè Olómìnira Àrin Áfríkà	Zentralafrikanische Republik
Thallium	Thallium
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontium	Strontium
Yttrium	Yttrium
Bismuth	Bismut
Tógò	Togo
Donald Tusk	Donald Tusk
Tùnísíà	Tunesien
John Bardeen	John Bardeen
Sámbíà	Sambia
Sìmbábúè	Simbabwe
Beijing	Peking
Gúúsù Sudan	Südsudan
Benin	Benin
Bòtswánà	Botswana
Wikinews	Wikinews
Bùrkínà Fasò	Burkina Faso
Bùrúndì	Burundi
Kòmórò	Komoren
Orílẹ̀-èdè Olómìnira ilẹ̀ Kóngò	Republik Kongo
Orílẹ̀-èdè Olómìnira Olóṣèlú ilẹ̀ Kóngò	Demokratische Republik Kongo
San Antonio	San Antonio
Djìbútì	Dschibuti
Polonium	Polonium
Bavaria	Bayern
Guinea Alágedeméjì	Äquatorialguinea
Baden-Württemberg	Baden-Württemberg
Ẹritrẹ́à	Eritrea
Delhi Titun	Neu-Delhi
Pópù Jòhánù Páúlù Èkejì	Johannes Paul II.
Fyodor Dostoyevsky	Fjodor Michailowitsch Dostojewski
Tbilisi	Tiflis
Andrei Sakharov	Andrei Dmitrijewitsch Sacharow
Astatínì	Astat
Gàbọ̀n	Gabun
Mohandas Karamchand Gandhi	Mohandas Karamchand Gandhi
Gámbíà	Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Côte d'Ivoire	Elfenbeinküste
Kamẹrúùn	Kamerun
Kepu Ferde	Kap Verde
Lèsóthò	Lesotho
Làìbéríà	Liberia
Líbyà	Libyen
Madagáskàr	Madagaskar
Màláwì	Malawi
Stuttgart	Stuttgart
Mauritáníà	Mauretanien
Àwọn ọmọ Pólàndì	Polen (Ethnie)
Mọ́rísì	Mauritius
Mòrókò	Marokko
Mòsámbìk	Mosambik
Nàmíbíà	Namibia
Nìjẹ̀r	Niger
Nàìjíríà	Nigeria
Charles Darwin	Charles Darwin
Ùgándà	Uganda
Rùwándà	Ruanda
Zirconium	Zirconium
Sao Tome àti Principe	São Tomé und Príncipe
Sẹ̀nẹ̀gàl	Senegal
Ṣèíhẹ́lẹ́sì	Seychellen
Carl Linnaeus	Carl von Linné
Siẹrra Léònè	Sierra Leone
Sòmálíà	Somalia
Niobium	Niob
Jawaharlal Nehru	Jawaharlal Nehru
Juliu Késárì	Gaius Iulius Caesar
Sudan	Sudan
Swásílándì	Swasiland
Molybdenum	Molybdän
Technetium	Technetium
Hamburg	Hamburg
Gujarat	Gujarat
Àgbájọ àwọn Orílẹ̀-èdè Aṣòkan	Vereinte Nationen
Dante Alighieri	Dante Alighieri
Jẹ́ọ́gráfì	Geographie
Ọkàn	Herz
Prague	Prag
Ruthenium	Ruthenium
Rhodium	Rhodium
Palladium	Palladium
Fàdákà	Silber
Kadmium	Cadmium
Indium	Indium
Tánganran	Zinn
Ùráníọ̀m	Uran
Antimony	Antimon
Tellurium	Tellur
Plùtòníọ̀m	Plutonium
Iodínì	Iod
Nẹ́ptúníọ̀m	Neptunium
Ksenon	Xenon
Anime	Anime
Kesium	Caesium
Protaktiníọ̀m	Protactinium
Àdìjọ ìtanná	Elektrische Ladung
Barium	Barium
Tóríọ̀m	Thorium
Hafnium	Hafnium
Àktíníọ̀m	Actinium
Tantalum	Tantal
Bill Clinton	Bill Clinton
Radiomu	Radium
Radon	Radon
Ununennium	Ununennium
Indira Gandhi	Indira Gandhi
Mumbai	Mumbai
Andhra Pradesh	Andhra Pradesh
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Michigan
Chhattisgarh	Chhattisgarh
Goa	Goa
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Jammu àti Kashmir	Jammu und Kashmir
Púẹ́rtò Ríkò	Puerto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharashtra
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Meghalaya
Mecklenburg-Vorpommern	Mecklenburg-Vorpommern
Lower Saxony	Niedersachsen
Nordrhein-Westfalen	Nordrhein-Westfalen
Hesse	Hessen
Rhineland-Palatinate	Rheinland-Pfalz
Saarland	Saarland
Saxony	Sachsen
John Lennon	John Lennon
Illinois	Illinois
Thuringia	Thüringen
Saxony-Anhalt	Sachsen-Anhalt
Àríwá Dakota	North Dakota
Brandenburg	Brandenburg
Bremen (ìpínlẹ̀)	Freie Hansestadt Bremen
Gúúsù Dakota	South Dakota
Montana	Montana
Wyoming	Wyoming
Jerúsálẹ́mù	Jerusalem
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Ìpínlẹ̀ Washington	Washington (Staat)
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordium	Rutherfordium
Nevada	Nevada
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Francesco Cossiga	Francesco Cossiga
Dubnium	Dubnium
Sandro Pertini	Sandro Pertini
Seaborgium	Seaborgium
Giovanni Leone	Giovanni Leone
Giuseppe Saragat	Giuseppe Saragat
Òkun Índíà	Indischer Ozean
Antonio Segni	Antonio Segni
Giovanni Gronchi	Giovanni Gronchi
Luigi Einaudi	Luigi Einaudi
Enrico De Nicola	Enrico De Nicola
Kósófò	Kosovo
Òkun Kàríbẹ́ánì	Karibisches Meer
Bohriomu	Bohrium
Hassiomu	Hassium
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Boutros Boutros-Ghali	Boutros Boutros-Ghali
Meitneriomu	Meitnerium
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Darmstadtium	Darmstadtium
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Roentgenium	Roentgenium
Kopernisiomu	Copernicium
Ẹ̀ka:Àwọn àkóónú	Kategorie:!Hauptkategorie
Blaise Pascal	Blaise Pascal
Ramón Barros Luco	Ramón Barros Luco
Ṣìkágò	Chicago
Pedro Montt	Pedro Montt Montt
The Beatles	The Beatles
Germán Riesco	Germán Riesco Errázuriz
Ununtrium	Ununtrium
Flẹ́rófíọ́mù	Flerovium
Ununpentium	Ununpentium
Livermorium	Livermorium
Ununseptium	Ununseptium
Ununoctium	Ununoctium
Saddam Hussein	Saddam Hussein
Osama bin Laden	Osama bin Laden
Federico Errázuriz Echaurren	Federico Errázuriz Echaurren
Jorge Montt	Jorge Montt Álvarez
Èdè Spéìn	Spanische Sprache
José Manuel Balmaceda	José Manuel Balmaceda
Domingo Santa María	Domingo Santa María González
Aníbal Pinto	Aníbal Pinto Garmendia
Friedrich Hayek	Friedrich August von Hayek
Federico Errázuriz Zañartu	Federico Errázuriz Zañartu
José Joaquín Pérez	José Joaquín Pérez
Manuel Montt	Manuel Montt Torres
Manuel Bulnes	Manuel Bulnes Prieto
José Joaquín Prieto	José Joaquín Prieto Vial
Manuel Blanco Encalada	Manuel Blanco Encalada
Ramón Freire	Ramón Freire y Serrano
Francisco Antonio Pinto	Francisco Antonio Pinto
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Philadelphia	Philadelphia
Delhi	Delhi
Dhaka	Dhaka
Bangalore	Bangalore
Ìwọòrùn Bẹ̀ngál	Westbengalen
Islàmabad	Islamabad
Tripura	Tripura
Firginia	Virginia
Ìwọ̀orùn Firginia	West Virginia
Ìpínlẹ̀ New York	New York (Bundesstaat)
Cerium	Cer
Praseodymium	Praseodym
Erékùṣù Rhode	Rhode Island
Neodymium	Neodym
Kòkòrò	Insekten
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Wladimir Iljitsch Lenin
Europium	Europium
Ohio	Ohio
Virgil	Vergil
Niccolò Machiavelli	Niccolò Machiavelli
Pennsylvania	Pennsylvania
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augustus	Augustus
Microsoft Windows	Microsoft Windows
Tiberius	Tiberius
New Jersey	New Jersey
Caligula	Caligula
Gibraltar	Gibraltar
Claudius	Claudius
Èdè Fínlándì	Finnische Sprache
Nero	Nero
Galba	Galba
Indiana	Indiana
Otho	Otho
Vitellius	Vitellius
Vespasian	Vespasian
Titu	Titus
Domitian	Domitian
Nerva	Nerva
Trajan	Trajan
Roger Federer	Roger Federer
Hadrian	Hadrian (Kaiser)
Ìpínlẹ̀ Georgia	Georgia
Antoninus Pius	Antoninus Pius
Marcus Aurelius	Mark Aurel
Lucius Verus	Lucius Verus
Commodus	Commodus
Zagreb	Zagreb
Pertinax	Pertinax (Römischer Kaiser)
Rajasthan	Rajasthan
Texas	Texas
Didius Julianus	Didius Julianus
Septimius Severus	Septimius Severus
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Àríwá Carolina	North Carolina
Gúúsù Carolina	South Carolina
Sicily	Autonome Region Sizilien
Manila	Manila
Noynoy Aquino	Benigno Aquino III.
Ìlú Quezon	Quezon City
Bordeaux	Bordeaux
Buenos Aires	Buenos Aires
Ìlú Mẹ́ksíkò	Mexiko-Stadt
Tokyo	Präfektur Tokio
La Paz	La Paz
Ìpínlẹ̀ Mississippi	Mississippi (Staat)
Ferdinand Magellan	Ferdinand Magellan
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
Mizoram	Mizoram
Sikkim	Sikkim
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Abidjan	Abidjan
Abu Dhabi	Abu Dhabi
Astana	Astana
Ìpínlẹ̀ Titun Mẹ́ksíkò	New Mexico
Ramesses 2k	Ramses II.
Áténì	Athen
Ramesses 1k	Ramses I.
Minnesota	Minnesota
Ramesses 3k	Ramses III.
Baghdad	Bagdad
Ramesses 4k	Ramses IV.
Caracas	Caracas
Ajọfọ̀nàkò Àsìkò Káríayé	Koordinierte Weltzeit
Wisconsin	Wisconsin
Kísẹ́rò	Marcus Tullius Cicero
Iowa	Iowa
Nebraska	Nebraska
Ìlú Guatẹmálà	Guatemala-Stadt
Kansas	Kansas
Havana	Havanna
Èdè Híndì	Hindi
Ìpínlẹ̀ Missouri	Missouri
Georg Ohm	Georg Simon Ohm
Louisiana	Louisiana
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Oklahoma	Oklahoma
Yohan Blake	Yohan Blake
Odò Dánúbì	Donau
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hannover
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Munich	München
Erfurt	Erfurt
Dresden	Dresden
Magdeburg	Magdeburg
Volleyball	Volleyball
Fienna	Wien
Madonna	Madonna (Künstlerin)
Copenhagen	Kopenhagen
Kaliningrad Oblast	Oblast Kaliningrad
Macrinus	Macrinus
Stockholm	Stockholm
Helsinki	Helsinki
Dublin	Dublin
Elagabalus	Elagabal
Reykjavík	Reykjavík
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Severus Alexander
Tallinn	Tallinn
Riga	Riga
Zanzibar	Sansibar
Maximinus Thrax	Maximinus Thrax
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordian 1k	Gordian I.
Frankfurt	Frankfurt am Main
Pupienus	Pupienus
Lanthanum	Lanthan
Gordian 2k	Gordian II.
Balbinus	Balbinus
Promethium	Promethium
Gordian 3k	Gordian III.
Filip Áràbù	Philippus Arabs
Samarium	Samarium
Aceh	Aceh
Decius	Decius (Kaiser)
Gadolinium	Gadolinium
Terbium	Terbium
Luxembourg (ìlú)	Luxemburg (Stadt)
Dysprosium	Dysprosium
Vaduz	Vaduz
Bíbélì Mímọ́	Bibel
Holmium	Holmium
Ìlú San Màrínò	Stadt San Marino
Erbium	Erbium
Phnom Penh	Phnom Penh
Thulium	Thulium
Ytterbium	Ytterbium
Lutetium	Lutetium
Hanoi	Hanoi
Ìjọ Jéésù Lótìítọ́	Wahre Jesus-Kirche
Èdè Gẹ̀ẹ́sì	Englische Sprache
Bangkok	Bangkok
Andorra la Vella	Andorra la Vella
Kuala Lumpur	Kuala Lumpur
Taipei	Taipeh
Amẹrísíọ̀m	Americium
Kùríọ̀m	Curium
Concepción, Chile	Concepción (Chile)
Bẹ́rkẹ́líọ̀m	Berkelium
Kalifọ́rníọ̀m	Californium
Einsteiniom	Einsteinium
Fẹ́rmíọ̀m	Fermium
Mẹ̀ndẹ̀lẹ́fíọ̀m	Mendelevium
Kiev	Kiew
Nobelium	Nobelium
Lawrencium	Lawrencium
Ottawa	Ottawa
Yerevan	Jerewan
Końskowola	Końskowola
Dar es Salaam	Daressalam
Khartoum	Khartum
Formula One	Formel 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
Kárbónì ọlọ́ksíjínìméjì	Kohlenstoffdioxid
2013	2013
2014	2014
2015	2015
Newfoundland àti Labrador	Neufundland und Labrador
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Valéry Giscard d'Estaing	Valéry Giscard d’Estaing
1 Oṣù Kínní	1. Januar
Oṣù Kínní 2	2. Januar
1920	1920
Oṣù Kínní 3	3. Januar
1919	1919
1921	1921
1922	1922
Oṣù Kínní 4	4. Januar
1923	1923
1924	1924
Ìgbàjá ástẹ́rọ́ìdì	Asteroidengürtel
Orílẹ̀-èdè Olómìnira Àpapọ̀ Sófìẹ̀tì Sósíálístì Rọ́síà	Russische Sozialistische Föderative Sowjetrepublik
Georges Pompidou	Georges Pompidou
Graphics Interchange Format	Graphics Interchange Format
Windows Media Audio	Windows Media Audio
JPEG	JPEG
Oṣù Kínní 5	5. Januar
Oṣù Kínní 6	6. Januar
Ẹ̀lẹ́ktrọ́nù	Elektron
Oṣù Kínní 7	7. Januar
Oṣù Kínní 8	8. Januar
Oṣù Kínní 9	9. Januar
Oṣù Kínní 10	10. Januar
