ਅਫ਼ਰੀਕਾ	Afrika
ਵਰਲਡ ਵਾਈਡ ਵੈੱਬ	World Wide Web
ਔਰਤ	Frau
ਸੋਫ਼ੀਆ	Sofia
ਦੌਨ ਕੀਖ਼ੋਤੇ	Don Quijote
ਕਵਿਤਾ	Poesie
ਆਰਥਰ ਰਿੰਬੋ	Arthur Rimbaud
ਨਿੰਬੂ	Zitrone
ਸ਼ਾਰਲ ਬੌਦੇਲੈਰ	Charles Baudelaire
ਸਤੇਂਦਾਲ	Stendhal
ਐਮਿਲ ਜ਼ੋਲਾ	Émile Zola
ਮਾਊਂਟ ਐਵਰੈਸਟ	Mount Everest
ਅੰਗ ਵਿਗਿਆਨ	Anatomie
ਸ਼ਹਿਰ	Stadt
ਨਪੋਲੀਅਨ	Napoleon Bonaparte
ਤਾਰਾ	Stern
ਸੂਰਜ	Sonne
ਅਕਾਸ਼	Himmel (planetär)
ਪ੍ਰਕਾਸ਼-ਸਾਲ	Lichtjahr
ਪਿੰਡ	Dorf
ਵਿਕਤੋਰ ਊਗੋ	Victor Hugo
ਓਸ਼ੇਨੀਆ	Ozeanien
ਜੂਜ਼ੈੱਪੇ ਗਾਰੀਬਾਲਦੀ	Giuseppe Garibaldi
ਅਥਲੈਟਿਕਸ	Leichtathletik
ਸੂਰਜ ਮੰਡਲ	Sonnensystem
ਬਾਲਟਿਕ ਸਮੁੰਦਰ	Ostsee
ਸ਼ਾਂਜ਼-ਏਲੀਜ਼ੇ	Avenue des Champs-Élysées
ਹਾਈਡਰੋਜਨ	Wasserstoff
ਹੀਲੀਅਮ	Helium
ਵਿਕੀਮੀਡੀਆ ਕਾਮਨਜ਼	Wikimedia Commons
ਐਂਜਿਲਾ ਮੇਰਕਲ	Angela Merkel
ਲਿਥੀਅਮ	Lithium
ਬੇਰਿਲੀਅਮ	Beryllium
ਕਿਤਾਬ	Buch
ਦਿਨ	Tag
ਪੂਰਬੀ ਤਿਮੋਰ	Osttimor
ਰਾਤ	Nacht
ਸਾਲ	Jahr
ਸਦੀ	Jahrhundert
ਰਾਈਨ ਦਰਿਆ	Rhein
ਓਸਲੋ	Oslo
ਬੌਨ	Bonn
ਬਲੈਕ ਹੋਲ	Schwarzes Loch
ਲਿਸਬਨ	Lissabon
ਰੋਨ ਦਰਿਆ	Rhone
ਦੁਬਈ	Dubai (Emirat)
ਲਿਓਨਲ ਮੈਸੀ	Lionel Messi
ਬੋਰਾਨ	Bor
ਕਾਰਬਨ	Kohlenstoff
ਵੋਲਗਾ ਦਰਿਆ	Wolga
ਨਾਈਟਰੋਜਨ	Stickstoff
ਆਕਸੀਜਨ	Sauerstoff
ਇੰਟਰ ਮਿਲਣ	Inter Mailand
ਗ੍ਰਹਿ	Planet
ਸੰਗੀਤ	Musik
ਵੈਨਿਸ	Venedig
ਲੀਲ	Lille
ਮਾਸਕੋ	Moskau
ਫ਼ਲੋਰੀਨ	Fluor
ਇਤਾਲਵੀ ਭਾਸ਼ਾ	Italienische Sprache
ਨੀਆਨ	Neon
ਚੀਵਾਵਾ (ਰਾਜ)	Chihuahua (Bundesstaat)
ਸੇਂਟ ਪੀਟਰਸਬਰਗ	Sankt Petersburg
ਚਾਡ	Tschad
ਸੋਡੀਅਮ	Natrium
ਉੱਤਰ	Norden
ਮੈਗਨੀਸ਼ੀਅਮ	Magnesium
ਐਲਮੀਨੀਅਮ	Aluminium
ਨਿਊਜ਼ੀਲੈਂਡ	Neuseeland
ਦੱਖਣ	Süden
ਭਾਰਤ	Indien
ਸਿਲੀਕਾਨ	Silicium
ਫ਼ਰਾਂਸੀਅਮ	Francium
ਤੁਵਾਲੂ	Tuvalu
ਫ਼ਾਸਫ਼ੋਰਸ	Phosphor
ਲੋਹਾ	Eisen
ਟੋਂਗਾ	Tonga
ਪੱਛਮ	Westen
ਗੰਧਕ	Schwefel
ਸਮੋਆ	Samoa
ਪੂਰਬ	Osten
ਸੋਲੋਮਨ ਟਾਪੂ	Salomonen
ਵਨੁਆਤੂ	Vanuatu
ਮੋਲੀਏਰ	Molière
ਕਲੋਰੀਨ	Chlor
ਪਾਪੂਆ ਨਿਊ ਗਿਨੀ	Papua-Neuguinea
ਵਿਲੀਅਮ ਸ਼ੇਕਸਪੀਅਰ	William Shakespeare
ਪਲਾਊ	Palau
ਆਰਗਾਨ	Argon
ਨਾਉਰੂ	Nauru
ਫ਼ਾਇਰਫ਼ੌਕਸ	Mozilla Firefox
ਪਰੀ ਕਥਾ	Märchen
ਮਾਈਕ੍ਰੋਨੇਸ਼ੀਆ ਦੇ ਸੰਘੀ ਰਾਜ	Föderierte Staaten von Mikronesien
ਪੋਟਾਸ਼ੀਅਮ	Kalium
ਓਲੰਪੀਕ ਲਿਉਨੇ	Olympique Lyon
ਕੈਲਸ਼ੀਅਮ	Calcium
ਸਿੱਕਾ	Blei
ਮਾਰਸ਼ਲ ਟਾਪੂ	Marshallinseln
ਕਿਰੀਬਾਸ	Kiribati
ਮੰਗੋਲੀਆ	Mongolei
ਫ਼ਿਜੀ	Fidschi
ਸਕੈਂਡੀਅਮ	Scandium
ਟਾਈਟੇਨੀਅਮ	Titan (Element)
ਵੈਨੇਜ਼ੁਐਲਾ	Venezuela
ਸ਼ਤਰੰਜ	Schach
ਚੰਗੇਜ਼ ਖ਼ਾਨ	Dschingis Khan
ਵੈਨੇਡੀਅਮ	Vanadium
ਮੇਨ	Maine
ਕਰੋਮੀਅਮ	Chrom
ਘੋੜਾ	Hauspferd
ਅਮਸਤੱਰਦਮ	Amsterdam
ਹਥਿਆਰ	Waffe
ਜੰਤੂ	Tier
ਸੂਰੀਨਾਮ	Suriname
ਮੈਂਗਨੀਜ਼	Mangan
ਪੈਰਾਗੁਏ	Paraguay
ਗੁਇਆਨਾ	Guyana
ਕਲਾ	Kunst
ਏਕੁਆਦੋਰ	Ecuador
ਰੀਨੀਅਮ	Rhenium
ਕੋਲੰਬੀਆ	Kolumbien
ਕੋਬਾਲਟ	Cobalt
ਟੰਗਸਟਨ	Wolfram
ਨਿਕਲ	Nickel
ਬੁੱਧ ਧਰਮ	Buddhismus
ਬੋਲੀਵੀਆ	Bolivien
ਓਸਮੀਅਮ	Osmium
ਤਾਂਬਾ	Kupfer
ਤ੍ਰਿਨੀਦਾਦ ਅਤੇ ਤੋਬਾਗੋ	Trinidad und Tobago
ਬੂਟਾ	Pflanzen
ਸੇਂਟ ਵਿਨਸੈਂਟ ਅਤੇ ਗ੍ਰੇਨਾਡੀਨਜ਼	St. Vincent und die Grenadinen
ਜਿਸਤ	Zink
ਨਿਊ ਹੈਂਪਸ਼ਰ	New Hampshire
ਸੇਂਟ ਲੂਸੀਆ	St. Lucia
ਲਿਓਨਾਰਦੋ ਦਾ ਵਿੰਚੀ	Leonardo da Vinci
ਸੇਂਟ ਕਿਟਸ ਅਤੇ ਨੇਵਿਸ	St. Kitts und Nevis
ਉੱਲੀ	Pilze
ਦਾਰੀਓ ਫ਼ੋ	Dario Fo
ਜਮੈਕਾ	Jamaika
ਗ੍ਰੇਨਾਡਾ	Grenada
ਮੈਸਾਚੂਸਟਸ	Massachusetts
ਗੁਆਤੇਮਾਲਾ	Guatemala
ਬਹਾਮਾਸ	Bahamas
ਕਨੈਟੀਕਟ	Connecticut
ਐਂਟੀਗੁਆ ਅਤੇ ਬਰਬੂਡਾ	Antigua und Barbuda
ਹਵਾਈ	Hawaii
ਹਾਂਡੂਰਾਸ	Honduras
ਡੋਮਿਨਿਕਾ	Dominica
ਜਰਸੀ	Jersey
ਡੋਮਿਨਿਕਾਈ ਗਣਰਾਜ	Dominikanische Republik
ਆਰਕਟਿਕ ਮਹਾਂਸਾਗਰ	Arktischer Ozean
ਹੈਤੀ	Haiti
ਸਾਲਵਾਦੋਰ	El Salvador
ਇਰਾਨ	Iran
ਇਰਾਕ	Irak
ਅਲਾਸਕਾ	Alaska
ਸਿਆਣਪ	Weisheit
ਕੋਸਤਾ ਰੀਕਾ	Costa Rica
ਇਜ਼ਰਾਇਲ	Israel
ਪਨਾਮਾ	Panama
ਯਮਨ	Jemen
ਵਿਸ਼ਾਣੂ	Viren
ਪੋਲਿਸ਼ ਭਾਸ਼ਾ	Polnische Sprache
ਜਾਰਡਨ	Jordanien
ਨਿਕਾਰਾਗੁਆ	Nicaragua
ਫ਼ਲੌਰਿਡਾ	Florida
ਕਿਰਗਿਜ਼ਸਤਾਨ	Kirgisistan
ਐਰੀਜ਼ੋਨਾ	Arizona
ਕੁਵੈਤ	Kuwait
ਲਾਉਸ	Laos
ਲਿਬਨਾਨ	Libanon
ਔਰੇਗਨ	Oregon
ਮਾਲਦੀਵ	Malediven
ਅਮਰੀਕਾ (ਮਹਾਂ-ਮਹਾਂਦੀਪ)	Amerika
ਯੂਟਾ	Utah
ਮਲੇਸ਼ੀਆ	Malaysia
ਮਿਖਾਇਲ ਬੁਲਗਾਕੋਵ	Michail Afanassjewitsch Bulgakow
ਮਿਆਂਮਾਰ	Myanmar
ਨੇਪਾਲ	Nepal
ਉਮਾਨ	Oman
ਪਾਕਿਸਤਾਨ	Pakistan
ਕਤਰ	Katar
ਗੇਂਦ-ਛਿੱਕਾ	Tennis
ਸਾਊਦੀ ਅਰਬ	Saudi-Arabien
ਸ੍ਰੀਲੰਕਾ	Sri Lanka
ਜੋਸਿਫ਼ ਸਟਾਲਿਨ	Josef Stalin
ਸੀਰੀਆ	Syrien
ਅਫਲਾਤੂਨ	Platon
ਗੈਲੀਅਮ	Gallium
ਤਾਜਿਕਸਤਾਨ	Tadschikistan
ਤਾਇਵਾਨ	Republik China (Taiwan)
ਯੂਟਿਊਬ	YouTube
ਜਰਮੇਨੀਅਮ	Germanium
ਅਰਸਤੂ	Aristoteles
ਥਾਈਲੈਂਡ	Thailand
ਸੰਖੀਆ	Arsen
ਮੇਰਿਲ ਸਟਰੀਪ	Meryl Streep
ਤੁਰਕਮੇਨਸਤਾਨ	Turkmenistan
ਅਬਾਕਾਨ	Abakan (Stadt)
ਸਿਲੀਨੀਅਮ	Selen
ਇਰੀਡੀਅਮ	Iridium
ਸੰਯੁਕਤ ਅਰਬ ਇਮਰਾਤ	Vereinigte Arabische Emirate
ਬ੍ਰੋਮੀਨ	Brom
ਪਲੈਟੀਨਮ	Platin
ਵੀਅਤਨਾਮ	Vietnam
ਚਾਰਲੀ ਚੈਪਲਿਨ	Charlie Chaplin
ਦੱਖਣੀ ਕੋਰੀਆ	Südkorea
ਕ੍ਰਿਪਟਾਨ	Krypton
ਅਫਗਾਨਿਸਤਾਨ	Afghanistan
ਗੰਗਨਮ ਸਟਾਈਲ	Gangnam Style
ਰੁਬੀਡੀਅਮ	Rubidium
ਸੋਨਾ	Gold
ਸੁਏਸ ਨਹਿਰ	Sueskanal
ਵਿਗਿਆਨੀ	Wissenschaftler
ਬੰਗਲਾਦੇਸ਼	Bangladesch
ਫ਼ਰੈਂਜ਼ ਕਾਫ਼ਕਾ	Franz Kafka
ਹੋਰਹੇ ਲੂਈਸ ਬੋਰਗੇਸ	Jorge Luis Borges
ਮਾਲੀ	Mali
ਸੁਕਰਾਤ	Sokrates
ਵੋਲਗਾਗਰਾਡ	Wolgograd
ਅੰਗੋਲਾ	Angola
ਭੂਟਾਨ	Bhutan
ਟਵਿਟਰ	Twitter
ਬਰੂਨਾਈ	Brunei
ਤਨਜ਼ਾਨੀਆ	Tansania
ਪਾਰਾ	Quecksilber
ਫਿਲੀਪੀਨਜ਼	Philippinen
ਮੱਧ ਅਫਰੀਕੀ ਗਣਰਾਜ	Zentralafrikanische Republik
ਥੈਲੀਅਮ	Thallium
ਆਇਜ਼ਕ ਨਿਊਟਨ	Isaac Newton
ਅਲਬਰਟ ਆਈਨਸਟਾਈਨ	Albert Einstein
ਸਟਰੌਂਸ਼ਮ	Strontium
ਬਿਸਮਥ	Bismut
ਪੀਲ਼ਾ (ਰੰਗ)	Gelb
ਮਿਕਦਾਰ ਮਕੈਨਕੀ	Quantenmechanik
ਟੋਗੋ	Togo
ਤੁਨੀਸੀਆ	Tunesien
ਜ਼ਾਂਬੀਆ	Sambia
ਜ਼ਿੰਬਾਬਵੇ	Simbabwe
ਬੀਜਿੰਗ	Peking
ਦੱਖਣੀ ਸੁਡਾਨ	Südsudan
ਬੇਨਿਨ	Benin
ਬੋਤਸਵਾਨਾ	Botswana
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	Burkina Faso
ਬੁਰੂੰਡੀ	Burundi
ਕਾਮਾਰੋਸ	Komoren
ਕਾਂਗੋ ਗਣਰਾਜ	Republik Kongo
ਓਬ ਦਰਿਆ	Ob
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	Demokratische Republik Kongo
ਸਾਨ ਆਂਤੋਨੀਓ	San Antonio
ਜਿਬੂਤੀ	Dschibuti
ਮੀਮ	Mem
ਪੋਲੋਨੀਅਮ	Polonium
ਬਾਈਆਨ	Bayern
ਭੂ-ਮੱਧ ਰੇਖਾਈ ਗਿਨੀ	Äquatorialguinea
ਬਾਡਨ-ਵਰਟਮਬਰਕ	Baden-Württemberg
ਇਰੀਤਰੀਆ	Eritrea
ਨਵੀਂ ਦਿੱਲੀ	Neu-Delhi
ਫ਼ਿਓਦਰ ਦਾਸਤੋਵਸਕੀ	Fjodor Michailowitsch Dostojewski
ਤਬੀਲਿਸੀ	Tiflis
ਐਸਟਾਟੀਨ	Astat
ਗਬਾਨ	Gabun
ਮੋਹਨਦਾਸ ਕਰਮਚੰਦ ਗਾਂਧੀ	Mohandas Karamchand Gandhi
ਕੌਮਿਕਸ	Comic
ਗਾਂਬੀਆ	Gambia
ਗਿਨੀ	Guinea
ਗਿਨੀ-ਬਿਸਾਊ	Guinea-Bissau
ਦੰਦ ਖੰਡ ਤਟ	Elfenbeinküste
ਕੈਮਰੂਨ	Kamerun
ਕੇਪ ਵਰਦੇ	Kap Verde
ਲਿਸੋਥੋ	Lesotho
ਲਾਈਬੇਰੀਆ	Liberia
ਲੀਬੀਆ	Libyen
ਮਾਦਾਗਾਸਕਰ	Madagaskar
ਮਲਾਵੀ	Malawi
ਸ਼ਟੁੱਟਗਾਟ	Stuttgart
ਮੌਰੀਤਾਨੀਆ	Mauretanien
ਮਾਰੀਸ਼ਸ	Mauritius
ਮੋਰਾਕੋ	Marokko
ਮੋਜ਼ੈਂਬੀਕ	Mosambik
ਨਮੀਬੀਆ	Namibia
ਨਾਈਜਰ	Niger
ਨਾਈਜੀਰੀਆ	Nigeria
