IYunayithedi Steyitsi	Vereinigte Staaten
Vladimir Putin	Wladimir Wladimirowitsch Putin
Igazi	Blut
Imvula	Regen
Nelson Mandela	Nelson Mandela
I-logic	Logik
Alexander Makedon	Alexander der Große
Ikofu	Kaffee
Intaba	Berg
UbuKumkani bamaBritane	Britisches Weltreich
Genesis	1. Buch Mose
Eksodus	2. Buch Mose
Iilwandle	Ozean
IChelsea	FC Chelsea
Umlomo	Mund
Ronald Reagan	Ronald Reagan
IsiZulu	IsiZulu
Ihagu	Sus (Schweine)
Umthi	Baum
Inyama	Fleisch
Imifuno	Gemüse
Amazwi alula omculo wefowuni	Telefon
Ityiwa	Speisesalz
I-Karate	Karate
Iphepha	Papier
Google Maps	Google Maps
Isifo sephepha	Tuberkulose
Umlinganiselo	Messung
IsiXhosa	IsiXhosa
IsiBhulu	Afrikaans
Itafile	Tisch
Ithoba	Neun
FIFuRoni da Futboll	Fußball-Weltmeisterschaft
Rafael Correa	Rafael Correa
ISosioloji	Soziologie
Sixhenxe	Sieben
Sibhozo	Acht
Die Antwoord	Die Antwoord
Itswele	Zwiebel
Zintandathu	Sechs
Paltoga	Paltoga
Entrena	Entrena
Ishumi	Zehn
Iqwarhashe	Zebra
IsiPedi	Nord-Sotho
Valparaíso	Valparaíso
IsiSotho	Sesotho
UWhitney Houston	Whitney Houston
Imithetho elishumi	Zehn Gebote
EGoli	Johannesburg
USathane	Satan
Ipolisa	Polizei
Umhlaba	Boden (Bodenkunde)
Ibuzi	Ratten
Ishumi elinambini	Zwölf
Ishumi elinanye	Elf
Ishumi elinantathu	Dreizehn
EBloemfontein	Bloemfontein
Ishumi elinane	Vierzehn
Ishumi elinantlanu	Fünfzehn
Ishumi elinesibhozo	Achtzehn
Ishumi elinesithoba	Neunzehn
Ishumi elinesixhenxe	Siebzehn
Ishumi elinesithandathu	Sechzehn
Amashumi amabini	Zwanzig
Nonkala	Krabben
Al Pacino	Al Pacino
Desmond Tutu	Desmond Tutu
IMayini	Bergbau
Iziphaluka zaseBritane eziphesheya kolwandle	Britische Überseegebiete
Template:Commons Categories	Vorlage:Commonscat
Isifo sentsholongwane i-Ebola	Ebolafieber
Ixoxo	Froschlurche
UJacob Zuma	Jacob Zuma
2014 FIFuRoni da Futboll	Fußball-Weltmeisterschaft 2014
IPhondo yaKwaZulu-Natala	KwaZulu-Natal
Ulwaluko	Zirkumzision
Ibandla LamaBapist	Baptisten
IBhayi	Port Elizabeth
IPhondo yaNtshona-Koloni	Westkap
Umlenga	Aalartige
IPhondo laseMpuma-Koloni	Ostkap
IPhondo yaMpumalanga	Mpumalanga
IPhondo yaseMntla-Koloni	Nordkap (Provinz)
IPhondo yaRhawuti	Gauteng
IPhondo yaLimpopo	Limpopo (Provinz)
UZahara	Zahara (Musikerin)
Zenzile Miriam Makeba	Miriam Makeba
Nkosazana Dlamini-Zuma	Nkosazana Dlamini-Zuma
Frederik de Klerk	Frederik Willem de Klerk
Kgalema Motlanthe	Kgalema Motlanthe
IPhondo yaseMntla-Ntshona	Nordwest (Südafrika)
U-Raymond Mhlaba	Raymond Mhlaba
Iankile	Anker
2010 FIFuRoni da Futboll	Fußball-Weltmeisterschaft 2010
Idessert	Dessert
UBrenda Nokuzola Fassie	Brenda Fassie
UMarvin Gaye	Marvin Gaye
I-discourse	Diskurs
Uluhlu lweendawo eMzantsi Afrika	Provinzen Südafrikas
Robben island	Robben Island
Iipijama	Pyjama
Banovci (Nijemci)	Banovci (Nijemci)
Freshlyground	Freshlyground
Iilwimi zaseAfrika	Afrikanische Sprachen
AmaXhosa	Xhosa (Volk)
Pieter Willem Botha	Pieter Willem Botha
Google Street View	Google Street View
Steve Biko	Steve Biko
IPhondo yaFreyistata	Oranje-Freistaat
Ibhanti	Belt
Umlungu	Europid
U-Winnie Madikizela Mandela	Winnie Madikizela-Mandela
Étienne Mourrut	Étienne Mourrut
FIFA	FIFA
U-Helen Zille	Helen Zille
UBilly Ocean	Billy Ocean
Marek Grechuta	Marek Grechuta
Benedict Wallet Vilakazi	Benedict Wallet Vilakazi
ULucky Dube	Lucky Dube
Mateyu	Evangelium nach Matthäus
Walter Sisulu	Walter Sisulu
UMargaret Msengana	Margaret Singana
Incwadi ka Mormoni	Buch Mormon
I-Transkei	Transkei
Izifundo zoguqulo	Translatologie
I-Freedom Front Plus	Vryheidsfront Plus
ULebu Mathosa	Lebo Mathosa
UYvonne Chaka Chaka	Yvonne Chaka Chaka
Mangosuthu Buthelezi	Mangosuthu Buthelezi
Walter Benson Rubusana	Walter Benson Rubusana
I-Yunivesithi yasePitoli	Universität Pretoria
Matatiele	Matatiele
Ingca	Gras
E-UNISA	Universität von Südafrika
Samuel Edward Krune Mqhayi	Samuel Mqhayi
Iinkonzo Zeelwimi Zesizwe	National Language Service
Varenholz	Varenholz
Ugqirha	Doktor der Medizin
Ray Phiri	Ray Phiri
E-Tiburon	Tiburon (Kalifornien)
Kayamandi	Kayamandi
Mthatha	Mthatha
IHanoveri (eMzantsi Afrika)	Hanover (Südafrika)
IYunivesithi yaseStellenbosch	Universität Stellenbosch
Nkosi sikelel iAfrika	Nkosi Sikelel’ iAfrika
Umpu	Schusswaffe
Saganaki	Saganaki
Category:IJamani	Kategorie:Deutschland
Category:UMzantsi Afrika	Kategorie:Südafrika
Category:ENetherlands	Kategorie:Niederlande
Category:ISyensya	Kategorie:Wissenschaft
AbaThembu	Thembu
Qunu	Qunu
Port St Johns	Port St. Johns
Anaso Jobodwana	Anaso Jobodwana
Category:Oluhlu	Kategorie:Liste
Ezolimo	Agrarwissenschaften
Wikipedia:Requests for adminship	Wikipedia:Kandidaturen
Category:Hidden categories	Kategorie:Kategorie:Versteckt
I-Accounting	Rechnungswesen
Template:Bot	Vorlage:Bot
Template:Documentation	Vorlage:Dokumentation
Wikipedia:Community Portal	Wikipedia:Autorenportal
Category:User languages	Kategorie:Benutzer:nach Sprache
Template:Softredirect	Vorlage:Interwiki redirect
Template:Ukucima	Vorlage:Löschen
Category:Ulwimi	Kategorie:Einzelsprache als Thema
Category:Ikhalenda	Kategorie:Kalender
Category:Wikipedia	Kategorie:Wikipedia
Wikipedia:General disclaimer	Wikipedia:Impressum
Wikipedia:Statistics	Wikipedia:Statistik
Wikipedia:Vital articles	Wikipedia:Artikel, die es in allen Wikipedias geben sollte
Category:Afrika	Kategorie:Afrika
Category:Eyekhala	Kategorie:Juli
Category:IPhondo yaFreyistata	Kategorie:Freistaat (Provinz)
Category:IPhondo yaMpuma-Koloni	Kategorie:Ostkap
Category:IPhondo yaRhawuti	Kategorie:Gauteng
Category:Amanani	Kategorie:Zahl
Category:Eyesilimela	Kategorie:Juni
Category:IPhondo yaKwaZulu-Natala	Kategorie:KwaZulu-Natal
Category:IPhondo yaMpumalanga	Kategorie:Mpumalanga
Category:IPhondo yaseMntla-Koloni	Kategorie:Nordkap (Provinz)
Category:Ubuchwepheshe	Kategorie:Elektronik
Category:Ilali	Kategorie:Dorf
Category:IBhayibhile	Kategorie:Bibel
Category:Amaxwebhu	Kategorie:Dokument
Category:IPhondo yaLimpopo	Kategorie:Limpopo (Provinz)
Category:IPhondo yaNtshona-Koloni	Kategorie:Westkap
Category:IPhondo yaseMntla-Ntshona	Kategorie:Nordwest (Provinz)
Category:Iincwadi	Kategorie:Buchwesen
Category:Inyanga	Kategorie:Monat
Template:Wikisource	Vorlage:Wikisource
Template:Babel	Vorlage:Babel
Template:Provinces of South Africa	Vorlage:Navigationsleiste Provinzen Südafrikas
Template:Commons	Vorlage:Commons
Template:Isilumkiso	Vorlage:Achtung
Template:User af-1	Vorlage:User af-1
Template:User als-1	Vorlage:User als-1
Template:User ar-1	Vorlage:User ar-1
Template:User ast-1	Vorlage:User ast-1
Template:User az	Vorlage:User az
Template:User bar-1	Vorlage:User bar-1
Template:User eo-1	Vorlage:User eo-1
Template:See also	Vorlage:Siehe auch
Template:User da-2	Vorlage:User da-2
Template:User da	Vorlage:User da
Template:User ca-1	Vorlage:User ca-1
Template:User ca-4	Vorlage:User ca-4
Template:User be-2	Vorlage:User be-2
Template:User da-1	Vorlage:User da-1
Template:User cs-1	Vorlage:User cs-1
Template:User bg-1	Vorlage:User bg-1
Template:User eo-3	Vorlage:User eo-3
Template:User de	Vorlage:User de
Template:User de-1	Vorlage:User de-1
Template:User eu-4	Vorlage:User eu-4
Template:User eu	Vorlage:User eu
Template:User et-1	Vorlage:User et-1
Template:User el	Vorlage:User el
Template:User es	Vorlage:User es
Template:User de-3	Vorlage:User de-3
Template:User en-3	Vorlage:User en-3
Template:User el-1	Vorlage:User el-1
Template:User en-1	Vorlage:User en-1
Template:User en-2	Vorlage:User en-2
Template:User fa-1	Vorlage:User fa-1
Template:User eo-2	Vorlage:User eo-2
Template:User en-4	Vorlage:User en-4
Template:User fi	Vorlage:User fi
Template:User en-0	Vorlage:User en-0
Template:User es-4	Vorlage:User es-4
Template:User en	Vorlage:User en
Template:User de-2	Vorlage:User de-2
Template:User es-1	Vorlage:User es-1
Template:User fa	Vorlage:User fa
Template:User fi-1	Vorlage:User fi-1
Template:User fr-1	Vorlage:User fr-1
Template:User gl-1	Vorlage:User gl-1
Template:User ia-2	Vorlage:User ia-2
Template:User hi-1	Vorlage:User hi-1
Template:User hr	Vorlage:User hr
Template:User he-2	Vorlage:User he-2
Template:User he-1	Vorlage:User he-1
Template:User hu	Vorlage:User hu
Template:User id-3	Vorlage:User id-3
Template:User io-3	Vorlage:User io-3
Template:User it-3	Vorlage:User it-3
Template:User grc-1	Vorlage:User grc-1
Template:User ja-4	Vorlage:User ja-4
Template:User sk	Vorlage:User sk
Template:User tr-2	Vorlage:User tr-2
Template:User fr-2	Vorlage:User fr-2
Template:User tr	Vorlage:User tr
Template:User ja	Vorlage:User ja
Template:User ja-1	Vorlage:User ja-1
Template:User it-1	Vorlage:User it-1
Template:User hr-1	Vorlage:User hr-1
Template:User fr	Vorlage:User fr
Template:User gsw-1	Vorlage:User gsw-1
Category:Uluhlu lweendawo eMzantsi Afrika	Kategorie:Provinz in Südafrika
Template:Mod	Vorlage:Modulo
Template:User es-2	Vorlage:User es-2
Template:USA	Vorlage:USA
Category:User fr-1	Kategorie:User fr-1
Template:Infobox School	Vorlage:Infobox Schule
Template:Rnd	Vorlage:Siground
Template:Location map	Vorlage:Positionskarte
Category:User en-4	Kategorie:User en-4
Category:User en	Kategorie:User en
Category:User en-2	Kategorie:User en-2
Template:Infobox	Vorlage:Infobox
Template:Cite web	Vorlage:Cite web
Category:User hi	Kategorie:User hi
Template:Infobox settlement	Vorlage:Infobox Ort
Template:Both	Vorlage:Booland
Template:Tlx	Vorlage:Vorlage
Template:User	Vorlage:Benutzer
Template:Emergency-bot-shutoff	Vorlage:Emergency-bot-shutoff
Template:Coord/link	Vorlage:CoordinateLINK
Category:User ja-N	Kategorie:User ja-M
Category:User gsw-1	Kategorie:User gsw-1
Template:Coord	Vorlage:Coordinate
Template:Citation/make link	Vorlage:Citation/make link
Category:User az	Kategorie:User az
Category:User be	Kategorie:User be
Category:User hr	Kategorie:User hr
Category:User sk	Kategorie:User sk
Category:User eo	Kategorie:User eo
Category:User et	Kategorie:User et
Category:User fr	Kategorie:User fr
Category:User gl	Kategorie:User gl
Category:User hu-N	Kategorie:User hu-M
Category:User id	Kategorie:User id
Category:User ia	Kategorie:User ia
Category:User ja	Kategorie:User ja
Category:User it-3	Kategorie:User it-3
Category:User cs-1	Kategorie:User cs-1
Category:User da-1	Kategorie:User da-1
Category:User et-1	Kategorie:User et-1
Category:User fi-1	Kategorie:User fi-1
Category:User gl-1	Kategorie:User gl-1
Category:User hi-1	Kategorie:User hi-1
Category:User ar-1	Kategorie:User ar-1
Category:User be-2	Kategorie:User be-2
Category:User da-2	Kategorie:User da-2
Category:User fr-2	Kategorie:User fr-2
Category:User ia-2	Kategorie:User ia-2
Category:User tr-2	Kategorie:User tr-2
Category:User hr-N	Kategorie:User hr-M
Category:User fr-N	Kategorie:User fr-M
Category:User eu-N	Kategorie:User eu-M
Category:User af	Kategorie:User af
Category:User af-1	Kategorie:User af-1
Category:User als	Kategorie:User als
Category:User als-1	Kategorie:User als-1
Category:User ar	Kategorie:User ar
Category:User ast	Kategorie:User ast
Category:User ast-1	Kategorie:User ast-1
Category:User az-N	Kategorie:User az-M
Category:User bar	Kategorie:User bar
Category:User bar-1	Kategorie:User bar-1
Category:User bg	Kategorie:User bg
Category:User bg-1	Kategorie:User bg-1
Category:User ca	Kategorie:User ca
Category:User ca-1	Kategorie:User ca-1
Category:User ca-4	Kategorie:User ca-4
Category:User cs	Kategorie:User cs
Category:User da	Kategorie:User da
Category:User sk-N	Kategorie:User sk-M
Category:User de	Kategorie:User de
Category:User de-2	Kategorie:User de-2
Category:User de-3	Kategorie:User de-3
Category:User de-N	Kategorie:User de-M
Category:User el	Kategorie:User el
Category:User el-1	Kategorie:User el-1
Category:User el-N	Kategorie:User el-M
Category:User en-0	Kategorie:User en-0
Category:User en-3	Kategorie:User en-3
Category:User en-N	Kategorie:User en-M
Category:User eo-1	Kategorie:User eo-1
Category:User eo-2	Kategorie:User eo-2
Category:User eo-3	Kategorie:User eo-3
Category:User es	Kategorie:User es
Category:User es-1	Kategorie:User es-1
Category:User es-2	Kategorie:User es-2
Category:User es-4	Kategorie:User es-4
Category:User es-N	Kategorie:User es-M
Category:User eu	Kategorie:User eu
Category:User eu-4	Kategorie:User eu-4
Category:User fa	Kategorie:User fa
Category:User fa-1	Kategorie:User fa-1
Category:User fa-N	Kategorie:User fa-M
Category:User fi	Kategorie:User fi
Category:User fi-N	Kategorie:User fi-M
Category:User grc	Kategorie:User grc
Category:User grc-1	Kategorie:User grc-1
Category:User gsw	Kategorie:User gsw
Category:User he	Kategorie:User he
Category:User he-1	Kategorie:User he-1
Category:User he-2	Kategorie:User he-2
Category:User hr-1	Kategorie:User hr-1
Category:User hu	Kategorie:User hu
Category:User id-3	Kategorie:User id-3
Category:User io	Kategorie:User io
Category:User io-3	Kategorie:User io-3
Category:User it	Kategorie:User it
Category:User it-1	Kategorie:User it-1
Category:User ja-1	Kategorie:User ja-1
Category:User tr	Kategorie:User tr
Category:User tr-N	Kategorie:User tr-M
E-Paradise Cay	Paradise Cay
Umnqathe	Karotte
Trojany	Trojany (Woiwodschaft Masowien)
Category:User en-1	Kategorie:User en-1
Category:User de-1	Kategorie:User de-1
Category:User da-N	Kategorie:User da-M
Template:Location map~	Vorlage:Positionskarte~
Template:Location map+	Vorlage:Positionskarte+
Wikipedia:VisualEditor	Hilfe:VisualEditor
IHanoveri	Hanover
Module:Citation/CS1/Whitelist	Modul:Citation/CS1/Whitelist
Wikipedia Zero	Wikipedia Zero
Special:RecentChanges	Spezial:Letzte Änderungen
Category:User ja-4	Kategorie:User ja-4
Module:HtmlBuilder	Modul:HtmlBuilder
Module:String	Modul:Str
